,muh,mux,success_rate
199,0.3,4.6,0.134
200,0.3,4.7,0.112
201,0.3,4.8,0.12
202,0.3,4.9,0.066
203,0.3,5.0,0.092
204,0.4,0.0,0.774
205,0.4,0.1,0.78
206,0.4,0.2,0.778
207,0.4,0.3,0.818
208,0.4,0.4,0.762
209,0.4,0.5,0.794
210,0.4,0.6,0.778
211,0.4,0.7,0.766
212,0.4,0.8,0.744
213,0.4,0.9,0.734
214,0.4,1.0,0.726
215,0.4,1.1,0.69
216,0.4,1.2,0.686
217,0.4,1.3,0.706
218,0.4,1.4,0.742
219,0.4,1.5,0.736
220,0.4,1.6,0.72
221,0.4,1.7,0.724
222,0.4,1.8,0.656
223,0.4,1.9,0.628
224,0.4,2.0,0.584
225,0.4,2.1,0.502
226,0.4,2.2,0.446
227,0.4,2.3,0.408
228,0.4,2.4,0.37
229,0.4,2.5,0.348
230,0.4,2.6,0.298
231,0.4,2.7,0.318
232,0.4,2.8,0.294
233,0.4,2.9,0.27
234,0.4,3.0,0.208
235,0.4,3.1,0.198
236,0.4,3.2,0.234
237,0.4,3.3,0.176
238,0.4,3.4,0.2
239,0.4,3.5,0.192
240,0.4,3.6,0.164
241,0.4,3.7,0.156
242,0.4,3.8,0.128
243,0.4,3.9,0.138
244,0.4,4.0,0.106
245,0.4,4.1,0.124
246,0.4,4.2,0.126
247,0.4,4.3,0.126
248,0.4,4.4,0.106
249,0.4,4.5,0.126
250,0.4,4.6,0.124
251,0.4,4.7,0.114
252,0.4,4.8,0.094
253,0.4,4.9,0.104
254,0.4,5.0,0.094
255,0.5,0.0,0.754
256,0.5,0.1,0.752
257,0.5,0.2,0.764
258,0.5,0.3,0.764
259,0.5,0.4,0.76
260,0.5,0.5,0.77
261,0.5,0.6,0.796
262,0.5,0.7,0.79
263,0.5,0.8,0.76
264,0.5,0.9,0.754
265,0.5,1.0,0.716
266,0.5,1.1,0.714
267,0.5,1.2,0.684
268,0.5,1.3,0.696
269,0.5,1.4,0.712
270,0.5,1.5,0.744
271,0.5,1.6,0.786
272,0.5,1.7,0.732
273,0.5,1.8,0.7
274,0.5,1.9,0.664
275,0.5,2.0,0.588
276,0.5,2.1,0.538
277,0.5,2.2,0.512
