sigx1,sigx2,sigh1,sigh2,success_rate
2.48,2.48,0.64,1.28,0.836
1.92,1.92,0.24,0.48,0.738
2.72,2.72,0.08,0.16,0.412
1.68,1.68,0.8,1.6,0.868
1.64,1.64,0.04,0.08,0.518
0.32,0.32,0.56,1.12,0.752
0.88,0.88,0.96,1.92,0.815
0.6,0.6,0.76,1.52,0.807
3.84,3.84,0.88,1.76,0.782
3.8,3.8,0.12,0.24,0.366
0.6,0.6,0.0,0.0,0.482
2.24,2.24,0.44,0.88,0.809
3.04,3.04,0.28,0.56,0.548
1.16,1.16,0.4,0.8,0.879
2.8,2.8,0.84,1.68,0.831
3.6,3.6,0.68,1.36,0.744
0.88,0.88,0.2,0.4,0.907
2.76,2.76,0.08,0.16,0.419
3.32,3.32,0.48,0.96,0.666
1.44,1.44,0.6,1.2,0.901
0.08,0.08,0.36,0.72,0.504
1.72,1.72,0.8,1.6,0.866
2.52,2.52,0.64,1.28,0.833
1.68,1.68,0.04,0.08,0.518
0.36,0.36,0.56,1.12,0.778
1.96,1.96,0.24,0.48,0.716
0.64,0.64,0.76,1.52,0.807
0.92,0.92,0.96,1.92,0.825
3.84,3.84,0.12,0.24,0.405
3.88,3.88,0.88,1.76,0.776
0.64,0.64,0.0,0.0,0.552
2.28,2.28,0.44,0.88,0.785
2.84,2.84,0.84,1.68,0.83
1.2,1.2,0.4,0.8,0.903
3.08,3.08,0.28,0.56,0.535
3.64,3.64,0.68,1.36,0.716
0.92,0.92,0.2,0.4,0.91
2.8,2.8,0.08,0.16,0.417
3.36,3.36,0.48,0.96,0.639
1.48,1.48,0.6,1.2,0.875
1.76,1.76,0.8,1.6,0.869
0.4,0.4,0.56,1.12,0.8
1.72,1.72,0.04,0.08,0.521
0.12,0.12,0.36,0.72,0.634
2.56,2.56,0.64,1.28,0.823
2.0,2.0,0.24,0.48,0.691
0.96,0.96,0.96,1.92,0.806
0.68,0.68,0.76,1.52,0.829
3.88,3.88,0.12,0.24,0.355
3.92,3.92,0.88,1.76,0.77
2.32,2.32,0.44,0.88,0.8
0.68,0.68,0.0,0.0,0.543
2.88,2.88,0.84,1.68,0.843
1.24,1.24,0.4,0.8,0.887
3.12,3.12,0.28,0.56,0.564
3.68,3.68,0.68,1.36,0.684
0.96,0.96,0.2,0.4,0.922
1.52,1.52,0.6,1.2,0.874
2.84,2.84,0.08,0.16,0.392
0.44,0.44,0.56,1.12,0.807
1.76,1.76,0.04,0.08,0.498
1.8,1.8,0.8,1.6,0.873
3.4,3.4,0.48,0.96,0.651
2.6,2.6,0.64,1.28,0.836
0.16,0.16,0.36,0.72,0.692
2.04,2.04,0.24,0.48,0.704
1.0,1.0,0.96,1.92,0.827
0.72,0.72,0.76,1.52,0.822
3.92,3.92,0.12,0.24,0.4
3.96,3.96,0.88,1.76,0.739
2.36,2.36,0.44,0.88,0.775
0.72,0.72,0.0,0.0,0.597
1.28,1.28,0.4,0.8,0.882
2.92,2.92,0.84,1.68,0.84
3.16,3.16,0.28,0.56,0.538
3.72,3.72,0.68,1.36,0.679
1.0,1.0,0.2,0.4,0.914
1.56,1.56,0.6,1.2,0.886
0.48,0.48,0.56,1.12,0.826
2.88,2.88,0.08,0.16,0.413
1.8,1.8,0.04,0.08,0.508
3.44,3.44,0.48,0.96,0.648
1.84,1.84,0.8,1.6,0.875
0.2,0.2,0.36,0.72,0.728
2.64,2.64,0.64,1.28,0.831
2.08,2.08,0.24,0.48,0.707
1.04,1.04,0.96,1.92,0.817
0.76,0.76,0.76,1.52,0.831
3.96,3.96,0.12,0.24,0.349
4.0,4.0,0.88,1.76,0.747
2.4,2.4,0.44,0.88,0.775
0.76,0.76,0.0,0.0,0.569
1.32,1.32,0.4,0.8,0.887
2.96,2.96,0.84,1.68,0.831
3.2,3.2,0.28,0.56,0.525
3.76,3.76,0.68,1.36,0.69
1.04,1.04,0.2,0.4,0.917
1.88,1.88,0.8,1.6,0.868
1.6,1.6,0.6,1.2,0.871
3.48,3.48,0.48,0.96,0.636
1.84,1.84,0.04,0.08,0.473
2.68,2.68,0.64,1.28,0.818
0.52,0.52,0.56,1.12,0.805
2.92,2.92,0.08,0.16,0.386
1.08,1.08,0.96,1.92,0.842
0.24,0.24,0.36,0.72,0.779
2.12,2.12,0.24,0.48,0.713
0.8,0.8,0.76,1.52,0.821
4.0,4.0,0.12,0.24,0.331
0.0,0.0,0.92,1.84,0.094
2.44,2.44,0.44,0.88,0.769
0.8,0.8,0.0,0.0,0.597
1.36,1.36,0.4,0.8,0.892
3.24,3.24,0.28,0.56,0.531
3.0,3.0,0.84,1.68,0.832
3.8,3.8,0.68,1.36,0.706
1.08,1.08,0.2,0.4,0.901
1.64,1.64,0.6,1.2,0.897
2.72,2.72,0.64,1.28,0.81
3.52,3.52,0.48,0.96,0.647
1.92,1.92,0.8,1.6,0.855
1.88,1.88,0.04,0.08,0.492
0.56,0.56,0.56,1.12,0.82
2.96,2.96,0.08,0.16,0.401
1.12,1.12,0.96,1.92,0.83
0.28,0.28,0.36,0.72,0.786
2.16,2.16,0.24,0.48,0.656
0.84,0.84,0.76,1.52,0.821
0.0,0.0,0.16,0.32,0.116
2.48,2.48,0.44,0.88,0.755
0.04,0.04,0.92,1.84,0.174
0.84,0.84,0.0,0.0,0.581
1.4,1.4,0.4,0.8,0.879
3.28,3.28,0.28,0.56,0.496
3.04,3.04,0.84,1.68,0.841
3.84,3.84,0.68,1.36,0.668
1.12,1.12,0.2,0.4,0.914
3.56,3.56,0.48,0.96,0.614
2.76,2.76,0.64,1.28,0.817
1.68,1.68,0.6,1.2,0.882
1.92,1.92,0.04,0.08,0.442
1.96,1.96,0.8,1.6,0.856
3.0,3.0,0.08,0.16,0.41
0.6,0.6,0.56,1.12,0.859
1.16,1.16,0.96,1.92,0.814
0.32,0.32,0.36,0.72,0.802
2.2,2.2,0.24,0.48,0.674
0.88,0.88,0.76,1.52,0.838
0.04,0.04,0.16,0.32,0.535
2.52,2.52,0.44,0.88,0.755
0.08,0.08,0.92,1.84,0.292
0.88,0.88,0.0,0.0,0.635
1.44,1.44,0.4,0.8,0.89
3.32,3.32,0.28,0.56,0.526
3.08,3.08,0.84,1.68,0.812
3.88,3.88,0.68,1.36,0.67
1.16,1.16,0.2,0.4,0.871
3.6,3.6,0.48,0.96,0.609
1.72,1.72,0.6,1.2,0.871
2.8,2.8,0.64,1.28,0.794
1.96,1.96,0.04,0.08,0.454
2.0,2.0,0.8,1.6,0.877
0.64,0.64,0.56,1.12,0.822
3.04,3.04,0.08,0.16,0.395
1.2,1.2,0.96,1.92,0.837
0.36,0.36,0.36,0.72,0.833
2.24,2.24,0.24,0.48,0.629
0.92,0.92,0.76,1.52,0.843
0.08,0.08,0.16,0.32,0.7
2.56,2.56,0.44,0.88,0.757
0.12,0.12,0.92,1.84,0.368
0.92,0.92,0.0,0.0,0.604
1.48,1.48,0.4,0.8,0.882
3.36,3.36,0.28,0.56,0.477
3.12,3.12,0.84,1.68,0.802
3.92,3.92,0.68,1.36,0.679
1.2,1.2,0.2,0.4,0.885
3.64,3.64,0.48,0.96,0.598
1.76,1.76,0.6,1.2,0.867
2.04,2.04,0.8,1.6,0.87
2.84,2.84,0.64,1.28,0.802
2.0,2.0,0.04,0.08,0.476
3.08,3.08,0.08,0.16,0.358
0.68,0.68,0.56,1.12,0.832
2.28,2.28,0.24,0.48,0.645
1.24,1.24,0.96,1.92,0.844
0.96,0.96,0.76,1.52,0.83
0.4,0.4,0.36,0.72,0.819
0.12,0.12,0.16,0.32,0.776
0.16,0.16,0.92,1.84,0.418
2.6,2.6,0.44,0.88,0.729
0.96,0.96,0.0,0.0,0.618
3.16,3.16,0.84,1.68,0.832
1.52,1.52,0.4,0.8,0.869
1.24,1.24,0.2,0.4,0.867
3.96,3.96,0.68,1.36,0.68
3.4,3.4,0.28,0.56,0.508
3.68,3.68,0.48,0.96,0.62
2.08,2.08,0.8,1.6,0.851
1.8,1.8,0.6,1.2,0.88
2.88,2.88,0.64,1.28,0.794
3.12,3.12,0.08,0.16,0.386
2.04,2.04,0.04,0.08,0.447
1.28,1.28,0.96,1.92,0.83
1.0,1.0,0.76,1.52,0.859
2.32,2.32,0.24,0.48,0.625
0.72,0.72,0.56,1.12,0.844
0.16,0.16,0.16,0.32,0.798
0.44,0.44,0.36,0.72,0.851
2.64,2.64,0.44,0.88,0.709
0.2,0.2,0.92,1.84,0.495
1.0,1.0,0.0,0.0,0.584
1.28,1.28,0.2,0.4,0.862
3.44,3.44,0.28,0.56,0.535
3.2,3.2,0.84,1.68,0.811
3.72,3.72,0.48,0.96,0.58
4.0,4.0,0.68,1.36,0.674
1.56,1.56,0.4,0.8,0.879
1.84,1.84,0.6,1.2,0.857
1.32,1.32,0.96,1.92,0.84
2.12,2.12,0.8,1.6,0.866
3.16,3.16,0.08,0.16,0.385
2.08,2.08,0.04,0.08,0.436
2.92,2.92,0.64,1.28,0.796
1.04,1.04,0.76,1.52,0.85
0.76,0.76,0.56,1.12,0.848
2.68,2.68,0.44,0.88,0.716
0.48,0.48,0.36,0.72,0.839
2.36,2.36,0.24,0.48,0.628
0.2,0.2,0.16,0.32,0.8
0.24,0.24,0.92,1.84,0.54
1.04,1.04,0.0,0.0,0.607
1.32,1.32,0.2,0.4,0.863
3.48,3.48,0.28,0.56,0.511
3.76,3.76,0.48,0.96,0.634
3.24,3.24,0.84,1.68,0.833
0.0,0.0,0.72,1.44,0.118
1.08,1.08,0.76,1.52,0.845
1.6,1.6,0.4,0.8,0.876
1.36,1.36,0.96,1.92,0.854
3.2,3.2,0.08,0.16,0.342
2.16,2.16,0.8,1.6,0.87
1.88,1.88,0.6,1.2,0.849
2.96,2.96,0.64,1.28,0.797
2.12,2.12,0.04,0.08,0.456
0.52,0.52,0.36,0.72,0.853
2.72,2.72,0.44,0.88,0.73
0.8,0.8,0.56,1.12,0.856
0.24,0.24,0.16,0.32,0.812
0.28,0.28,0.92,1.84,0.6
2.4,2.4,0.24,0.48,0.649
1.36,1.36,0.2,0.4,0.86
1.08,1.08,0.0,0.0,0.588
3.8,3.8,0.48,0.96,0.589
3.52,3.52,0.28,0.56,0.495
3.28,3.28,0.84,1.68,0.81
1.64,1.64,0.4,0.8,0.846
1.4,1.4,0.96,1.92,0.832
1.92,1.92,0.6,1.2,0.868
2.2,2.2,0.8,1.6,0.865
3.24,3.24,0.08,0.16,0.36
1.12,1.12,0.76,1.52,0.859
2.16,2.16,0.04,0.08,0.442
0.04,0.04,0.72,1.44,0.174
3.0,3.0,0.64,1.28,0.789
0.56,0.56,0.36,0.72,0.855
2.76,2.76,0.44,0.88,0.706
0.28,0.28,0.16,0.32,0.802
0.32,0.32,0.92,1.84,0.643
2.44,2.44,0.24,0.48,0.608
0.84,0.84,0.56,1.12,0.86
1.4,1.4,0.2,0.4,0.862
3.32,3.32,0.84,1.68,0.81
3.56,3.56,0.28,0.56,0.509
3.84,3.84,0.48,0.96,0.594
1.68,1.68,0.4,0.8,0.892
1.12,1.12,0.0,0.0,0.576
1.96,1.96,0.6,1.2,0.857
1.44,1.44,0.96,1.92,0.863
0.08,0.08,0.72,1.44,0.309
2.2,2.2,0.04,0.08,0.429
3.28,3.28,0.08,0.16,0.373
1.16,1.16,0.76,1.52,0.849
2.24,2.24,0.8,1.6,0.866
3.04,3.04,0.64,1.28,0.779
0.6,0.6,0.36,0.72,0.863
2.8,2.8,0.44,0.88,0.701
0.36,0.36,0.92,1.84,0.673
0.88,0.88,0.56,1.12,0.859
0.32,0.32,0.16,0.32,0.825
2.48,2.48,0.24,0.48,0.602
1.44,1.44,0.2,0.4,0.815
1.72,1.72,0.4,0.8,0.869
3.36,3.36,0.84,1.68,0.801
1.16,1.16,0.0,0.0,0.524
3.88,3.88,0.48,0.96,0.551
3.6,3.6,0.28,0.56,0.5
3.32,3.32,0.08,0.16,0.395
2.24,2.24,0.04,0.08,0.421
2.0,2.0,0.6,1.2,0.872
3.08,3.08,0.64,1.28,0.781
0.12,0.12,0.72,1.44,0.446
1.2,1.2,0.76,1.52,0.869
1.48,1.48,0.96,1.92,0.866
2.28,2.28,0.8,1.6,0.868
0.64,0.64,0.36,0.72,0.857
0.92,0.92,0.56,1.12,0.866
0.4,0.4,0.92,1.84,0.701
2.84,2.84,0.44,0.88,0.722
0.36,0.36,0.16,0.32,0.878
2.52,2.52,0.24,0.48,0.616
1.76,1.76,0.4,0.8,0.847
1.48,1.48,0.2,0.4,0.822
1.2,1.2,0.0,0.0,0.53
2.28,2.28,0.04,0.08,0.39
3.4,3.4,0.84,1.68,0.818
3.64,3.64,0.28,0.56,0.46
3.92,3.92,0.48,0.96,0.584
2.04,2.04,0.6,1.2,0.862
3.12,3.12,0.64,1.28,0.747
3.36,3.36,0.08,0.16,0.382
0.16,0.16,0.72,1.44,0.534
1.52,1.52,0.96,1.92,0.861
1.24,1.24,0.76,1.52,0.858
2.32,2.32,0.8,1.6,0.845
0.68,0.68,0.36,0.72,0.891
0.96,0.96,0.56,1.12,0.872
0.44,0.44,0.92,1.84,0.695
2.88,2.88,0.44,0.88,0.684
0.4,0.4,0.16,0.32,0.877
2.56,2.56,0.24,0.48,0.576
1.8,1.8,0.4,0.8,0.859
2.32,2.32,0.04,0.08,0.398
1.24,1.24,0.0,0.0,0.541
1.52,1.52,0.2,0.4,0.791
2.08,2.08,0.6,1.2,0.868
3.44,3.44,0.84,1.68,0.795
3.68,3.68,0.28,0.56,0.491
1.56,1.56,0.96,1.92,0.864
3.96,3.96,0.48,0.96,0.587
0.2,0.2,0.72,1.44,0.569
3.4,3.4,0.08,0.16,0.382
3.16,3.16,0.64,1.28,0.759
0.72,0.72,0.36,0.72,0.893
1.28,1.28,0.76,1.52,0.86
2.36,2.36,0.8,1.6,0.855
0.48,0.48,0.92,1.84,0.729
1.0,1.0,0.56,1.12,0.855
2.92,2.92,0.44,0.88,0.688
0.44,0.44,0.16,0.32,0.865
2.6,2.6,0.24,0.48,0.573
2.36,2.36,0.04,0.08,0.406
1.84,1.84,0.4,0.8,0.854
2.12,2.12,0.6,1.2,0.886
1.28,1.28,0.0,0.0,0.538
1.56,1.56,0.2,0.4,0.788
3.48,3.48,0.84,1.68,0.816
3.72,3.72,0.28,0.56,0.474
1.6,1.6,0.96,1.92,0.862
4.0,4.0,0.48,0.96,0.565
3.44,3.44,0.08,0.16,0.375
0.24,0.24,0.72,1.44,0.644
3.2,3.2,0.64,1.28,0.736
0.76,0.76,0.36,0.72,0.879
1.32,1.32,0.76,1.52,0.875
0.52,0.52,0.92,1.84,0.738
2.4,2.4,0.8,1.6,0.862
1.04,1.04,0.56,1.12,0.879
2.96,2.96,0.44,0.88,0.694
0.48,0.48,0.16,0.32,0.887
2.64,2.64,0.24,0.48,0.573
2.4,2.4,0.04,0.08,0.43
2.16,2.16,0.6,1.2,0.848
1.88,1.88,0.4,0.8,0.825
1.6,1.6,0.2,0.4,0.762
1.32,1.32,0.0,0.0,0.499
3.52,3.52,0.84,1.68,0.769
0.0,0.0,0.52,1.04,0.108
1.64,1.64,0.96,1.92,0.865
3.76,3.76,0.28,0.56,0.471
3.48,3.48,0.08,0.16,0.37
0.28,0.28,0.72,1.44,0.66
0.8,0.8,0.36,0.72,0.868
0.56,0.56,0.92,1.84,0.758
3.24,3.24,0.64,1.28,0.736
1.36,1.36,0.76,1.52,0.86
2.44,2.44,0.8,1.6,0.866
3.0,3.0,0.44,0.88,0.663
1.08,1.08,0.56,1.12,0.846
0.52,0.52,0.16,0.32,0.897
2.68,2.68,0.24,0.48,0.568
2.44,2.44,0.04,0.08,0.399
2.2,2.2,0.6,1.2,0.871
3.8,3.8,0.28,0.56,0.493
3.56,3.56,0.84,1.68,0.774
0.04,0.04,0.52,1.04,0.248
1.68,1.68,0.96,1.92,0.869
1.36,1.36,0.0,0.0,0.485
1.64,1.64,0.2,0.4,0.745
1.92,1.92,0.4,0.8,0.804
3.52,3.52,0.08,0.16,0.376
0.32,0.32,0.72,1.44,0.688
0.84,0.84,0.36,0.72,0.885
1.4,1.4,0.76,1.52,0.853
0.6,0.6,0.92,1.84,0.773
3.28,3.28,0.64,1.28,0.745
