$\sigma_{x_1}$,$\sigma_{x_2}$,$\sigma_{h_1}$,$\sigma_{h_2}$,success_rate
1.08,1.08,0.96,2.96,0.799
0.84,0.84,0.76,2.76,0.756
3.12,3.12,0.28,2.2800000000000002,0.848
3.44,3.44,0.48,2.48,0.851
0.68,0.68,0.0,2.0,0.647
2.64,2.64,0.64,2.64,0.826
3.76,3.76,0.68,2.68,0.846
2.92,2.92,0.08,2.08,0.857
2.96,2.96,0.84,2.84,0.821
1.8,1.8,0.04,2.04,0.799
0.48,0.48,0.56,2.56,0.744
1.36,1.36,0.4,2.4,0.803
2.36,2.36,0.44,2.44,0.824
1.08,1.08,0.2,2.2,0.727
2.12,2.12,0.24,2.24,0.825
0.0,0.0,0.92,2.92,0.082
0.32,0.32,0.36,2.36,0.738
1.6,1.6,0.6,2.6,0.795
1.12,1.12,0.96,2.96,0.812
4.0,4.0,0.12,2.12,0.793
2.68,2.68,0.64,2.64,0.846
0.72,0.72,0.0,2.0,0.611
1.92,1.92,0.8,2.8,0.813
3.48,3.48,0.48,2.48,0.835
1.4,1.4,0.4,2.4,0.784
3.16,3.16,0.28,2.2800000000000002,0.83
0.88,0.88,0.76,2.76,0.778
2.16,2.16,0.24,2.24,0.819
3.8,3.8,0.68,2.68,0.833
1.16,1.16,0.96,2.96,0.803
1.84,1.84,0.04,2.04,0.818
0.36,0.36,0.36,2.36,0.721
3.0,3.0,0.84,2.84,0.839
1.12,1.12,0.2,2.2,0.775
2.96,2.96,0.08,2.08,0.847
0.52,0.52,0.56,2.56,0.758
2.4,2.4,0.44,2.44,0.841
0.04,0.04,0.92,2.92,0.159
0.0,0.0,0.16,2.16,0.105
1.64,1.64,0.6,2.6,0.797
1.44,1.44,0.4,2.4,0.762
0.76,0.76,0.0,2.0,0.684
3.2,3.2,0.28,2.2800000000000002,0.846
1.96,1.96,0.8,2.8,0.824
0.4,0.4,0.36,2.36,0.752
2.72,2.72,0.64,2.64,0.837
1.2,1.2,0.96,2.96,0.81
0.92,0.92,0.76,2.76,0.791
2.2,2.2,0.24,2.24,0.844
3.04,3.04,0.84,2.84,0.85
1.16,1.16,0.2,2.2,0.748
3.52,3.52,0.48,2.48,0.829
3.84,3.84,0.68,2.68,0.861
1.88,1.88,0.04,2.04,0.829
0.56,0.56,0.56,2.56,0.74
3.0,3.0,0.08,2.08,0.859
0.08,0.08,0.92,2.92,0.244
1.48,1.48,0.4,2.4,0.774
0.04,0.04,0.16,2.16,0.463
2.44,2.44,0.44,2.44,0.828
1.68,1.68,0.6,2.6,0.774
3.24,3.24,0.28,2.2800000000000002,0.862
2.24,2.24,0.24,2.24,0.805
0.8,0.8,0.0,2.0,0.657
2.0,2.0,0.8,2.8,0.799
1.24,1.24,0.96,2.96,0.778
3.88,3.88,0.68,2.68,0.815
0.44,0.44,0.36,2.36,0.746
2.76,2.76,0.64,2.64,0.835
3.08,3.08,0.84,2.84,0.85
0.96,0.96,0.76,2.76,0.788
1.2,1.2,0.2,2.2,0.767
0.12,0.12,0.92,2.92,0.325
0.6,0.6,0.56,2.56,0.778
3.56,3.56,0.48,2.48,0.856
1.72,1.72,0.6,2.6,0.786
3.04,3.04,0.08,2.08,0.828
1.92,1.92,0.04,2.04,0.824
1.52,1.52,0.4,2.4,0.786
3.28,3.28,0.28,2.2800000000000002,0.844
2.28,2.28,0.24,2.24,0.846
0.08,0.08,0.16,2.16,0.619
2.48,2.48,0.44,2.44,0.827
1.28,1.28,0.96,2.96,0.832
2.04,2.04,0.8,2.8,0.833
3.92,3.92,0.68,2.68,0.825
1.0,1.0,0.76,2.76,0.785
0.84,0.84,0.0,2.0,0.651
3.12,3.12,0.84,2.84,0.835
0.48,0.48,0.36,2.36,0.723
1.24,1.24,0.2,2.2,0.756
2.8,2.8,0.64,2.64,0.827
0.64,0.64,0.56,2.56,0.752
0.16,0.16,0.92,2.92,0.408
3.08,3.08,0.08,2.08,0.855
1.76,1.76,0.6,2.6,0.787
3.6,3.6,0.48,2.48,0.838
3.32,3.32,0.28,2.2800000000000002,0.84
2.32,2.32,0.24,2.24,0.841
1.32,1.32,0.96,2.96,0.811
1.96,1.96,0.04,2.04,0.849
2.08,2.08,0.8,2.8,0.848
1.56,1.56,0.4,2.4,0.796
0.12,0.12,0.16,2.16,0.697
2.52,2.52,0.44,2.44,0.835
3.96,3.96,0.68,2.68,0.816
1.28,1.28,0.2,2.2,0.791
0.88,0.88,0.0,2.0,0.695
0.52,0.52,0.36,2.36,0.713
0.68,0.68,0.56,2.56,0.767
3.16,3.16,0.84,2.84,0.839
1.04,1.04,0.76,2.76,0.776
3.64,3.64,0.48,2.48,0.82
0.2,0.2,0.92,2.92,0.451
3.36,3.36,0.28,2.2800000000000002,0.844
2.84,2.84,0.64,2.64,0.851
3.12,3.12,0.08,2.08,0.836
2.0,2.0,0.04,2.04,0.822
1.8,1.8,0.6,2.6,0.808
2.12,2.12,0.8,2.8,0.822
1.36,1.36,0.96,2.96,0.801
1.6,1.6,0.4,2.4,0.771
2.36,2.36,0.24,2.24,0.825
0.16,0.16,0.16,2.16,0.697
2.56,2.56,0.44,2.44,0.843
1.08,1.08,0.76,2.76,0.799
0.72,0.72,0.56,2.56,0.748
1.32,1.32,0.2,2.2,0.771
3.68,3.68,0.48,2.48,0.83
0.92,0.92,0.0,2.0,0.709
3.2,3.2,0.84,2.84,0.834
4.0,4.0,0.68,2.68,0.822
3.4,3.4,0.28,2.2800000000000002,0.821
0.56,0.56,0.36,2.36,0.745
3.16,3.16,0.08,2.08,0.852
2.88,2.88,0.64,2.64,0.819
1.64,1.64,0.4,2.4,0.788
1.84,1.84,0.6,2.6,0.809
0.24,0.24,0.92,2.92,0.51
1.4,1.4,0.96,2.96,0.802
2.04,2.04,0.04,2.04,0.835
2.16,2.16,0.8,2.8,0.825
2.4,2.4,0.24,2.24,0.856
0.2,0.2,0.16,2.16,0.7
0.76,0.76,0.56,2.56,0.753
2.6,2.6,0.44,2.44,0.802
1.12,1.12,0.76,2.76,0.79
3.72,3.72,0.48,2.48,0.831
1.68,1.68,0.4,2.4,0.811
3.44,3.44,0.28,2.2800000000000002,0.842
0.0,0.0,0.72,2.7199999999999998,0.102
0.6,0.6,0.36,2.36,0.737
0.96,0.96,0.0,2.0,0.742
3.2,3.2,0.08,2.08,0.833
1.88,1.88,0.6,2.6,0.851
1.36,1.36,0.2,2.2,0.794
3.24,3.24,0.84,2.84,0.843
0.28,0.28,0.92,2.92,0.562
2.92,2.92,0.64,2.64,0.824
1.44,1.44,0.96,2.96,0.842
0.24,0.24,0.16,2.16,0.669
2.08,2.08,0.04,2.04,0.843
2.2,2.2,0.8,2.8,0.842
0.8,0.8,0.56,2.56,0.733
1.72,1.72,0.4,2.4,0.821
2.44,2.44,0.24,2.24,0.837
3.76,3.76,0.48,2.48,0.825
2.64,2.64,0.44,2.44,0.858
0.64,0.64,0.36,2.36,0.731
3.48,3.48,0.28,2.2800000000000002,0.825
1.0,1.0,0.0,2.0,0.744
1.16,1.16,0.76,2.76,0.79
1.4,1.4,0.2,2.2,0.758
3.28,3.28,0.84,2.84,0.84
0.04,0.04,0.72,2.7199999999999998,0.184
3.24,3.24,0.08,2.08,0.86
2.96,2.96,0.64,2.64,0.84
1.92,1.92,0.6,2.6,0.804
0.32,0.32,0.92,2.92,0.584
2.24,2.24,0.8,2.8,0.83
1.48,1.48,0.96,2.96,0.841
1.76,1.76,0.4,2.4,0.797
2.48,2.48,0.24,2.24,0.845
0.84,0.84,0.56,2.56,0.735
0.28,0.28,0.16,2.16,0.626
2.12,2.12,0.04,2.04,0.848
2.68,2.68,0.44,2.44,0.851
0.68,0.68,0.36,2.36,0.704
3.8,3.8,0.48,2.48,0.82
1.04,1.04,0.0,2.0,0.739
3.32,3.32,0.84,2.84,0.839
3.28,3.28,0.08,2.08,0.824
3.0,3.0,0.64,2.64,0.836
1.44,1.44,0.2,2.2,0.777
0.08,0.08,0.72,2.7199999999999998,0.276
1.2,1.2,0.76,2.76,0.799
3.52,3.52,0.28,2.2800000000000002,0.842
2.28,2.28,0.8,2.8,0.853
1.8,1.8,0.4,2.4,0.791
1.96,1.96,0.6,2.6,0.822
1.52,1.52,0.96,2.96,0.831
2.52,2.52,0.24,2.24,0.845
0.36,0.36,0.92,2.92,0.626
2.16,2.16,0.04,2.04,0.826
0.88,0.88,0.56,2.56,0.78
0.72,0.72,0.36,2.36,0.722
2.72,2.72,0.44,2.44,0.855
0.32,0.32,0.16,2.16,0.657
3.04,3.04,0.64,2.64,0.843
1.48,1.48,0.2,2.2,0.786
3.84,3.84,0.48,2.48,0.836
3.36,3.36,0.84,2.84,0.814
3.32,3.32,0.08,2.08,0.82
1.08,1.08,0.0,2.0,0.765
1.24,1.24,0.76,2.76,0.788
0.12,0.12,0.72,2.7199999999999998,0.356
3.56,3.56,0.28,2.2800000000000002,0.818
2.32,2.32,0.8,2.8,0.833
0.4,0.4,0.92,2.92,0.644
2.2,2.2,0.04,2.04,0.829
2.0,2.0,0.6,2.6,0.812
1.84,1.84,0.4,2.4,0.798
2.56,2.56,0.24,2.24,0.871
0.36,0.36,0.16,2.16,0.649
1.56,1.56,0.96,2.96,0.798
0.92,0.92,0.56,2.56,0.777
2.76,2.76,0.44,2.44,0.84
0.76,0.76,0.36,2.36,0.741
3.08,3.08,0.64,2.64,0.832
1.52,1.52,0.2,2.2,0.796
3.4,3.4,0.84,2.84,0.844
1.12,1.12,0.0,2.0,0.733
3.88,3.88,0.48,2.48,0.835
1.28,1.28,0.76,2.76,0.789
3.36,3.36,0.08,2.08,0.834
2.36,2.36,0.8,2.8,0.836
1.88,1.88,0.4,2.4,0.819
3.6,3.6,0.28,2.2800000000000002,0.825
0.16,0.16,0.72,2.7199999999999998,0.471
2.24,2.24,0.04,2.04,0.83
2.04,2.04,0.6,2.6,0.829
0.44,0.44,0.92,2.92,0.654
1.6,1.6,0.96,2.96,0.817
2.6,2.6,0.24,2.24,0.861
0.96,0.96,0.56,2.56,0.78
0.4,0.4,0.16,2.16,0.637
2.8,2.8,0.44,2.44,0.849
3.12,3.12,0.64,2.64,0.845
3.92,3.92,0.48,2.48,0.826
0.8,0.8,0.36,2.36,0.742
3.44,3.44,0.84,2.84,0.837
1.56,1.56,0.2,2.2,0.788
1.16,1.16,0.0,2.0,0.775
1.32,1.32,0.76,2.76,0.803
3.4,3.4,0.08,2.08,0.821
2.4,2.4,0.8,2.8,0.847
3.64,3.64,0.28,2.2800000000000002,0.828
2.28,2.28,0.04,2.04,0.838
1.64,1.64,0.96,2.96,0.816
1.92,1.92,0.4,2.4,0.828
0.2,0.2,0.72,2.7199999999999998,0.517
0.44,0.44,0.16,2.16,0.639
2.84,2.84,0.44,2.44,0.858
0.48,0.48,0.92,2.92,0.704
2.08,2.08,0.6,2.6,0.834
3.96,3.96,0.48,2.48,0.821
0.84,0.84,0.36,2.36,0.717
2.64,2.64,0.24,2.24,0.835
3.48,3.48,0.84,2.84,0.852
1.0,1.0,0.56,2.56,0.786
3.16,3.16,0.64,2.64,0.834
1.36,1.36,0.76,2.76,0.814
2.44,2.44,0.8,2.8,0.841
3.44,3.44,0.08,2.08,0.809
1.6,1.6,0.2,2.2,0.819
3.68,3.68,0.28,2.2800000000000002,0.849
1.96,1.96,0.4,2.4,0.811
1.68,1.68,0.96,2.96,0.809
1.2,1.2,0.0,2.0,0.796
2.88,2.88,0.44,2.44,0.848
0.52,0.52,0.92,2.92,0.733
4.0,4.0,0.48,2.48,0.806
2.32,2.32,0.04,2.04,0.823
0.48,0.48,0.16,2.16,0.625
2.68,2.68,0.24,2.24,0.861
2.12,2.12,0.6,2.6,0.828
0.24,0.24,0.72,2.7199999999999998,0.568
3.52,3.52,0.84,2.84,0.842
0.88,0.88,0.36,2.36,0.736
3.2,3.2,0.64,2.64,0.844
1.04,1.04,0.56,2.56,0.784
2.0,2.0,0.4,2.4,0.808
1.4,1.4,0.76,2.76,0.811
3.48,3.48,0.08,2.08,0.822
2.48,2.48,0.8,2.8,0.833
0.0,0.0,0.52,2.52,0.115
3.72,3.72,0.28,2.2800000000000002,0.82
1.64,1.64,0.2,2.2,0.807
1.24,1.24,0.0,2.0,0.771
2.92,2.92,0.44,2.44,0.852
0.56,0.56,0.92,2.92,0.73
1.72,1.72,0.96,2.96,0.823
2.36,2.36,0.04,2.04,0.844
3.24,3.24,0.64,2.64,0.848
