,muh,sigmah,success_rate
207,-3.84,0.05,0.10966666666666666
208,-3.84,0.06,0.10533333333333333
209,-3.84,0.07,0.09733333333333333
210,-3.84,0.08,0.09233333333333334
211,-3.84,0.09,0.09766666666666667
212,-3.84,0.1,0.107
213,-3.84,0.11,0.10266666666666667
214,-3.84,0.12,0.097
215,-3.84,0.13,0.09266666666666666
216,-3.84,0.14,0.105
217,-3.84,0.15,0.09566666666666666
218,-3.84,0.16,0.09266666666666666
219,-3.84,0.17,0.09533333333333334
220,-3.84,0.18,0.10233333333333333
221,-3.84,0.19,0.096
222,-3.84,0.2,0.10066666666666667
223,-3.84,0.21,0.108
224,-3.84,0.22,0.107
225,-3.84,0.23,0.10633333333333334
226,-3.84,0.24,0.11433333333333333
227,-3.84,0.25,0.10366666666666667
228,-3.84,0.26,0.10533333333333333
229,-3.84,0.27,0.109
230,-3.84,0.28,0.101
231,-3.84,0.29,0.09933333333333333
232,-3.84,0.3,0.09333333333333334
233,-3.84,0.31,0.09666666666666666
234,-3.84,0.32,0.10166666666666667
235,-3.84,0.33,0.095
236,-3.84,0.34,0.101
237,-3.84,0.35,0.09833333333333333
238,-3.84,0.36,0.089
239,-3.84,0.37,0.09933333333333333
240,-3.84,0.38,0.101
241,-3.84,0.39,0.111
242,-3.84,0.4,0.107
243,-3.84,0.41,0.08333333333333333
244,-3.84,0.42,0.10333333333333333
245,-3.84,0.43,0.10733333333333334
246,-3.84,0.44,0.10266666666666667
247,-3.84,0.45,0.096
248,-3.84,0.46,0.10233333333333333
249,-3.84,0.47,0.10433333333333333
250,-3.84,0.48,0.10733333333333334
251,-3.84,0.49,0.09633333333333334
252,-3.84,0.5,0.1
253,-3.84,0.51,0.09766666666666667
254,-3.84,0.52,0.09933333333333333
255,-3.84,0.53,0.103
256,-3.84,0.54,0.103
257,-3.84,0.55,0.106
258,-3.84,0.56,0.113
259,-3.84,0.57,0.10666666666666667
260,-3.84,0.58,0.09833333333333333
261,-3.84,0.59,0.104
262,-3.84,0.6,0.112
263,-3.84,0.61,0.105
264,-3.84,0.62,0.1
265,-3.84,0.63,0.10133333333333333
266,-3.84,0.64,0.11066666666666666
267,-3.84,0.65,0.109
268,-3.84,0.66,0.109
269,-3.84,0.67,0.104
270,-3.84,0.68,0.11266666666666666
271,-3.84,0.69,0.104
272,-3.84,0.7,0.11166666666666666
273,-3.84,0.71,0.09933333333333333
274,-3.84,0.72,0.11033333333333334
275,-3.84,0.73,0.10633333333333334
276,-3.84,0.74,0.108
277,-3.84,0.75,0.109
278,-3.84,0.76,0.10533333333333333
279,-3.84,0.77,0.10566666666666667
280,-3.84,0.78,0.11266666666666666
281,-3.84,0.79,0.10666666666666667
282,-3.84,0.8,0.1
283,-3.84,0.81,0.11066666666666666
284,-3.84,0.82,0.12366666666666666
285,-3.84,0.83,0.11166666666666666
286,-3.84,0.84,0.105
287,-3.84,0.85,0.12433333333333334
288,-3.84,0.86,0.11833333333333333
289,-3.84,0.87,0.10966666666666666
290,-3.84,0.88,0.115
291,-3.84,0.89,0.11666666666666667
292,-3.84,0.9,0.11766666666666667
293,-3.84,0.91,0.105
294,-3.84,0.92,0.12133333333333333
295,-3.84,0.93,0.12433333333333334
296,-3.84,0.94,0.125
297,-3.84,0.95,0.12066666666666667
298,-3.84,0.96,0.125
299,-3.84,0.97,0.11466666666666667
300,-3.84,0.98,0.10933333333333334
301,-3.84,0.99,0.12433333333333334
302,-3.84,1.0,0.111
303,-3.76,0.0,0.094
304,-3.76,0.01,0.10166666666666667
305,-3.76,0.02,0.10133333333333333
306,-3.76,0.03,0.098
307,-3.76,0.04,0.09633333333333334
308,-3.76,0.05,0.103
309,-3.76,0.06,0.102
310,-3.76,0.07,0.09933333333333333
311,-3.76,0.08,0.09966666666666667
312,-3.76,0.09,0.09666666666666666
313,-3.76,0.1,0.09966666666666667
314,-3.76,0.11,0.099
315,-3.76,0.12,0.09666666666666666
316,-3.76,0.13,0.10033333333333333
317,-3.76,0.14,0.099
318,-3.76,0.15,0.09233333333333334
319,-3.76,0.16,0.109
320,-3.76,0.17,0.10766666666666666
321,-3.76,0.18,0.1
322,-3.76,0.19,0.101
323,-3.76,0.2,0.10333333333333333
324,-3.76,0.21,0.09666666666666666
325,-3.76,0.22,0.11333333333333333
326,-3.76,0.23,0.10466666666666667
327,-3.76,0.24,0.10366666666666667
328,-3.76,0.25,0.10133333333333333
329,-3.76,0.26,0.09766666666666667
330,-3.76,0.27,0.10066666666666667
331,-3.76,0.28,0.10233333333333333
332,-3.76,0.29,0.103
333,-3.76,0.3,0.099
334,-3.76,0.31,0.105
335,-3.76,0.32,0.10133333333333333
336,-3.76,0.33,0.09833333333333333
337,-3.76,0.34,0.09866666666666667
338,-3.76,0.35,0.11666666666666667
339,-3.76,0.36,0.09966666666666667
340,-3.76,0.37,0.10666666666666667
341,-3.76,0.38,0.10033333333333333
342,-3.76,0.39,0.09733333333333333
343,-3.76,0.4,0.10733333333333334
344,-3.76,0.41,0.103
345,-3.76,0.42,0.08833333333333333
346,-3.76,0.43,0.111
347,-3.76,0.44,0.09833333333333333
348,-3.76,0.45,0.10266666666666667
349,-3.76,0.46,0.10033333333333333
350,-3.76,0.47,0.101
351,-3.76,0.48,0.10766666666666666
352,-3.76,0.49,0.109
353,-3.76,0.5,0.10833333333333334
354,-3.76,0.51,0.109
355,-3.76,0.52,0.10666666666666667
356,-3.76,0.53,0.1
357,-3.76,0.54,0.10066666666666667
358,-3.76,0.55,0.09733333333333333
359,-3.76,0.56,0.11033333333333334
360,-3.76,0.57,0.10933333333333334
361,-3.76,0.58,0.10833333333333334
362,-3.76,0.59,0.116
363,-3.76,0.6,0.09966666666666667
364,-3.76,0.61,0.09366666666666666
365,-3.76,0.62,0.105
366,-3.76,0.63,0.11066666666666666
367,-3.76,0.64,0.11166666666666666
368,-3.76,0.65,0.10433333333333333
369,-3.76,0.66,0.10533333333333333
370,-3.76,0.67,0.10666666666666667
371,-3.76,0.68,0.11
372,-3.76,0.69,0.10933333333333334
373,-3.76,0.7,0.10366666666666667
374,-3.76,0.71,0.10633333333333334
375,-3.76,0.72,0.10966666666666666
376,-3.76,0.73,0.11933333333333333
377,-3.76,0.74,0.11533333333333333
378,-3.76,0.75,0.115
379,-3.76,0.76,0.11266666666666666
380,-3.76,0.77,0.11966666666666667
381,-3.76,0.78,0.09866666666666667
382,-3.76,0.79,0.11466666666666667
383,-3.76,0.8,0.112
384,-3.76,0.81,0.10666666666666667
385,-3.76,0.82,0.10933333333333334
386,-3.76,0.83,0.123
387,-3.76,0.84,0.117
388,-3.76,0.85,0.121
389,-3.76,0.86,0.113
390,-3.76,0.87,0.116
391,-3.76,0.88,0.12166666666666667
392,-3.76,0.89,0.118
393,-3.76,0.9,0.119
394,-3.76,0.91,0.12666666666666668
395,-3.76,0.92,0.11666666666666667
396,-3.76,0.93,0.13266666666666665
397,-3.76,0.94,0.11466666666666667
398,-3.76,0.95,0.12466666666666666
399,-3.76,0.96,0.12866666666666668
400,-3.76,0.97,0.12333333333333334
401,-3.76,0.98,0.12
402,-3.76,0.99,0.13566666666666666
403,-3.76,1.0,0.12933333333333333
404,-3.68,0.0,0.099
405,-3.68,0.01,0.10566666666666667
406,-3.68,0.02,0.10433333333333333
407,-3.68,0.03,0.10633333333333334
408,-3.68,0.04,0.10433333333333333
409,-3.68,0.05,0.10566666666666667
410,-3.68,0.06,0.09933333333333333
411,-3.68,0.07,0.096
412,-3.68,0.08,0.10266666666666667
413,-3.68,0.09,0.09366666666666666
414,-3.68,0.1,0.1
415,-3.68,0.11,0.09433333333333334
416,-3.68,0.12,0.106
417,-3.68,0.13,0.09733333333333333
418,-3.68,0.14,0.09933333333333333
419,-3.68,0.15,0.10166666666666667
420,-3.68,0.16,0.10666666666666667
421,-3.68,0.17,0.09633333333333334
422,-3.68,0.18,0.093
423,-3.68,0.19,0.09333333333333334
424,-3.68,0.2,0.104
425,-3.68,0.21,0.09033333333333333
426,-3.68,0.22,0.102
427,-3.68,0.23,0.09766666666666667
428,-3.68,0.24,0.08733333333333333
429,-3.68,0.25,0.10066666666666667
430,-3.68,0.26,0.103
431,-3.68,0.27,0.094
432,-3.68,0.28,0.09666666666666666
433,-3.68,0.29,0.08666666666666667
434,-3.68,0.3,0.09233333333333334
435,-3.68,0.31,0.102
436,-3.68,0.32,0.102
437,-3.68,0.33,0.09366666666666666
438,-3.68,0.34,0.09766666666666667
439,-3.68,0.35,0.10266666666666667
440,-3.68,0.36,0.11233333333333333
441,-3.68,0.37,0.10366666666666667
442,-3.68,0.38,0.09733333333333333
443,-3.68,0.39,0.109
444,-3.68,0.4,0.09566666666666666
445,-3.68,0.41,0.115
446,-3.68,0.42,0.102
447,-3.68,0.43,0.09233333333333334
448,-3.68,0.44,0.098
449,-3.68,0.45,0.101
450,-3.68,0.46,0.103
451,-3.68,0.47,0.10266666666666667
452,-3.68,0.48,0.10066666666666667
453,-3.68,0.49,0.113
454,-3.68,0.5,0.096
455,-3.68,0.51,0.099
456,-3.68,0.52,0.11266666666666666
457,-3.68,0.53,0.113
458,-3.68,0.54,0.11133333333333334
459,-3.68,0.55,0.10466666666666667
460,-3.68,0.56,0.10366666666666667
461,-3.68,0.57,0.124
462,-3.68,0.58,0.10466666666666667
463,-3.68,0.59,0.10666666666666667
464,-3.68,0.6,0.11133333333333334
465,-3.68,0.61,0.10366666666666667
466,-3.68,0.62,0.11266666666666666
467,-3.68,0.63,0.09966666666666667
468,-3.68,0.64,0.105
469,-3.68,0.65,0.11133333333333334
470,-3.68,0.66,0.12233333333333334
471,-3.68,0.67,0.10833333333333334
472,-3.68,0.68,0.11066666666666666
473,-3.68,0.69,0.11
474,-3.68,0.7,0.122
475,-3.68,0.71,0.10933333333333334
476,-3.68,0.72,0.104
477,-3.68,0.73,0.11733333333333333
478,-3.68,0.74,0.125
479,-3.68,0.75,0.12133333333333333
480,-3.68,0.76,0.11566666666666667
481,-3.68,0.77,0.121
482,-3.68,0.78,0.124
483,-3.68,0.79,0.127
484,-3.68,0.8,0.11566666666666667
485,-3.68,0.81,0.117
486,-3.68,0.82,0.11466666666666667
487,-3.68,0.83,0.12
488,-3.68,0.84,0.11566666666666667
489,-3.68,0.85,0.12166666666666667
490,-3.68,0.86,0.11933333333333333
491,-3.68,0.87,0.12766666666666668
492,-3.68,0.88,0.122
493,-3.68,0.89,0.11166666666666666
494,-3.68,0.9,0.12466666666666666
495,-3.68,0.91,0.12166666666666667
496,-3.68,0.92,0.12233333333333334
497,-3.68,0.93,0.12533333333333332
498,-3.68,0.94,0.121
499,-3.68,0.95,0.125
500,-3.68,0.96,0.13333333333333333
501,-3.68,0.97,0.13466666666666666
502,-3.68,0.98,0.12366666666666666
503,-3.68,0.99,0.133
504,-3.68,1.0,0.14133333333333334
505,-3.6,0.0,0.09733333333333333
506,-3.6,0.01,0.10266666666666667
507,-3.6,0.02,0.093
508,-3.6,0.03,0.10766666666666666
509,-3.6,0.04,0.09633333333333334
510,-3.6,0.05,0.10233333333333333
511,-3.6,0.06,0.09333333333333334
512,-3.6,0.07,0.1
513,-3.6,0.08,0.09766666666666667
514,-3.6,0.09,0.108
515,-3.6,0.1,0.10533333333333333
516,-3.6,0.11,0.09466666666666666
517,-3.6,0.12,0.09666666666666666
518,-3.6,0.13,0.1
519,-3.6,0.14,0.10366666666666667
520,-3.6,0.15,0.091
521,-3.6,0.16,0.09966666666666667
522,-3.6,0.17,0.09833333333333333
523,-3.6,0.18,0.09466666666666666
524,-3.6,0.19,0.10133333333333333
525,-3.6,0.2,0.105
526,-3.6,0.21,0.10233333333333333
527,-3.6,0.22,0.09533333333333334
528,-3.6,0.23,0.09566666666666666
529,-3.6,0.24,0.101
530,-3.6,0.25,0.10933333333333334
531,-3.6,0.26,0.09066666666666667
532,-3.6,0.27,0.10733333333333334
533,-3.6,0.28,0.10633333333333334
534,-3.6,0.29,0.10266666666666667
535,-3.6,0.3,0.098
536,-3.6,0.31,0.11133333333333334
537,-3.6,0.32,0.10166666666666667
538,-3.6,0.33,0.09133333333333334
539,-3.6,0.34,0.10133333333333333
540,-3.6,0.35,0.109
541,-3.6,0.36,0.11233333333333333
542,-3.6,0.37,0.103
543,-3.6,0.38,0.10833333333333334
544,-3.6,0.39,0.103
545,-3.6,0.4,0.10066666666666667
546,-3.6,0.41,0.09766666666666667
547,-3.6,0.42,0.10966666666666666
548,-3.6,0.43,0.11533333333333333
549,-3.6,0.44,0.106
550,-3.6,0.45,0.105
551,-3.6,0.46,0.101
552,-3.6,0.47,0.10566666666666667
553,-3.6,0.48,0.11333333333333333
554,-3.6,0.49,0.109
555,-3.6,0.5,0.10833333333333334
556,-3.6,0.51,0.11566666666666667
557,-3.6,0.52,0.108
558,-3.6,0.53,0.106
559,-3.6,0.54,0.09833333333333333
560,-3.6,0.55,0.11366666666666667
561,-3.6,0.56,0.114
562,-3.6,0.57,0.10733333333333334
563,-3.6,0.58,0.11766666666666667
564,-3.6,0.59,0.10766666666666666
565,-3.6,0.6,0.106
566,-3.6,0.61,0.115
567,-3.6,0.62,0.12033333333333333
568,-3.6,0.63,0.117
569,-3.6,0.64,0.11733333333333333
570,-3.6,0.65,0.10733333333333334
571,-3.6,0.66,0.10866666666666666
572,-3.6,0.67,0.11266666666666666
573,-3.6,0.68,0.11133333333333334
574,-3.6,0.69,0.12
575,-3.6,0.7,0.117
576,-3.6,0.71,0.12333333333333334
577,-3.6,0.72,0.11166666666666666
578,-3.6,0.73,0.13
579,-3.6,0.74,0.11433333333333333
580,-3.6,0.75,0.116
581,-3.6,0.76,0.126
582,-3.6,0.77,0.12266666666666666
583,-3.6,0.78,0.11866666666666667
584,-3.6,0.79,0.12366666666666666
585,-3.6,0.8,0.126
586,-3.6,0.81,0.12233333333333334
587,-3.6,0.82,0.12766666666666668
588,-3.6,0.83,0.12533333333333332
589,-3.6,0.84,0.13133333333333333
590,-3.6,0.85,0.13
591,-3.6,0.86,0.123
592,-3.6,0.87,0.13666666666666666
593,-3.6,0.88,0.12533333333333332
594,-3.6,0.89,0.125
595,-3.6,0.9,0.11633333333333333
596,-3.6,0.91,0.125
597,-3.6,0.92,0.133
598,-3.6,0.93,0.12333333333333334
599,-3.6,0.94,0.12733333333333333
600,-3.6,0.95,0.121
601,-3.6,0.96,0.134
602,-3.6,0.97,0.13166666666666665
603,-3.6,0.98,0.13
604,-3.6,0.99,0.13
605,-3.6,1.0,0.11966666666666667
606,-3.52,0.0,0.09
607,-3.52,0.01,0.10366666666666667
608,-3.52,0.02,0.10333333333333333
609,-3.52,0.03,0.10033333333333333
610,-3.52,0.04,0.09566666666666666
611,-3.52,0.05,0.099
612,-3.52,0.06,0.094
613,-3.52,0.07,0.098
614,-3.52,0.08,0.10633333333333334
615,-3.52,0.09,0.098
616,-3.52,0.1,0.10066666666666667
617,-3.52,0.11,0.10266666666666667
618,-3.52,0.12,0.09433333333333334
619,-3.52,0.13,0.11033333333333334
620,-3.52,0.14,0.09466666666666666
621,-3.52,0.15,0.102
622,-3.52,0.16,0.09033333333333333
623,-3.52,0.17,0.10366666666666667
624,-3.52,0.18,0.10033333333333333
625,-3.52,0.19,0.097
626,-3.52,0.2,0.105
627,-3.52,0.21,0.098
628,-3.52,0.22,0.102
629,-3.52,0.23,0.09766666666666667
630,-3.52,0.24,0.10033333333333333
631,-3.52,0.25,0.09866666666666667
632,-3.52,0.26,0.098
633,-3.52,0.27,0.098
634,-3.52,0.28,0.10666666666666667
635,-3.52,0.29,0.10233333333333333
636,-3.52,0.3,0.11
637,-3.52,0.31,0.10566666666666667
638,-3.52,0.32,0.101
639,-3.52,0.33,0.10066666666666667
640,-3.52,0.34,0.101
641,-3.52,0.35,0.11166666666666666
642,-3.52,0.36,0.108
643,-3.52,0.37,0.10966666666666666
644,-3.52,0.38,0.10466666666666667
645,-3.52,0.39,0.115
646,-3.52,0.4,0.10833333333333334
647,-3.52,0.41,0.105
648,-3.52,0.42,0.09566666666666666
649,-3.52,0.43,0.105
650,-3.52,0.44,0.10233333333333333
651,-3.52,0.45,0.11366666666666667
652,-3.52,0.46,0.11066666666666666
653,-3.52,0.47,0.104
654,-3.52,0.48,0.11066666666666666
655,-3.52,0.49,0.09966666666666667
656,-3.52,0.5,0.114
657,-3.52,0.51,0.11133333333333334
658,-3.52,0.52,0.12066666666666667
659,-3.52,0.53,0.11466666666666667
660,-3.52,0.54,0.11633333333333333
661,-3.52,0.55,0.11833333333333333
662,-3.52,0.56,0.12333333333333334
663,-3.52,0.57,0.116
664,-3.52,0.58,0.111
665,-3.52,0.59,0.12233333333333334
666,-3.52,0.6,0.125
667,-3.52,0.61,0.121
668,-3.52,0.62,0.114
669,-3.52,0.63,0.12133333333333333
670,-3.52,0.64,0.11
671,-3.52,0.65,0.116
672,-3.52,0.66,0.121
673,-3.52,0.67,0.12
674,-3.52,0.68,0.12333333333333334
675,-3.52,0.69,0.11866666666666667
676,-3.52,0.7,0.12733333333333333
677,-3.52,0.71,0.13066666666666665
678,-3.52,0.72,0.11133333333333334
679,-3.52,0.73,0.12333333333333334
680,-3.52,0.74,0.12433333333333334
681,-3.52,0.75,0.117
682,-3.52,0.76,0.122
683,-3.52,0.77,0.12
684,-3.52,0.78,0.12633333333333333
685,-3.52,0.79,0.126
686,-3.52,0.8,0.121
687,-3.52,0.81,0.127
688,-3.52,0.82,0.13066666666666665
689,-3.52,0.83,0.11733333333333333
690,-3.52,0.84,0.12433333333333334
691,-3.52,0.85,0.12366666666666666
692,-3.52,0.86,0.131
693,-3.52,0.87,0.12733333333333333
694,-3.52,0.88,0.11933333333333333
695,-3.52,0.89,0.13733333333333334
696,-3.52,0.9,0.12966666666666668
697,-3.52,0.91,0.13233333333333333
698,-3.52,0.92,0.11766666666666667
699,-3.52,0.93,0.14033333333333334
700,-3.52,0.94,0.122
701,-3.52,0.95,0.13366666666666666
702,-3.52,0.96,0.137
703,-3.52,0.97,0.13566666666666666
704,-3.52,0.98,0.134
705,-3.52,0.99,0.14166666666666666
706,-3.52,1.0,0.13366666666666666
707,-3.44,0.0,0.10766666666666666
708,-3.44,0.01,0.09333333333333334
709,-3.44,0.02,0.10733333333333334
710,-3.44,0.03,0.09466666666666666
711,-3.44,0.04,0.1
712,-3.44,0.05,0.095
713,-3.44,0.06,0.102
714,-3.44,0.07,0.10166666666666667
715,-3.44,0.08,0.101
716,-3.44,0.09,0.098
717,-3.44,0.1,0.095
718,-3.44,0.11,0.1
719,-3.44,0.12,0.09
720,-3.44,0.13,0.10766666666666666
721,-3.44,0.14,0.10866666666666666
722,-3.44,0.15,0.094
723,-3.44,0.16,0.10333333333333333
724,-3.44,0.17,0.10166666666666667
725,-3.44,0.18,0.10766666666666666
726,-3.44,0.19,0.09466666666666666
727,-3.44,0.2,0.09266666666666666
728,-3.44,0.21,0.10066666666666667
729,-3.44,0.22,0.10466666666666667
730,-3.44,0.23,0.10866666666666666
731,-3.44,0.24,0.104
732,-3.44,0.25,0.105
733,-3.44,0.26,0.10133333333333333
734,-3.44,0.27,0.11066666666666666
735,-3.44,0.28,0.10433333333333333
736,-3.44,0.29,0.10733333333333334
737,-3.44,0.3,0.1
738,-3.44,0.31,0.10133333333333333
739,-3.44,0.32,0.1
740,-3.44,0.33,0.107
741,-3.44,0.34,0.08833333333333333
742,-3.44,0.35,0.10466666666666667
743,-3.44,0.36,0.10333333333333333
744,-3.44,0.37,0.10933333333333334
745,-3.44,0.38,0.11366666666666667
746,-3.44,0.39,0.11166666666666666
747,-3.44,0.4,0.11066666666666666
748,-3.44,0.41,0.11433333333333333
749,-3.44,0.42,0.115
750,-3.44,0.43,0.11333333333333333
751,-3.44,0.44,0.11033333333333334
752,-3.44,0.45,0.112
753,-3.44,0.46,0.113
754,-3.44,0.47,0.124
755,-3.44,0.48,0.10633333333333334
756,-3.44,0.49,0.11266666666666666
757,-3.44,0.5,0.11966666666666667
758,-3.44,0.51,0.11233333333333333
759,-3.44,0.52,0.11733333333333333
760,-3.44,0.53,0.11533333333333333
761,-3.44,0.54,0.112
762,-3.44,0.55,0.10833333333333334
763,-3.44,0.56,0.11233333333333333
764,-3.44,0.57,0.10933333333333334
765,-3.44,0.58,0.125
