mux,muh,success_rate
0.32,-2.24,0.227
2.08,-3.52,0.089
-0.48,-3.12,0.191
-1.12,-4.0,0.196
-1.52,-3.36,0.502
-1.6,-2.72,0.783
-3.12,-3.6,0.83
-0.64,-2.48,0.554
0.96,-2.88,0.109
-3.04,-2.96,0.864
3.2,-3.28,0.098
2.16,-3.52,0.081
0.32,-3.76,0.132
3.6,-2.4,0.109
3.6,-3.92,0.102
-2.8,-2.08,0.842
2.4,-2.64,0.097
0.4,-2.24,0.231
-1.52,-2.72,0.752
-0.4,-3.12,0.196
-1.04,-4.0,0.149
-1.44,-3.36,0.477
-2.96,-2.96,0.845
3.28,-3.28,0.109
2.24,-3.52,0.092
-3.04,-3.6,0.812
-0.56,-2.48,0.506
1.04,-2.88,0.097
-1.44,-2.72,0.746
0.4,-3.76,0.112
3.68,-2.4,0.092
-2.72,-2.08,0.853
-2.88,-2.96,0.84
3.68,-3.92,0.087
2.48,-2.64,0.12
3.36,-3.28,0.099
0.48,-2.24,0.225
2.32,-3.52,0.112
-0.32,-3.12,0.19
-0.96,-4.0,0.145
-1.36,-3.36,0.447
-1.36,-2.72,0.72
-2.96,-3.6,0.837
-0.48,-2.48,0.422
1.12,-2.88,0.111
-2.8,-2.96,0.858
3.44,-3.28,0.085
2.4,-3.52,0.098
0.48,-3.76,0.115
-2.64,-2.08,0.846
3.76,-2.4,0.103
3.76,-3.92,0.098
2.56,-2.64,0.092
-1.28,-2.72,0.697
0.56,-2.24,0.174
-0.24,-3.12,0.175
-2.72,-2.96,0.837
-1.28,-3.36,0.4
-0.88,-4.0,0.141
-2.88,-3.6,0.815
3.52,-3.28,0.082
2.48,-3.52,0.101
-0.4,-2.48,0.441
1.2,-2.88,0.117
-1.2,-2.72,0.682
0.56,-3.76,0.106
-2.56,-2.08,0.86
-2.64,-2.96,0.828
3.84,-2.4,0.112
3.84,-3.92,0.094
2.64,-2.64,0.092
3.6,-3.28,0.091
2.56,-3.52,0.103
0.64,-2.24,0.16
-0.16,-3.12,0.158
-1.2,-3.36,0.385
-0.8,-4.0,0.141
-1.12,-2.72,0.644
-2.8,-3.6,0.804
-0.32,-2.48,0.382
-2.56,-2.96,0.834
1.28,-2.88,0.092
3.68,-3.28,0.112
2.64,-3.52,0.098
-2.48,-2.08,0.858
0.64,-3.76,0.105
3.92,-2.4,0.098
3.92,-3.92,0.097
2.72,-2.64,0.112
-1.04,-2.72,0.604
0.72,-2.24,0.171
-0.08,-3.12,0.15
-2.48,-2.96,0.834
-1.12,-3.36,0.341
-0.72,-4.0,0.126
-2.72,-3.6,0.812
2.72,-3.52,0.109
3.76,-3.28,0.098
-0.24,-2.48,0.322
1.36,-2.88,0.092
-0.96,-2.72,0.563
-2.4,-2.08,0.833
0.72,-3.76,0.1
0.0,-3.12,0.148
4.0,-2.4,0.109
4.0,-3.92,0.089
2.8,-2.64,0.105
0.8,-2.24,0.169
-2.4,-2.96,0.815
2.8,-3.52,0.101
3.84,-3.28,0.101
-1.04,-3.36,0.301
-0.64,-4.0,0.121
-2.64,-3.6,0.805
-0.16,-2.48,0.304
0.8,-3.76,0.099
1.44,-2.88,0.119
-0.88,-2.72,0.567
-2.32,-2.08,0.856
0.88,-2.24,0.149
-4.0,-2.32,0.854
0.08,-3.12,0.152
-4.0,-3.84,0.823
2.88,-2.64,0.103
-2.32,-2.96,0.827
2.88,-3.52,0.109
3.92,-3.28,0.103
0.88,-3.76,0.109
-0.96,-3.36,0.295
-0.56,-4.0,0.147
-2.56,-3.6,0.767
0.96,-2.24,0.151
-0.08,-2.48,0.276
-0.8,-2.72,0.518
1.52,-2.88,0.107
-2.24,-2.08,0.843
-3.92,-2.32,0.874
0.16,-3.12,0.129
-3.92,-3.84,0.868
0.96,-3.76,0.099
1.04,-2.24,0.155
2.96,-2.64,0.107
-2.24,-2.96,0.822
2.96,-3.52,0.099
-0.88,-3.36,0.26
4.0,-3.28,0.099
-0.48,-4.0,0.141
-2.48,-3.6,0.799
0.0,-2.48,0.274
-0.72,-2.72,0.446
-3.84,-2.32,0.866
1.6,-2.88,0.095
-2.16,-2.08,0.841
1.12,-2.24,0.122
1.04,-3.76,0.1
0.24,-3.12,0.13
-3.84,-3.84,0.854
-0.8,-3.36,0.224
-0.4,-4.0,0.131
-2.16,-2.96,0.818
3.04,-2.64,0.095
-4.0,-3.2,0.849
3.04,-3.52,0.082
-2.4,-3.6,0.781
0.08,-2.48,0.211
1.12,-3.76,0.104
-3.76,-2.32,0.852
-0.64,-2.72,0.429
1.68,-2.88,0.106
-0.32,-4.0,0.104
-0.72,-3.36,0.199
-2.08,-2.08,0.86
1.2,-2.24,0.131
-3.76,-3.84,0.847
0.32,-3.12,0.143
-2.08,-2.96,0.778
-3.92,-3.2,0.843
3.12,-2.64,0.096
3.12,-3.52,0.119
1.2,-3.76,0.098
-2.32,-3.6,0.728
-0.24,-4.0,0.125
-0.64,-3.36,0.214
0.16,-2.48,0.225
-3.68,-2.32,0.833
-0.56,-2.72,0.359
-2.0,-2.08,0.845
1.76,-2.88,0.099
1.28,-2.24,0.109
-3.68,-3.84,0.855
0.4,-3.12,0.133
-0.16,-4.0,0.124
1.28,-3.76,0.098
-3.84,-3.2,0.868
-2.0,-2.96,0.811
3.2,-3.52,0.093
3.2,-2.64,0.095
-2.24,-3.6,0.71
-0.56,-3.36,0.191
-3.6,-2.32,0.834
0.24,-2.48,0.202
0.48,-3.12,0.149
-0.48,-2.72,0.351
-1.92,-2.08,0.849
-0.08,-4.0,0.107
1.36,-3.76,0.115
1.36,-2.24,0.127
1.84,-2.88,0.105
-3.6,-3.84,0.846
-3.76,-3.2,0.844
-1.92,-2.96,0.777
0.56,-3.12,0.123
-2.16,-3.6,0.711
3.28,-3.52,0.1
-3.52,-2.32,0.826
3.28,-2.64,0.094
0.0,-4.0,0.13
-0.48,-3.36,0.194
1.44,-3.76,0.101
0.32,-2.48,0.173
-0.4,-2.72,0.316
-1.84,-2.08,0.846
1.44,-2.24,0.114
-3.52,-3.84,0.855
1.92,-2.88,0.09
0.64,-3.12,0.128
-3.68,-3.2,0.854
0.08,-4.0,0.096
-1.84,-2.96,0.757
1.52,-3.76,0.096
-2.08,-3.6,0.652
-3.44,-2.32,0.871
3.36,-3.52,0.095
-0.4,-3.36,0.184
3.36,-2.64,0.092
0.4,-2.48,0.186
0.72,-3.12,0.115
-0.32,-2.72,0.281
-3.44,-3.84,0.834
-1.76,-2.08,0.824
1.52,-2.24,0.122
0.16,-4.0,0.106
2.0,-2.88,0.097
-3.6,-3.2,0.869
-3.36,-2.32,0.837
-1.76,-2.96,0.761
1.6,-3.76,0.093
0.8,-3.12,0.107
-2.0,-3.6,0.653
3.44,-3.52,0.097
-0.32,-3.36,0.15
0.48,-2.48,0.162
3.44,-2.64,0.099
-3.52,-3.2,0.858
-3.28,-2.32,0.864
-0.24,-2.72,0.272
-3.36,-3.84,0.836
-1.68,-2.08,0.856
1.6,-2.24,0.113
0.24,-4.0,0.106
2.08,-2.88,0.107
-1.68,-2.96,0.754
-3.44,-3.2,0.872
1.68,-3.76,0.097
0.88,-3.12,0.077
-3.2,-2.32,0.873
-1.92,-3.6,0.633
3.52,-3.52,0.091
-0.24,-3.36,0.14
0.56,-2.48,0.16
3.52,-2.64,0.089
-0.16,-2.72,0.234
2.16,-2.88,0.105
-3.28,-3.84,0.813
-1.6,-2.08,0.853
1.68,-2.24,0.112
0.32,-4.0,0.107
-3.36,-3.2,0.856
1.76,-3.76,0.096
-1.6,-2.96,0.702
-3.12,-2.32,0.881
0.96,-3.12,0.119
-1.84,-3.6,0.587
3.6,-3.52,0.107
3.6,-2.64,0.108
-0.16,-3.36,0.138
0.64,-2.48,0.142
-3.28,-3.2,0.849
-0.08,-2.72,0.243
1.84,-3.76,0.105
2.24,-2.88,0.094
-3.2,-3.84,0.809
-1.52,-2.08,0.825
1.76,-2.24,0.096
0.4,-4.0,0.09
3.68,-2.64,0.096
-1.52,-2.96,0.69
-3.04,-2.32,0.842
-3.2,-3.2,0.864
-1.76,-3.6,0.55
1.04,-3.12,0.112
3.68,-3.52,0.1
1.92,-3.76,0.091
-0.08,-3.36,0.145
0.72,-2.48,0.118
0.0,-2.72,0.203
3.76,-2.64,0.115
2.32,-2.88,0.096
-3.12,-3.84,0.82
-1.44,-2.08,0.827
0.48,-4.0,0.106
1.84,-2.24,0.103
-3.12,-3.2,0.866
2.0,-3.76,0.097
-2.96,-2.32,0.87
-1.44,-2.96,0.663
-1.68,-3.6,0.452
1.12,-3.12,0.094
3.76,-3.52,0.099
3.84,-2.64,0.095
0.0,-3.36,0.15
0.8,-2.48,0.142
-3.04,-3.2,0.834
0.08,-2.72,0.185
2.08,-3.76,0.1
-1.36,-2.08,0.836
2.4,-2.88,0.096
-3.04,-3.84,0.8
0.56,-4.0,0.11
1.92,-2.24,0.127
-2.88,-2.32,0.845
3.92,-2.64,0.096
-1.36,-2.96,0.614
-2.96,-3.2,0.846
-1.6,-3.6,0.458
1.2,-3.12,0.091
3.84,-3.52,0.105
0.08,-3.36,0.15
0.88,-2.48,0.137
2.16,-3.76,0.099
4.0,-2.64,0.101
-1.28,-2.08,0.818
0.16,-2.72,0.184
2.48,-2.88,0.096
-2.96,-3.84,0.804
0.64,-4.0,0.118
-2.88,-3.2,0.829
2.0,-2.24,0.097
-2.8,-2.32,0.854
-1.28,-2.96,0.606
-1.52,-3.6,0.397
1.28,-3.12,0.113
-4.0,-2.56,0.836
3.92,-3.52,0.098
0.16,-3.36,0.144
0.96,-2.48,0.16
-2.8,-3.2,0.849
2.24,-3.76,0.109
-1.2,-2.08,0.797
0.24,-2.72,0.16
-2.88,-3.84,0.783
2.56,-2.88,0.106
0.72,-4.0,0.115
2.08,-2.24,0.091
-2.72,-2.32,0.856
-1.2,-2.96,0.562
1.36,-3.12,0.102
4.0,-3.52,0.099
-2.72,-3.2,0.823
-3.92,-2.56,0.844
-1.44,-3.6,0.371
0.24,-3.36,0.13
1.04,-2.48,0.112
2.32,-3.76,0.111
-2.8,-3.84,0.792
-1.12,-2.08,0.791
0.32,-2.72,0.152
-4.0,-3.44,0.865
2.64,-2.88,0.091
1.44,-3.12,0.087
-2.64,-2.32,0.848
0.8,-4.0,0.097
-2.64,-3.2,0.816
2.16,-2.24,0.102
-1.12,-2.96,0.539
-3.84,-2.56,0.866
-1.36,-3.6,0.351
2.4,-3.76,0.103
-2.72,-3.84,0.761
0.32,-3.36,0.111
-2.56,-3.2,0.824
1.12,-2.48,0.124
-3.92,-3.44,0.86
0.4,-2.72,0.176
-1.04,-2.08,0.78
2.72,-2.88,0.097
-2.56,-2.32,0.853
1.52,-3.12,0.097
0.88,-4.0,0.094
2.24,-2.24,0.105
-3.76,-2.56,0.867
-1.04,-2.96,0.477
2.48,-3.76,0.101
-2.64,-3.84,0.76
-2.48,-3.2,0.836
-1.28,-3.6,0.302
0.4,-3.36,0.118
1.2,-2.48,0.095
-3.84,-3.44,0.86
-2.56,-3.84,0.741
2.56,-3.76,0.105
-2.48,-2.32,0.848
0.48,-2.72,0.156
-0.96,-2.08,0.789
2.8,-2.88,0.101
1.6,-3.12,0.097
