,opt,sigma,success_rate
221,2,2.21,0.923
222,2,2.22,0.919
223,2,2.23,0.911
224,2,2.24,0.91
225,2,2.25,0.92
226,2,2.2600000000000002,0.908
227,2,2.27,0.901
228,2,2.2800000000000002,0.911
229,2,2.29,0.907
230,2,2.3000000000000003,0.908
231,2,2.31,0.918
232,2,2.32,0.901
233,2,2.33,0.917
234,2,2.34,0.893
235,2,2.35,0.912
236,2,2.36,0.9
237,2,2.37,0.911
238,2,2.38,0.901
239,2,2.39,0.896
240,2,2.4,0.904
241,2,2.41,0.89
242,2,2.42,0.899
243,2,2.43,0.907
244,2,2.44,0.892
245,2,2.45,0.896
246,2,2.46,0.916
247,2,2.47,0.923
248,2,2.48,0.899
249,2,2.49,0.891
250,2,2.5,0.901
251,2,2.5100000000000002,0.899
252,2,2.52,0.896
253,2,2.5300000000000002,0.909
254,2,2.54,0.889
255,2,2.5500000000000003,0.89
256,2,2.56,0.899
257,2,2.57,0.922
258,2,2.58,0.893
259,2,2.59,0.902
260,2,2.6,0.891
261,2,2.61,0.906
262,2,2.62,0.888
263,2,2.63,0.886
264,2,2.64,0.882
265,2,2.65,0.892
266,2,2.66,0.891
267,2,2.67,0.891
268,2,2.68,0.897
269,2,2.69,0.881
270,2,2.7,0.898
271,2,2.71,0.898
272,2,2.72,0.915
273,2,2.73,0.887
274,2,2.74,0.882
275,2,2.75,0.886
276,2,2.7600000000000002,0.903
277,2,2.77,0.885
278,2,2.7800000000000002,0.896
279,2,2.79,0.883
280,2,2.8000000000000003,0.889
281,2,2.81,0.903
282,2,2.82,0.894
283,2,2.83,0.89
284,2,2.84,0.87
285,2,2.85,0.903
286,2,2.86,0.879
287,2,2.87,0.894
288,2,2.88,0.885
289,2,2.89,0.888
290,2,2.9,0.887
291,2,2.91,0.909
292,2,2.92,0.886
293,2,2.93,0.896
294,2,2.94,0.889
295,2,2.95,0.897
296,2,2.96,0.888
297,2,2.97,0.892
298,2,2.98,0.894
299,2,2.99,0.888
300,2,3.0,0.884
301,2,3.0100000000000002,0.897
302,2,3.02,0.89
303,2,3.0300000000000002,0.891
304,2,3.04,0.893
305,2,3.0500000000000003,0.878
306,2,3.06,0.895
307,2,3.0700000000000003,0.874
308,2,3.08,0.885
309,2,3.09,0.88
310,2,3.1,0.875
311,2,3.11,0.893
312,2,3.12,0.878
313,2,3.13,0.88
314,2,3.14,0.879
315,2,3.15,0.886
316,2,3.16,0.884
317,2,3.17,0.893
318,2,3.18,0.874
319,2,3.19,0.882
320,2,3.2,0.875
321,2,3.21,0.876
322,2,3.22,0.862
323,2,3.23,0.89
324,2,3.24,0.855
325,2,3.25,0.877
326,2,3.2600000000000002,0.862
327,2,3.27,0.866
328,2,3.2800000000000002,0.868
329,2,3.29,0.859
330,2,3.3000000000000003,0.888
331,2,3.31,0.865
332,2,3.3200000000000003,0.868
333,2,3.33,0.873
334,2,3.34,0.868
335,2,3.35,0.865
336,2,3.36,0.882
337,2,3.37,0.862
338,2,3.38,0.866
339,2,3.39,0.872
340,2,3.4,0.849
341,2,3.41,0.867
342,2,3.42,0.858
343,2,3.43,0.87
344,2,3.44,0.867
345,2,3.45,0.875
346,2,3.46,0.873
347,2,3.47,0.865
348,2,3.48,0.857
349,2,3.49,0.871
350,2,3.5,0.871
351,2,3.5100000000000002,0.867
352,2,3.52,0.87
353,2,3.5300000000000002,0.872
354,2,3.54,0.867
355,2,3.5500000000000003,0.871
356,2,3.56,0.851
357,2,3.5700000000000003,0.859
358,2,3.58,0.859
359,2,3.59,0.874
360,2,3.6,0.859
361,2,3.61,0.863
362,2,3.62,0.869
363,2,3.63,0.86
364,2,3.64,0.864
365,2,3.65,0.882
366,2,3.66,0.849
367,2,3.67,0.875
368,2,3.68,0.858
369,2,3.69,0.862
370,2,3.7,0.856
371,2,3.71,0.841
372,2,3.72,0.856
373,2,3.73,0.844
374,2,3.74,0.863
375,2,3.75,0.865
376,2,3.7600000000000002,0.856
377,2,3.77,0.854
378,2,3.7800000000000002,0.856
379,2,3.79,0.859
380,2,3.8000000000000003,0.848
381,2,3.81,0.851
382,2,3.8200000000000003,0.861
383,2,3.83,0.861
384,2,3.84,0.842
385,2,3.85,0.84
386,2,3.86,0.835
387,2,3.87,0.847
388,2,3.88,0.882
389,2,3.89,0.873
390,2,3.9,0.849
391,2,3.91,0.848
392,2,3.92,0.852
393,2,3.93,0.854
394,2,3.94,0.856
395,2,3.95,0.852
396,2,3.96,0.856
397,2,3.97,0.858
398,2,3.98,0.84
399,2,3.99,0.844
400,2,4.0,0.877
401,2,4.01,0.854
402,2,4.0200000000000005,0.849
403,2,4.03,0.847
404,2,4.04,0.858
405,2,4.05,0.853
406,2,4.0600000000000005,0.849
407,2,4.07,0.845
408,2,4.08,0.852
409,2,4.09,0.844
410,2,4.1,0.834
411,2,4.11,0.852
412,2,4.12,0.86
413,2,4.13,0.837
414,2,4.14,0.856
415,2,4.15,0.838
416,2,4.16,0.85
417,2,4.17,0.835
418,2,4.18,0.856
419,2,4.19,0.823
420,2,4.2,0.834
421,2,4.21,0.861
422,2,4.22,0.848
423,2,4.23,0.839
424,2,4.24,0.841
425,2,4.25,0.855
426,2,4.26,0.815
427,2,4.2700000000000005,0.838
428,2,4.28,0.854
429,2,4.29,0.854
430,2,4.3,0.849
431,2,4.3100000000000005,0.859
432,2,4.32,0.857
433,2,4.33,0.846
434,2,4.34,0.818
435,2,4.3500000000000005,0.842
436,2,4.36,0.838
437,2,4.37,0.851
438,2,4.38,0.825
439,2,4.39,0.859
440,2,4.4,0.844
441,2,4.41,0.848
442,2,4.42,0.848
443,2,4.43,0.844
444,2,4.44,0.833
445,2,4.45,0.821
446,2,4.46,0.837
447,2,4.47,0.842
448,2,4.48,0.826
449,2,4.49,0.821
450,2,4.5,0.839
451,2,4.51,0.839
452,2,4.5200000000000005,0.832
453,2,4.53,0.827
454,2,4.54,0.844
455,2,4.55,0.854
456,2,4.5600000000000005,0.837
457,2,4.57,0.821
458,2,4.58,0.824
459,2,4.59,0.855
460,2,4.6000000000000005,0.815
461,2,4.61,0.824
462,2,4.62,0.845
463,2,4.63,0.83
464,2,4.64,0.822
465,2,4.65,0.828
466,2,4.66,0.86
467,2,4.67,0.819
468,2,4.68,0.828
469,2,4.69,0.818
470,2,4.7,0.85
471,2,4.71,0.849
472,2,4.72,0.829
473,2,4.73,0.816
474,2,4.74,0.823
475,2,4.75,0.808
476,2,4.76,0.825
477,2,4.7700000000000005,0.812
478,2,4.78,0.838
479,2,4.79,0.856
480,2,4.8,0.796
481,2,4.8100000000000005,0.84
482,2,4.82,0.82
483,2,4.83,0.82
484,2,4.84,0.825
485,2,4.8500000000000005,0.827
486,2,4.86,0.829
487,2,4.87,0.82
488,2,4.88,0.818
489,2,4.89,0.835
490,2,4.9,0.82
491,2,4.91,0.849
492,2,4.92,0.822
493,2,4.93,0.813
494,2,4.94,0.847
495,2,4.95,0.806
496,2,4.96,0.813
497,2,4.97,0.794
498,2,4.98,0.819
499,2,4.99,0.811
500,2,5.0,0.829
501,10,0.0,0.231
502,10,0.01,0.237
503,10,0.02,0.243
504,10,0.03,0.242
505,10,0.04,0.247
506,10,0.05,0.272
507,10,0.06,0.267
508,10,0.07,0.277
509,10,0.08,0.294
510,10,0.09,0.294
511,10,0.1,0.326
512,10,0.11,0.3
513,10,0.12,0.318
514,10,0.13,0.336
515,10,0.14,0.377
516,10,0.15,0.358
517,10,0.16,0.375
518,10,0.17,0.385
519,10,0.18,0.406
520,10,0.19,0.378
521,10,0.2,0.425
522,10,0.21,0.429
523,10,0.22,0.45
524,10,0.23,0.436
525,10,0.24,0.467
526,10,0.25,0.483
527,10,0.26,0.473
528,10,0.27,0.522
529,10,0.28,0.543
530,10,0.29,0.543
531,10,0.3,0.538
532,10,0.31,0.521
533,10,0.32,0.56
534,10,0.33,0.594
535,10,0.34,0.602
536,10,0.35000000000000003,0.581
537,10,0.36,0.593
538,10,0.37,0.624
539,10,0.38,0.611
540,10,0.39,0.636
541,10,0.4,0.646
542,10,0.41000000000000003,0.671
543,10,0.42,0.685
544,10,0.43,0.697
545,10,0.44,0.732
546,10,0.45,0.707
547,10,0.46,0.722
548,10,0.47000000000000003,0.728
549,10,0.48,0.757
550,10,0.49,0.744
551,10,0.5,0.774
552,10,0.51,0.761
553,10,0.52,0.772
554,10,0.53,0.784
555,10,0.54,0.774
556,10,0.55,0.805
557,10,0.56,0.793
558,10,0.5700000000000001,0.801
559,10,0.58,0.807
560,10,0.59,0.826
561,10,0.6,0.806
562,10,0.61,0.813
563,10,0.62,0.813
564,10,0.63,0.808
565,10,0.64,0.841
566,10,0.65,0.847
567,10,0.66,0.836
568,10,0.67,0.843
569,10,0.68,0.842
570,10,0.6900000000000001,0.813
571,10,0.7000000000000001,0.831
572,10,0.71,0.841
573,10,0.72,0.855
574,10,0.73,0.833
575,10,0.74,0.844
576,10,0.75,0.856
577,10,0.76,0.867
578,10,0.77,0.815
579,10,0.78,0.836
580,10,0.79,0.853
581,10,0.8,0.865
582,10,0.81,0.858
583,10,0.8200000000000001,0.846
584,10,0.8300000000000001,0.886
585,10,0.84,0.853
586,10,0.85,0.854
587,10,0.86,0.836
588,10,0.87,0.868
589,10,0.88,0.851
590,10,0.89,0.863
591,10,0.9,0.867
592,10,0.91,0.873
593,10,0.92,0.846
594,10,0.93,0.871
595,10,0.9400000000000001,0.872
596,10,0.9500000000000001,0.879
597,10,0.96,0.866
598,10,0.97,0.863
599,10,0.98,0.856
600,10,0.99,0.838
601,10,1.0,0.859
602,10,1.01,0.863
603,10,1.02,0.868
604,10,1.03,0.849
605,10,1.04,0.839
606,10,1.05,0.835
607,10,1.06,0.836
608,10,1.07,0.846
609,10,1.08,0.86
610,10,1.09,0.876
611,10,1.1,0.86
612,10,1.11,0.856
613,10,1.12,0.84
614,10,1.1300000000000001,0.855
615,10,1.1400000000000001,0.85
616,10,1.1500000000000001,0.838
617,10,1.16,0.853
618,10,1.17,0.858
619,10,1.18,0.832
620,10,1.19,0.844
621,10,1.2,0.854
622,10,1.21,0.844
623,10,1.22,0.86
624,10,1.23,0.852
625,10,1.24,0.831
626,10,1.25,0.846
627,10,1.26,0.85
628,10,1.27,0.84
629,10,1.28,0.845
630,10,1.29,0.844
631,10,1.3,0.831
632,10,1.31,0.847
633,10,1.32,0.835
634,10,1.33,0.826
635,10,1.34,0.841
636,10,1.35,0.847
637,10,1.36,0.849
638,10,1.37,0.848
639,10,1.3800000000000001,0.807
