,avg_incrt,avg_incrt_w_n,avg_pval,mum,nop,success_rate
89,0.040574999999999535,0.014450000000000063,0.07634017870863916,780,5,0.9625
90,0.04357499999999947,0.01680000000000009,0.06596978301947808,800,5,0.966
91,0.041399999999999465,0.016550000000000092,0.06403113916656793,820,5,0.9705
92,0.041024999999999576,0.016050000000000075,0.06257950049533277,840,5,0.9655
93,0.03824999999999955,0.014300000000000056,0.06634852962730721,860,5,0.9765
94,0.037674999999999494,0.013700000000000056,0.06109871516811069,880,5,0.969
95,0.03747499999999957,0.01430000000000005,0.06086805307695427,900,5,0.973
96,0.03804999999999956,0.014950000000000062,0.05590646218955245,920,5,0.971
97,0.036574999999999566,0.014125000000000052,0.06550280672049241,940,5,0.9695
98,0.03449999999999963,0.015150000000000077,0.06866315756330822,960,5,0.9675
99,0.03439999999999968,0.014350000000000059,0.06049498444110659,980,5,0.969
100,0.03464999999999967,0.013050000000000046,0.05922826928310227,1000,5,0.973
101,0.0327499999999997,0.012950000000000043,0.06371829433078412,1020,5,0.9635
102,0.03442499999999966,0.013700000000000056,0.058186874906017316,1040,5,0.9645
103,0.03287499999999973,0.01380000000000005,0.056489616154227124,1060,5,0.9705
104,0.03137499999999973,0.013275000000000039,0.06111913656079155,1080,5,0.9695
105,0.032899999999999784,0.014400000000000055,0.05680339578872978,1100,5,0.968
106,0.032299999999999746,0.012800000000000042,0.060622857287334374,1120,5,0.969
107,0.029399999999999833,0.011700000000000023,0.05523794563443176,1140,5,0.9785
108,0.031849999999999754,0.01435000000000006,0.056904718821362124,1160,5,0.9735
109,0.03179999999999974,0.013900000000000062,0.05374370405303888,1180,5,0.97
110,0.030074999999999786,0.012425000000000038,0.056136149097157285,1200,5,0.9755
111,0.028549999999999826,0.01225000000000004,0.05393378642270648,1220,5,0.9725
112,0.02809999999999984,0.012000000000000028,0.050669325683377286,1240,5,0.9745
113,0.02762499999999985,0.011950000000000034,0.04623276024951072,1260,5,0.983
114,0.02764999999999984,0.011950000000000034,0.05438207832485583,1280,5,0.97
115,0.028874999999999842,0.012550000000000037,0.05572803882725029,1300,5,0.972
116,0.028449999999999774,0.013150000000000047,0.049813543370159835,1320,5,0.9715
117,0.02814999999999982,0.011825000000000028,0.05441257898898134,1340,5,0.9765
118,0.026299999999999876,0.012000000000000031,0.04745374180881517,1360,5,0.973
119,0.024924999999999854,0.01180000000000003,0.05177775388346356,1380,5,0.9735
120,0.026874999999999857,0.012500000000000037,0.050922140049247375,1400,5,0.975
121,0.02582499999999988,0.012600000000000037,0.05146543882356429,1420,5,0.9725
122,0.025999999999999898,0.011700000000000028,0.04625954536090886,1440,5,0.979
123,0.025099999999999855,0.01100000000000002,0.04922748963350895,1460,5,0.978
124,0.02364999999999993,0.01110000000000002,0.04697278092082639,1480,5,0.976
125,0.025724999999999866,0.011550000000000024,0.048914112497832896,1500,5,0.9765
126,0.025499999999999867,0.013000000000000046,0.04913177723542724,1520,5,0.9735
127,0.024974999999999952,0.012500000000000037,0.05248343316365538,1540,5,0.9715
128,0.023699999999999957,0.011600000000000027,0.04712734304728309,1560,5,0.971
129,0.02399999999999991,0.010200000000000002,0.04740470090609285,1580,5,0.9795
130,0.02529999999999992,0.012650000000000036,0.0486892146862811,1600,5,0.9705
131,0.02369999999999995,0.010400000000000015,0.050992964728318026,1620,5,0.976
132,0.023774999999999904,0.010600000000000009,0.050605211865461075,1640,5,0.98
133,0.023474999999999933,0.013000000000000043,0.04082228740322124,1660,5,0.971
134,0.02407499999999991,0.010850000000000018,0.048339845696497075,1680,5,0.98
135,0.02159999999999994,0.010650000000000014,0.04717052088936972,1700,5,0.977
136,0.023299999999999932,0.010500000000000013,0.04437487565870142,1720,5,0.977
137,0.023374999999999917,0.012500000000000037,0.04091209812613808,1740,5,0.972
138,0.022824999999999956,0.010100000000000005,0.04596809046311315,1760,5,0.977
139,0.02289999999999992,0.010950000000000019,0.04276810222649249,1780,5,0.9795
140,0.02049999999999998,0.009750000000000003,0.04223511781305058,1800,5,0.9805
141,0.021850000000000012,0.010300000000000009,0.042042922263803365,1820,5,0.9745
142,0.02107499999999997,0.010150000000000011,0.04651479725415519,1840,5,0.981
143,0.021374999999999957,0.010250000000000007,0.04399841534218718,1860,5,0.98
144,0.021024999999999967,0.008899999999999993,0.04260404697690211,1880,5,0.9805
145,0.020824999999999972,0.009750000000000005,0.04247997706449447,1900,5,0.981
146,0.019225000000000023,0.009499999999999998,0.044189469452460425,1920,5,0.978
147,0.019775000000000036,0.01025000000000001,0.04118086447411667,1940,5,0.9815
148,0.02027499999999998,0.011200000000000022,0.038373475681590205,1960,5,0.9775
149,0.02065,0.010450000000000013,0.046130040917034126,1980,5,0.98
150,0.06001111111111175,0.02003888888888915,0.1305340845871883,500,10,0.925
151,0.058827777777778374,0.019433333333333528,0.12419653597450048,520,10,0.939
152,0.057033333333334074,0.019738888888889104,0.11618116822848576,540,10,0.9425
153,0.05537777777777844,0.019155555555555724,0.10987954134993046,560,10,0.94
154,0.05520000000000071,0.01994444444444471,0.12582769486977666,580,10,0.9335
155,0.05222777777777847,0.01755000000000007,0.11133384109743934,600,10,0.944
156,0.049977777777778336,0.018622222222222363,0.11743409464297916,620,10,0.938
157,0.048900000000000644,0.016822222222222235,0.11726819564037776,640,10,0.9405
158,0.04920555555555636,0.017533333333333415,0.10473276327683513,660,10,0.953
159,0.04743888888888954,0.017516666666666736,0.11521108422551989,680,10,0.9395
160,0.046105555555556156,0.016388888888888883,0.12007038098230416,700,10,0.935
161,0.044961111111111805,0.016261111111111087,0.09761541168637408,720,10,0.954
162,0.04351111111111177,0.016149999999999963,0.11442017036032849,740,10,0.9465
163,0.042683333333333906,0.01533888888888884,0.09741443641904185,760,10,0.9525
164,0.042127777777778416,0.015533333333333283,0.10490508816777719,780,10,0.9445
165,0.04243888888888952,0.016022222222222174,0.1107537259726561,800,10,0.95
166,0.040216666666667296,0.015411111111111061,0.10383205681024342,820,10,0.946
167,0.04033888888888955,0.015533333333333284,0.097160589598571,840,10,0.9545
168,0.039088888888889624,0.015411111111111061,0.09895868495382733,860,10,0.95
169,0.038677777777778345,0.015477777777777727,0.09847235213636957,880,10,0.9435
170,0.0371222222222229,0.014061111111111068,0.09496647419186827,900,10,0.9455
171,0.037344444444445096,0.014827777777777731,0.09841285858464478,920,10,0.9475
172,0.03585000000000059,0.01415555555555551,0.08665930626497612,940,10,0.957
173,0.03645000000000059,0.014744444444444395,0.08205308066011975,960,10,0.9545
174,0.035661111111111705,0.014622222222222175,0.08746953930489514,980,10,0.9545
175,0.03543333333333392,0.014155555555555508,0.0940310456362309,1000,10,0.955
176,0.03357777777777835,0.014227777777777732,0.09037996754243655,1020,10,0.9525
177,0.03343888888888961,0.013666666666666626,0.08170406351298709,1040,10,0.9565
178,0.033694444444445026,0.014616666666666622,0.09168650056067555,1060,10,0.955
179,0.031838888888889555,0.013038888888888846,0.08691555035757892,1080,10,0.958
180,0.03238333333333397,0.014022222222222177,0.08261618417421289,1100,10,0.9575
181,0.031738888888889545,0.013399999999999955,0.07977203095548586,1120,10,0.9545
182,0.03108333333333398,0.013377777777777735,0.08042558705215559,1140,10,0.946
183,0.030911111111111726,0.01289999999999996,0.08848556770529221,1160,10,0.953
184,0.030033333333333998,0.012777777777777735,0.0790699265375495,1180,10,0.962
185,0.03006666666666729,0.012733333333333293,0.08425860392065328,1200,10,0.965
186,0.029833333333333965,0.012627777777777736,0.073889983609075,1220,10,0.9585
187,0.029233333333333982,0.012333333333333293,0.07661030235363123,1240,10,0.963
188,0.02883888888888952,0.012483333333333294,0.0723225970555646,1260,10,0.9645
189,0.029566666666667313,0.012999999999999958,0.0804426584366929,1280,10,0.958
190,0.028250000000000622,0.012822222222222181,0.07443611972251706,1300,10,0.968
191,0.027838888888889454,0.011994444444444407,0.0773303091449845,1320,10,0.9645
192,0.027116666666667257,0.011894444444444405,0.07819212647362492,1340,10,0.9615
193,0.027138888888889504,0.012533333333333294,0.07767263794325985,1360,10,0.9505
194,0.02660000000000062,0.012233333333333296,0.07170088716518384,1380,10,0.961
195,0.02726111111111173,0.012855555555555516,0.0745148777450833,1400,10,0.9555
196,0.026400000000000708,0.012322222222222182,0.07478428550418514,1420,10,0.955
197,0.02491666666666731,0.011572222222222185,0.07210555136787797,1440,10,0.9645
198,0.02525000000000062,0.011777777777777741,0.07636682476948473,1460,10,0.9575
199,0.025188888888889472,0.01151666666666663,0.072946528064793,1480,10,0.9645
200,0.02476666666666728,0.011544444444444408,0.07573058017302745,1500,10,0.9615
201,0.024511111111111747,0.011755555555555517,0.06927822276329167,1520,10,0.9665
202,0.024600000000000573,0.011333333333333296,0.06835914683630226,1540,10,0.9655
203,0.024572222222222797,0.011249999999999963,0.07784546348461541,1560,10,0.962
204,0.023677777777778367,0.010927777777777743,0.07793918927355287,1580,10,0.9635
205,0.024088888888889458,0.010977777777777744,0.0727598229762134,1600,10,0.958
206,0.023861111111111697,0.011255555555555519,0.06547183309551576,1620,10,0.9655
207,0.02267222222222277,0.010555555555555521,0.07086105821555587,1640,10,0.961
208,0.0223277777777783,0.0107333333333333,0.06625655726265023,1660,10,0.9625
209,0.023077777777778374,0.011077777777777744,0.0630883812759215,1680,10,0.966
210,0.02335555555555617,0.011011111111111076,0.06277948975900668,1700,10,0.9655
211,0.022116666666667183,0.010633333333333298,0.06574712654651502,1720,10,0.9655
212,0.02265555555555616,0.011122222222222186,0.06776953367272068,1740,10,0.9675
213,0.022005555555556125,0.011055555555555522,0.07158010049230018,1760,10,0.9665
214,0.021433333333333887,0.010299999999999967,0.07033333870749613,1780,10,0.9625
215,0.021027777777778305,0.010494444444444412,0.06825696120332195,1800,10,0.9665
216,0.021255555555556083,0.0103333333333333,0.059901893149481016,1820,10,0.968
217,0.0214888888888894,0.01054444444444441,0.06532545035978997,1840,10,0.971
218,0.021261111111111602,0.010522222222222188,0.06192873394597752,1860,10,0.9715
219,0.020550000000000502,0.010188888888888857,0.06804788554512073,1880,10,0.966
220,0.020416666666667187,0.009899999999999968,0.06904989315641166,1900,10,0.9645
221,0.020066666666667198,0.010133333333333302,0.07103127534099239,1920,10,0.961
222,0.020477777777778275,0.010066666666666637,0.06595462495870814,1940,10,0.9705
223,0.020111111111111583,0.009988888888888856,0.06159092121470469,1960,10,0.971
224,0.020038888888889397,0.010655555555555522,0.06750275588213493,1980,10,0.969
225,0.06051842105263166,0.020325000000000024,0.18168424701924518,500,20,0.8995
226,0.05973552631578966,0.020157894736842128,0.16808615730110466,520,20,0.9095
227,0.056128947368421216,0.018896052631579018,0.176282350006758,540,20,0.907
228,0.0557447368421054,0.019280263157894786,0.17366192891255566,560,20,0.8965
229,0.053256578947368675,0.01883815789473688,0.17137921033487305,580,20,0.9075
230,0.05284342105263179,0.018246052631579024,0.1748094609924344,600,20,0.905
231,0.051065789473684176,0.01825263157894743,0.16425907612931684,620,20,0.9125
232,0.0495342105263159,0.018072368421052674,0.15699366399620138,640,20,0.91
233,0.04863947368421056,0.017486842105263217,0.16111949166799808,660,20,0.9085
234,0.04762105263157918,0.017165789473684266,0.15661178658505534,680,20,0.9165
235,0.045642105263158046,0.016376315789473714,0.1413026049671888,700,20,0.923
236,0.04572763157894742,0.017269736842105345,0.14964084617523774,720,20,0.9255
237,0.04369736842105266,0.01666578947368423,0.1359623669125099,740,20,0.921
238,0.0435657894736843,0.016051315789473705,0.15204520602206678,760,20,0.9195
239,0.041669736842105266,0.015694736842105303,0.15096939860293787,780,20,0.925
240,0.04157631578947363,0.015552631578947412,0.14563334752021453,800,20,0.9265
241,0.03976315789473694,0.015180263157894783,0.14001802406202568,820,20,0.929
242,0.03958421052631584,0.015423684210526343,0.14069153806606627,840,20,0.925
243,0.038482894736842126,0.01558947368421055,0.13611844091576936,860,20,0.929
244,0.03880263157894743,0.01506710526315793,0.13758726851033234,880,20,0.9325
245,0.03726710526315795,0.014863157894736915,0.13154139673307605,900,20,0.9295
246,0.036905263157894865,0.014673684210526361,0.1350991054742598,920,20,0.923
247,0.03629210526315798,0.014538157894736909,0.1295085511835534,940,20,0.9255
