,avg_incrt,avg_incrt_w_n,avg_pval,mum,nop,success_rate
0,0.05775,0.0245,0.043385225870211194,500,2,0.976
1,0.06325,0.0215,0.044618891413406574,520,2,0.979
2,0.06325,0.0215,0.041249263206954184,540,2,0.9785
3,0.051,0.018,0.03559949131120761,560,2,0.9825
4,0.05125,0.02225,0.033551881354567874,580,2,0.9785
5,0.05225,0.02,0.04016127410408044,600,2,0.9805
6,0.05725,0.0225,0.04062149904873547,620,2,0.9785
7,0.0515,0.0215,0.03601673541553754,640,2,0.979
8,0.0475,0.0155,0.03432979034830013,660,2,0.9855
9,0.047,0.0185,0.03256525795120969,680,2,0.982
10,0.04875,0.0185,0.0376468605865799,700,2,0.982
11,0.04325,0.0125,0.03178793198421305,720,2,0.988
12,0.042,0.019,0.03376856827240099,740,2,0.9815
13,0.05175,0.0225,0.03610709520613881,760,2,0.978
14,0.0465,0.0175,0.033450667274490205,780,2,0.983
15,0.03875,0.013,0.02966011361471414,800,2,0.988
16,0.04475,0.014,0.027897062395762274,820,2,0.986
17,0.0415,0.0175,0.03364594921678425,840,2,0.9825
18,0.042,0.014,0.02886118497278604,860,2,0.9865
19,0.039,0.015,0.030875775894149193,880,2,0.986
20,0.0335,0.014,0.03055540396061021,900,2,0.987
21,0.04075,0.017,0.03381777992566376,920,2,0.983
22,0.033,0.011,0.029233543235677516,940,2,0.9895
23,0.03375,0.0135,0.032075705873922514,960,2,0.9865
24,0.04,0.018,0.030340907513642486,980,2,0.9815
25,0.0305,0.013,0.02892012866698677,1000,2,0.9875
26,0.0325,0.0095,0.030222624081507773,1020,2,0.991
27,0.03,0.012,0.031205988100829994,1040,2,0.989
28,0.039,0.01425,0.029880963114549464,1060,2,0.9865
29,0.028,0.0105,0.02509376737003846,1080,2,0.99
30,0.0285,0.011,0.02437585917877217,1100,2,0.9895
31,0.0275,0.0085,0.028636027069629092,1120,2,0.992
32,0.031,0.013,0.026721765156975778,1140,2,0.9875
33,0.02625,0.012,0.024869954672059005,1160,2,0.9885
34,0.02525,0.0105,0.025989917766425272,1180,2,0.9905
35,0.0355,0.0185,0.027063342131001682,1200,2,0.982
36,0.0275,0.014,0.02631301674903191,1220,2,0.9865
37,0.033,0.016,0.0257807300718661,1240,2,0.985
38,0.03275,0.0175,0.02843003274293382,1260,2,0.983
39,0.02975,0.012,0.025578044879457727,1280,2,0.9885
40,0.02775,0.015,0.029495534285171182,1300,2,0.985
41,0.0275,0.012,0.02719294755361108,1320,2,0.9885
42,0.02725,0.0105,0.02228563477677766,1340,2,0.9905
43,0.03325,0.0185,0.025675307216524362,1360,2,0.982
44,0.02275,0.0105,0.022182241720202025,1380,2,0.99
45,0.03375,0.0135,0.02960592226084527,1400,2,0.9865
46,0.0275,0.0125,0.026416557143074344,1420,2,0.988
47,0.02525,0.013,0.023098659612314183,1440,2,0.9875
48,0.02475,0.013,0.021469960335983886,1460,2,0.9875
49,0.02975,0.016,0.025192469680479328,1480,2,0.984
50,0.024,0.0115,0.024865823260855683,1500,2,0.989
51,0.02425,0.0115,0.02748030503646613,1520,2,0.989
52,0.02725,0.01425,0.023396042963336743,1540,2,0.9865
53,0.0225,0.00825,0.02435452351037171,1560,2,0.992
54,0.025,0.0085,0.024040168013046738,1580,2,0.9915
55,0.026,0.016,0.025463489565958196,1600,2,0.984
56,0.02325,0.0135,0.02537387669008352,1620,2,0.987
57,0.02225,0.0085,0.02281409617844968,1640,2,0.992
58,0.02125,0.0095,0.019834538736917325,1660,2,0.991
59,0.018,0.006,0.015496044357562879,1680,2,0.9945
60,0.021,0.0095,0.02177230613806205,1700,2,0.991
61,0.02225,0.0135,0.019186148276270833,1720,2,0.987
62,0.0255,0.0125,0.028029835510419945,1740,2,0.988
63,0.02125,0.0105,0.019950254650714684,1760,2,0.99
64,0.021,0.011,0.021140363693581053,1780,2,0.9895
65,0.0225,0.0105,0.01837775685284248,1800,2,0.99
66,0.02025,0.012,0.02227802240220257,1820,2,0.9885
67,0.021,0.012,0.02186557933259203,1840,2,0.9885
68,0.01925,0.008,0.017723566353633247,1860,2,0.9925
69,0.01825,0.009,0.021519103337495984,1880,2,0.991
70,0.01925,0.0095,0.0194146467533169,1900,2,0.991
71,0.01775,0.0105,0.016939788484732793,1920,2,0.99
72,0.02075,0.009,0.019697375555683235,1940,2,0.9915
73,0.022,0.0105,0.019656186954256877,1960,2,0.99
74,0.02025,0.0085,0.01965243472014789,1980,2,0.992
75,0.05969999999999929,0.020800000000000145,0.08905625394942515,500,5,0.957
76,0.05907499999999917,0.01950000000000012,0.08412372034633843,520,5,0.9575
77,0.057374999999999184,0.020375000000000133,0.08352685960369825,540,5,0.958
78,0.054124999999999264,0.018000000000000103,0.08038528174945314,560,5,0.9545
79,0.05342499999999922,0.018125000000000113,0.07787737048030724,580,5,0.964
80,0.05227499999999923,0.017700000000000087,0.07032636837487519,600,5,0.963
81,0.051899999999999245,0.01965000000000012,0.08058458988568498,620,5,0.9595
82,0.04987499999999934,0.018950000000000102,0.07620167075105719,640,5,0.963
83,0.04707499999999932,0.016800000000000093,0.07056473274997795,660,5,0.9685
84,0.04734999999999938,0.016400000000000088,0.07715493928321847,680,5,0.956
85,0.045824999999999394,0.01665000000000008,0.076214090252815,700,5,0.961
86,0.04424999999999945,0.016600000000000083,0.07543798395680791,720,5,0.961
87,0.047149999999999394,0.01730000000000009,0.0726769142553508,740,5,0.961
88,0.04272499999999943,0.015550000000000074,0.06855114873334461,760,5,0.9705
89,0.04169999999999947,0.015500000000000081,0.06775695723878582,780,5,0.97
90,0.04194999999999951,0.01505000000000006,0.07104071374786913,800,5,0.9655
91,0.040849999999999505,0.01530000000000007,0.0638293017832336,820,5,0.966
92,0.037424999999999604,0.015600000000000069,0.06779296535979112,840,5,0.9645
93,0.03889999999999953,0.015400000000000075,0.06426242187444728,860,5,0.962
94,0.03879999999999956,0.016950000000000087,0.06810920893152907,880,5,0.957
95,0.035824999999999635,0.012175000000000033,0.060206175544100037,900,5,0.973
96,0.03734999999999963,0.01550000000000006,0.0662730336243907,920,5,0.9655
97,0.03702499999999956,0.013350000000000042,0.06682081183458027,940,5,0.965
98,0.035274999999999675,0.013100000000000039,0.06388065793704474,960,5,0.968
99,0.03639999999999961,0.01380000000000005,0.05569754239838242,980,5,0.9755
100,0.03299999999999973,0.012750000000000039,0.059186632465541796,1000,5,0.9755
101,0.03522499999999969,0.015150000000000068,0.058638392930521414,1020,5,0.969
102,0.03472499999999964,0.014650000000000055,0.060958451486276155,1040,5,0.9685
103,0.0344499999999997,0.01515000000000007,0.056301201220125274,1060,5,0.967
104,0.033949999999999717,0.014000000000000052,0.05383254154285048,1080,5,0.9705
105,0.03294999999999976,0.014150000000000053,0.048004010933550834,1100,5,0.969
106,0.0318249999999997,0.013200000000000047,0.06044195713090556,1120,5,0.97
107,0.03279999999999976,0.014750000000000056,0.0538341963718479,1140,5,0.9705
108,0.02967499999999982,0.012550000000000039,0.05295038697307532,1160,5,0.9725
109,0.0306499999999998,0.013025000000000042,0.054967512907006605,1180,5,0.975
