$\sigma_{x_1}$,$\sigma_{x_2}$,$\sigma_{h_1}$,$\sigma_{h_2}$,success_rate
1.72,3.44,0.04,0.04,0.204
2.0,4.0,0.24,0.24,0.242
3.88,7.76,0.12,0.12,0.236
1.76,3.52,0.8,0.8,0.492
2.56,5.12,0.64,0.64,0.317
3.96,7.92,0.88,0.88,0.377
1.0,2.0,0.96,0.96,0.674
0.44,0.88,0.56,0.56,0.567
3.12,6.24,0.28,0.28,0.263
0.72,1.44,0.76,0.76,0.62
0.2,0.4,0.36,0.36,0.475
1.52,3.04,0.6,0.6,0.422
2.88,5.76,0.84,0.84,0.399
3.4,6.8,0.48,0.48,0.28
3.68,7.36,0.68,0.68,0.312
0.96,1.92,0.2,0.2,0.257
1.24,2.48,0.4,0.4,0.329
2.36,4.72,0.44,0.44,0.303
2.88,5.76,0.08,0.08,0.215
0.72,1.44,0.0,0.0,0.184
1.8,3.6,0.8,0.8,0.466
1.76,3.52,0.04,0.04,0.214
2.6,5.2,0.64,0.64,0.368
0.48,0.96,0.56,0.56,0.558
2.04,4.08,0.24,0.24,0.229
3.92,7.84,0.12,0.12,0.233
3.16,6.32,0.28,0.28,0.262
0.76,1.52,0.76,0.76,0.614
4.0,8.0,0.88,0.88,0.352
1.04,2.08,0.96,0.96,0.675
1.56,3.12,0.6,0.6,0.445
1.0,2.0,0.2,0.2,0.259
0.24,0.48,0.36,0.36,0.494
2.4,4.8,0.44,0.44,0.299
1.28,2.56,0.4,0.4,0.34
3.72,7.44,0.68,0.68,0.299
3.44,6.88,0.48,0.48,0.289
2.92,5.84,0.84,0.84,0.397
1.8,3.6,0.04,0.04,0.218
2.92,5.84,0.08,0.08,0.206
1.84,3.68,0.8,0.8,0.451
2.64,5.28,0.64,0.64,0.341
0.76,1.52,0.0,0.0,0.18
0.52,1.04,0.56,0.56,0.498
1.08,2.16,0.96,0.96,0.66
3.2,6.4,0.28,0.28,0.262
0.0,0.0,0.92,0.92,0.749
2.44,4.88,0.44,0.44,0.292
0.8,1.6,0.76,0.76,0.63
3.96,7.92,0.12,0.12,0.239
1.04,2.08,0.2,0.2,0.242
2.08,4.16,0.24,0.24,0.266
3.48,6.96,0.48,0.48,0.282
1.6,3.2,0.6,0.6,0.411
1.32,2.64,0.4,0.4,0.335
2.68,5.36,0.64,0.64,0.346
0.28,0.56,0.36,0.36,0.464
1.88,3.76,0.8,0.8,0.446
2.96,5.92,0.08,0.08,0.214
0.56,1.12,0.56,0.56,0.523
3.76,7.52,0.68,0.68,0.296
2.96,5.92,0.84,0.84,0.396
1.84,3.68,0.04,0.04,0.221
0.8,1.6,0.0,0.0,0.2
2.48,4.96,0.44,0.44,0.291
3.24,6.48,0.28,0.28,0.261
1.12,2.24,0.96,0.96,0.625
4.0,8.0,0.12,0.12,0.225
0.84,1.68,0.76,0.76,0.598
0.04,0.08,0.92,0.92,0.739
1.92,3.84,0.8,0.8,0.456
1.08,2.16,0.2,0.2,0.244
2.12,4.24,0.24,0.24,0.263
2.72,5.44,0.64,0.64,0.36
3.52,7.04,0.48,0.48,0.263
0.32,0.64,0.36,0.36,0.47
3.0,6.0,0.08,0.08,0.221
1.64,3.28,0.6,0.6,0.411
0.6,1.2,0.56,0.56,0.539
1.36,2.72,0.4,0.4,0.346
1.88,3.76,0.04,0.04,0.19
3.8,7.6,0.68,0.68,0.31
3.0,6.0,0.84,0.84,0.413
2.52,5.04,0.44,0.44,0.272
1.16,2.32,0.96,0.96,0.644
0.84,1.68,0.0,0.0,0.206
0.0,0.0,0.16,0.16,0.376
0.08,0.16,0.92,0.92,0.719
3.28,6.56,0.28,0.28,0.238
1.96,3.92,0.8,0.8,0.453
2.16,4.32,0.24,0.24,0.258
0.88,1.76,0.76,0.76,0.588
0.64,1.28,0.56,0.56,0.53
3.04,6.08,0.08,0.08,0.213
2.76,5.52,0.64,0.64,0.359
1.4,2.8,0.4,0.4,0.332
3.56,7.12,0.48,0.48,0.292
1.12,2.24,0.2,0.2,0.244
0.36,0.72,0.36,0.36,0.45
1.68,3.36,0.6,0.6,0.411
2.56,5.12,0.44,0.44,0.285
1.92,3.84,0.04,0.04,0.217
1.2,2.4,0.96,0.96,0.65
3.84,7.68,0.68,0.68,0.308
3.04,6.08,0.84,0.84,0.388
0.88,1.76,0.0,0.0,0.187
0.04,0.08,0.16,0.16,0.366
3.32,6.64,0.28,0.28,0.28
1.44,2.88,0.4,0.4,0.349
2.2,4.4,0.24,0.24,0.226
0.68,1.36,0.56,0.56,0.54
0.12,0.24,0.92,0.92,0.734
2.0,4.0,0.8,0.8,0.476
0.4,0.8,0.36,0.36,0.453
2.8,5.6,0.64,0.64,0.342
1.16,2.32,0.2,0.2,0.241
0.92,1.84,0.76,0.76,0.578
1.72,3.44,0.6,0.6,0.398
3.6,7.2,0.48,0.48,0.276
3.88,7.76,0.68,0.68,0.316
3.08,6.16,0.08,0.08,0.194
2.6,5.2,0.44,0.44,0.301
1.24,2.48,0.96,0.96,0.621
1.96,3.92,0.04,0.04,0.198
3.08,6.16,0.84,0.84,0.374
0.92,1.84,0.0,0.0,0.194
0.08,0.16,0.16,0.16,0.393
3.36,6.72,0.28,0.28,0.235
2.24,4.48,0.24,0.24,0.254
2.04,4.08,0.8,0.8,0.437
2.84,5.68,0.64,0.64,0.329
0.16,0.32,0.92,0.92,0.72
0.96,1.92,0.76,0.76,0.56
1.48,2.96,0.4,0.4,0.313
0.44,0.88,0.36,0.36,0.446
3.12,6.24,0.08,0.08,0.25
1.76,3.52,0.6,0.6,0.369
0.72,1.44,0.56,0.56,0.524
2.64,5.28,0.44,0.44,0.294
3.92,7.84,0.68,0.68,0.289
1.2,2.4,0.2,0.2,0.277
3.64,7.28,0.48,0.48,0.265
2.0,4.0,0.04,0.04,0.204
3.12,6.24,0.84,0.84,0.342
1.28,2.56,0.96,0.96,0.625
0.96,1.92,0.0,0.0,0.19
2.08,4.16,0.8,0.8,0.466
2.28,4.56,0.24,0.24,0.246
0.12,0.24,0.16,0.16,0.372
0.48,0.96,0.36,0.36,0.472
2.88,5.76,0.64,0.64,0.318
3.4,6.8,0.28,0.28,0.246
1.0,2.0,0.76,0.76,0.552
1.8,3.6,0.6,0.6,0.419
0.2,0.4,0.92,0.92,0.716
2.68,5.36,0.44,0.44,0.299
1.52,3.04,0.4,0.4,0.343
1.24,2.48,0.2,0.2,0.263
3.16,6.32,0.08,0.08,0.248
2.04,4.08,0.04,0.04,0.199
3.96,7.92,0.68,0.68,0.308
3.68,7.36,0.48,0.48,0.275
0.76,1.52,0.56,0.56,0.498
2.32,4.64,0.24,0.24,0.251
1.32,2.64,0.96,0.96,0.627
2.12,4.24,0.8,0.8,0.43
3.16,6.32,0.84,0.84,0.384
3.44,6.88,0.28,0.28,0.231
1.0,2.0,0.0,0.0,0.186
0.52,1.04,0.36,0.36,0.462
1.04,2.08,0.76,0.76,0.574
1.84,3.68,0.6,0.6,0.406
2.92,5.84,0.64,0.64,0.348
2.72,5.44,0.44,0.44,0.301
1.28,2.56,0.2,0.2,0.242
0.24,0.48,0.92,0.92,0.699
0.16,0.32,0.16,0.16,0.363
3.72,7.44,0.48,0.48,0.279
3.2,6.4,0.08,0.08,0.234
2.08,4.16,0.04,0.04,0.197
4.0,8.0,0.68,0.68,0.331
1.56,3.12,0.4,0.4,0.329
0.8,1.6,0.56,0.56,0.497
2.36,4.72,0.24,0.24,0.239
1.36,2.72,0.96,0.96,0.591
2.16,4.32,0.8,0.8,0.448
3.48,6.96,0.28,0.28,0.263
3.2,6.4,0.84,0.84,0.382
0.56,1.12,0.36,0.36,0.424
2.96,5.92,0.64,0.64,0.332
1.04,2.08,0.0,0.0,0.198
1.08,2.16,0.76,0.76,0.568
1.88,3.76,0.6,0.6,0.375
2.76,5.52,0.44,0.44,0.281
0.28,0.56,0.92,0.92,0.733
0.0,0.0,0.72,0.72,0.638
3.24,6.48,0.08,0.08,0.204
0.2,0.4,0.16,0.16,0.367
1.32,2.64,0.2,0.2,0.264
2.12,4.24,0.04,0.04,0.208
1.6,3.2,0.4,0.4,0.33
3.76,7.52,0.48,0.48,0.299
0.84,1.68,0.56,0.56,0.502
2.4,4.8,0.24,0.24,0.245
1.4,2.8,0.96,0.96,0.611
3.0,6.0,0.64,0.64,0.337
3.52,7.04,0.28,0.28,0.238
3.24,6.48,0.84,0.84,0.404
1.12,2.24,0.76,0.76,0.566
0.04,0.08,0.72,0.72,0.648
0.24,0.48,0.16,0.16,0.342
2.2,4.4,0.8,0.8,0.429
0.32,0.64,0.92,0.92,0.742
0.6,1.2,0.36,0.36,0.405
1.08,2.16,0.0,0.0,0.17
3.28,6.56,0.08,0.08,0.226
1.92,3.84,0.6,0.6,0.393
2.8,5.6,0.44,0.44,0.312
3.8,7.6,0.48,0.48,0.281
1.36,2.72,0.2,0.2,0.258
2.16,4.32,0.04,0.04,0.194
1.64,3.28,0.4,0.4,0.329
2.44,4.88,0.24,0.24,0.244
0.88,1.76,0.56,0.56,0.474
3.04,6.08,0.64,0.64,0.356
0.36,0.72,0.92,0.92,0.709
3.28,6.56,0.84,0.84,0.368
1.16,2.32,0.76,0.76,0.543
0.08,0.16,0.72,0.72,0.657
1.44,2.88,0.96,0.96,0.604
3.56,7.12,0.28,0.28,0.248
1.96,3.92,0.6,0.6,0.365
0.28,0.56,0.16,0.16,0.323
2.24,4.48,0.8,0.8,0.434
3.32,6.64,0.08,0.08,0.237
1.12,2.24,0.0,0.0,0.211
0.64,1.28,0.36,0.36,0.412
2.2,4.4,0.04,0.04,0.195
3.84,7.68,0.48,0.48,0.247
2.48,4.96,0.24,0.24,0.259
2.84,5.68,0.44,0.44,0.274
3.08,6.16,0.64,0.64,0.323
1.4,2.8,0.2,0.2,0.26
1.68,3.36,0.4,0.4,0.302
0.92,1.84,0.56,0.56,0.47
0.4,0.8,0.92,0.92,0.708
0.12,0.24,0.72,0.72,0.641
1.2,2.4,0.76,0.76,0.551
0.32,0.64,0.16,0.16,0.35
3.32,6.64,0.84,0.84,0.375
1.16,2.32,0.0,0.0,0.176
2.0,4.0,0.6,0.6,0.352
3.6,7.2,0.28,0.28,0.236
2.28,4.56,0.8,0.8,0.418
3.36,6.72,0.08,0.08,0.216
1.48,2.96,0.96,0.96,0.564
3.88,7.76,0.48,0.48,0.296
2.24,4.48,0.04,0.04,0.206
0.44,0.88,0.92,0.92,0.724
0.68,1.36,0.36,0.36,0.39
1.72,3.44,0.4,0.4,0.29
2.52,5.04,0.24,0.24,0.227
3.12,6.24,0.64,0.64,0.313
0.16,0.32,0.72,0.72,0.641
2.88,5.76,0.44,0.44,0.306
1.24,2.48,0.76,0.76,0.566
1.2,2.4,0.0,0.0,0.207
1.44,2.88,0.2,0.2,0.266
3.36,6.72,0.84,0.84,0.359
0.96,1.92,0.56,0.56,0.485
0.36,0.72,0.16,0.16,0.333
2.04,4.08,0.6,0.6,0.387
2.32,4.64,0.8,0.8,0.422
3.4,6.8,0.08,0.08,0.221
1.52,3.04,0.96,0.96,0.603
3.64,7.28,0.28,0.28,0.229
2.28,4.56,0.04,0.04,0.21
0.48,0.96,0.92,0.92,0.674
3.92,7.84,0.48,0.48,0.266
1.76,3.52,0.4,0.4,0.33
2.56,5.12,0.24,0.24,0.227
1.24,2.48,0.0,0.0,0.18
0.72,1.44,0.36,0.36,0.441
0.2,0.4,0.72,0.72,0.626
1.0,2.0,0.56,0.56,0.463
3.4,6.8,0.84,0.84,0.364
3.16,6.32,0.64,0.64,0.315
1.28,2.56,0.76,0.76,0.553
2.92,5.84,0.44,0.44,0.254
0.4,0.8,0.16,0.16,0.312
1.48,2.96,0.2,0.2,0.245
1.56,3.12,0.96,0.96,0.569
2.32,4.64,0.04,0.04,0.222
2.08,4.16,0.6,0.6,0.367
3.68,7.36,0.28,0.28,0.228
2.36,4.72,0.8,0.8,0.423
3.44,6.88,0.08,0.08,0.215
0.52,1.04,0.92,0.92,0.68
1.28,2.56,0.0,0.0,0.227
1.8,3.6,0.4,0.4,0.306
3.96,7.92,0.48,0.48,0.284
1.04,2.08,0.56,0.56,0.469
2.6,5.2,0.24,0.24,0.251
2.96,5.92,0.44,0.44,0.302
1.32,2.64,0.76,0.76,0.544
3.44,6.88,0.84,0.84,0.353
3.2,6.4,0.64,0.64,0.353
0.76,1.52,0.36,0.36,0.399
2.36,4.72,0.04,0.04,0.216
1.6,3.2,0.96,0.96,0.564
1.52,3.04,0.2,0.2,0.275
0.24,0.48,0.72,0.72,0.621
0.44,0.88,0.16,0.16,0.3
0.56,1.12,0.92,0.92,0.696
2.4,4.8,0.8,0.8,0.392
1.84,3.68,0.4,0.4,0.297
1.32,2.64,0.0,0.0,0.212
2.12,4.24,0.6,0.6,0.351
3.72,7.44,0.28,0.28,0.228
4.0,8.0,0.48,0.48,0.256
3.48,6.96,0.08,0.08,0.218
3.0,6.0,0.44,0.44,0.289
3.48,6.96,0.84,0.84,0.385
2.4,4.8,0.04,0.04,0.213
1.36,2.72,0.76,0.76,0.485
3.24,6.48,0.64,0.64,0.32
0.8,1.6,0.36,0.36,0.351
2.64,5.28,0.24,0.24,0.244
1.08,2.16,0.56,0.56,0.49
1.56,3.12,0.2,0.2,0.252
0.48,0.96,0.16,0.16,0.291
1.88,3.76,0.4,0.4,0.298
1.64,3.28,0.96,0.96,0.587
2.44,4.88,0.8,0.8,0.399
0.28,0.56,0.72,0.72,0.636
0.6,1.2,0.92,0.92,0.697
1.36,2.72,0.0,0.0,0.204
3.76,7.52,0.28,0.28,0.231
3.52,7.04,0.08,0.08,0.221
2.16,4.32,0.6,0.6,0.354
3.04,6.08,0.44,0.44,0.279
0.0,0.0,0.52,0.52,0.575
3.28,6.56,0.64,0.64,0.339
0.84,1.68,0.36,0.36,0.375
1.4,2.8,0.76,0.76,0.519
3.52,7.04,0.84,0.84,0.364
