,opt,sigh,success_rate
222,10,0.21,0.813
223,10,0.22,0.786
224,10,0.23,0.801
225,10,0.24,0.796
226,10,0.25,0.776
227,10,0.26,0.789
228,10,0.27,0.794
229,10,0.28,0.787
230,10,0.29,0.792
231,10,0.3,0.784
232,10,0.31,0.755
233,10,0.32,0.774
234,10,0.33,0.751
235,10,0.34,0.756
236,10,0.35000000000000003,0.751
237,10,0.36,0.762
238,10,0.37,0.763
239,10,0.38,0.781
240,10,0.39,0.758
241,10,0.4,0.763
242,10,0.41000000000000003,0.735
243,10,0.42,0.769
244,10,0.43,0.753
245,10,0.44,0.747
246,10,0.45,0.749
247,10,0.46,0.751
248,10,0.47000000000000003,0.762
249,10,0.48,0.75
250,10,0.49,0.748
251,10,0.5,0.751
252,10,0.51,0.765
253,10,0.52,0.752
254,10,0.53,0.774
255,10,0.54,0.759
256,10,0.55,0.749
257,10,0.56,0.75
258,10,0.5700000000000001,0.754
259,10,0.58,0.773
260,10,0.59,0.772
261,10,0.6,0.767
262,10,0.61,0.769
263,10,0.62,0.766
264,10,0.63,0.745
265,10,0.64,0.756
266,10,0.65,0.782
267,10,0.66,0.777
268,10,0.67,0.776
269,10,0.68,0.761
270,10,0.6900000000000001,0.773
271,10,0.7000000000000001,0.779
272,10,0.71,0.759
273,10,0.72,0.764
274,10,0.73,0.788
275,10,0.74,0.773
276,10,0.75,0.768
277,10,0.76,0.775
278,10,0.77,0.792
279,10,0.78,0.783
280,10,0.79,0.792
281,10,0.8,0.773
282,10,0.81,0.786
283,10,0.8200000000000001,0.78
284,10,0.8300000000000001,0.795
285,10,0.84,0.782
286,10,0.85,0.778
287,10,0.86,0.783
288,10,0.87,0.778
289,10,0.88,0.808
290,10,0.89,0.772
291,10,0.9,0.814
292,10,0.91,0.781
293,10,0.92,0.798
294,10,0.93,0.796
295,10,0.9400000000000001,0.786
296,10,0.9500000000000001,0.774
297,10,0.96,0.755
298,10,0.97,0.779
299,10,0.98,0.768
300,10,0.99,0.766
301,10,1.0,0.771
302,10,1.01,0.792
303,10,1.02,0.779
304,10,1.03,0.78
305,10,1.04,0.774
306,10,1.05,0.736
307,10,1.06,0.779
308,10,1.07,0.772
309,10,1.08,0.753
310,10,1.09,0.759
311,10,1.1,0.76
312,10,1.11,0.772
313,10,1.12,0.775
314,10,1.1300000000000001,0.759
315,10,1.1400000000000001,0.786
316,10,1.1500000000000001,0.776
317,10,1.16,0.745
318,10,1.17,0.742
319,10,1.18,0.751
320,10,1.19,0.768
321,10,1.2,0.757
322,10,1.21,0.754
323,10,1.22,0.765
324,10,1.23,0.781
325,10,1.24,0.757
326,10,1.25,0.766
327,10,1.26,0.744
328,10,1.27,0.739
329,10,1.28,0.762
330,10,1.29,0.713
331,10,1.3,0.763
332,10,1.31,0.749
333,10,1.32,0.73
334,10,1.33,0.745
335,10,1.34,0.752
336,10,1.35,0.752
337,10,1.36,0.753
338,10,1.37,0.724
339,10,1.3800000000000001,0.748
340,10,1.3900000000000001,0.745
341,10,1.4000000000000001,0.761
342,10,1.41,0.748
343,10,1.42,0.714
344,10,1.43,0.733
345,10,1.44,0.759
346,10,1.45,0.75
347,10,1.46,0.733
348,10,1.47,0.72
349,10,1.48,0.739
350,10,1.49,0.739
351,10,1.5,0.736
352,10,1.51,0.725
353,10,1.52,0.739
354,10,1.53,0.761
355,10,1.54,0.716
356,10,1.55,0.748
357,10,1.56,0.725
358,10,1.57,0.732
359,10,1.58,0.725
360,10,1.59,0.734
361,10,1.6,0.707
362,10,1.61,0.725
363,10,1.62,0.749
364,10,1.6300000000000001,0.752
