,nop,sigm,success_rate
265,40,66,0.131
266,40,67,0.1295
267,40,68,0.128
268,40,69,0.154
269,40,70,0.1365
270,40,71,0.1365
271,40,72,0.1385
272,40,73,0.1285
273,40,74,0.14
274,40,75,0.1435
275,40,76,0.1345
276,40,77,0.1375
277,40,78,0.1265
278,40,79,0.132
279,40,80,0.1295
280,40,81,0.148
281,40,82,0.1365
282,40,83,0.141
283,40,84,0.13
284,40,85,0.139
285,40,86,0.1325
286,40,87,0.142
287,40,88,0.142
288,40,89,0.1445
289,40,90,0.1375
290,40,91,0.1515
291,40,92,0.1315
292,40,93,0.1475
293,40,94,0.137
294,40,95,0.1555
295,40,96,0.1485
296,40,97,0.133
297,40,98,0.141
298,40,99,0.138
299,40,100,0.1345
