mux1,mux2,muh1,muh2,success_rate
14.1,14.1,0.7,1.4,0.11
9.2,9.2,-2.8,-5.6,0.11
3.1,3.1,0.0,0.0,0.164
10.6,10.6,-1.8,-3.6,0.11
-1.8,-1.8,-3.5,-7.0,0.349
13.5,13.5,0.2,0.4,0.092
-2.5,-2.5,-4.0,-8.0,0.442
10.0,10.0,-2.3,-4.6,0.092
-1.1,-1.1,-3.0,-6.0,0.297
-0.4,-0.4,-2.5,-5.0,0.264
3.8,3.8,0.5,1.0,0.164
2.4,2.4,-0.5,-1.0,0.146
0.3,0.3,-2.0,-4.0,0.21
1.0,1.0,-1.5,-3.0,0.175
8.6,8.6,-3.3,-6.6,0.092
11.4,11.4,-1.3,-2.6,0.092
7.9,7.9,-3.8,-7.6,0.092
12.1,12.1,-0.8,-1.6,0.092
12.8,12.8,-0.3,-0.6,0.092
1.7,1.7,-1.0,-2.0,0.168
14.2,14.2,0.7,1.4,0.092
9.3,9.3,-2.8,-5.6,0.092
3.2,3.2,0.0,0.0,0.147
13.6,13.6,0.2,0.4,0.096
-2.4,-2.4,-4.0,-8.0,0.36
10.7,10.7,-1.8,-3.6,0.092
-1.7,-1.7,-3.5,-7.0,0.326
10.1,10.1,-2.3,-4.6,0.096
-1.0,-1.0,-3.0,-6.0,0.278
-0.3,-0.3,-2.5,-5.0,0.23
3.9,3.9,0.5,1.0,0.142
2.5,2.5,-0.5,-1.0,0.136
8.7,8.7,-3.3,-6.6,0.096
0.4,0.4,-2.0,-4.0,0.213
11.5,11.5,-1.3,-2.6,0.096
1.1,1.1,-1.5,-3.0,0.173
8.0,8.0,-3.8,-7.6,0.096
12.2,12.2,-0.8,-1.6,0.096
12.9,12.9,-0.3,-0.6,0.096
1.8,1.8,-1.0,-2.0,0.135
9.4,9.4,-2.8,-5.6,0.096
14.3,14.3,0.7,1.4,0.096
-2.3,-2.3,-4.0,-8.0,0.378
3.3,3.3,0.0,0.0,0.134
10.8,10.8,-1.8,-3.6,0.096
-1.6,-1.6,-3.5,-7.0,0.309
10.2,10.2,-2.3,-4.6,0.101
-0.9,-0.9,-3.0,-6.0,0.252
13.7,13.7,0.2,0.4,0.101
-0.2,-0.2,-2.5,-5.0,0.218
2.6,2.6,-0.5,-1.0,0.152
4.0,4.0,0.5,1.0,0.129
8.8,8.8,-3.3,-6.6,0.101
11.6,11.6,-1.3,-2.6,0.101
1.2,1.2,-1.5,-3.0,0.146
0.5,0.5,-2.0,-4.0,0.177
12.3,12.3,-0.8,-1.6,0.101
8.1,8.1,-3.8,-7.6,0.101
1.9,1.9,-1.0,-2.0,0.154
13.0,13.0,-0.3,-0.6,0.101
9.5,9.5,-2.8,-5.6,0.101
14.4,14.4,0.7,1.4,0.101
-2.2,-2.2,-4.0,-8.0,0.32
-0.8,-0.8,-3.0,-6.0,0.238
3.4,3.4,0.0,0.0,0.14
-1.5,-1.5,-3.5,-7.0,0.29
10.9,10.9,-1.8,-3.6,0.101
10.3,10.3,-2.3,-4.6,0.085
13.8,13.8,0.2,0.4,0.085
2.7,2.7,-0.5,-1.0,0.131
11.7,11.7,-1.3,-2.6,0.085
-0.1,-0.1,-2.5,-5.0,0.184
4.1,4.1,0.5,1.0,0.128
8.9,8.9,-3.3,-6.6,0.085
0.6,0.6,-2.0,-4.0,0.174
12.4,12.4,-0.8,-1.6,0.085
1.3,1.3,-1.5,-3.0,0.164
8.2,8.2,-3.8,-7.6,0.085
13.1,13.1,-0.3,-0.6,0.085
2.0,2.0,-1.0,-2.0,0.135
9.6,9.6,-2.8,-5.6,0.085
14.5,14.5,0.7,1.4,0.085
-2.1,-2.1,-4.0,-8.0,0.289
-1.4,-1.4,-3.5,-7.0,0.248
-0.7,-0.7,-3.0,-6.0,0.213
3.5,3.5,0.0,0.0,0.14
11.0,11.0,-1.8,-3.6,0.085
10.4,10.4,-2.3,-4.6,0.106
13.9,13.9,0.2,0.4,0.106
2.8,2.8,-0.5,-1.0,0.114
11.8,11.8,-1.3,-2.6,0.106
4.2,4.2,0.5,1.0,0.132
9.0,9.0,-3.3,-6.6,0.106
0.7,0.7,-2.0,-4.0,0.167
0.0,0.0,-2.5,-5.0,0.18
8.3,8.3,-3.8,-7.6,0.106
1.4,1.4,-1.5,-3.0,0.136
13.2,13.2,-0.3,-0.6,0.106
12.5,12.5,-0.8,-1.6,0.106
2.1,2.1,-1.0,-2.0,0.124
9.7,9.7,-2.8,-5.6,0.106
14.6,14.6,0.7,1.4,0.106
-2.0,-2.0,-4.0,-8.0,0.277
-0.6,-0.6,-3.0,-6.0,0.196
-1.3,-1.3,-3.5,-7.0,0.234
3.6,3.6,0.0,0.0,0.111
11.1,11.1,-1.8,-3.6,0.106
2.9,2.9,-0.5,-1.0,0.124
10.5,10.5,-2.3,-4.6,0.107
11.9,11.9,-1.3,-2.6,0.107
14.0,14.0,0.2,0.4,0.107
4.3,4.3,0.5,1.0,0.14
9.1,9.1,-3.3,-6.6,0.107
0.1,0.1,-2.5,-5.0,0.175
0.8,0.8,-2.0,-4.0,0.15
1.5,1.5,-1.5,-3.0,0.132
9.8,9.8,-2.8,-5.6,0.107
8.4,8.4,-3.8,-7.6,0.107
12.6,12.6,-0.8,-1.6,0.107
2.2,2.2,-1.0,-2.0,0.158
13.3,13.3,-0.3,-0.6,0.107
14.7,14.7,0.7,1.4,0.107
3.7,3.7,0.0,0.0,0.116
-1.2,-1.2,-3.5,-7.0,0.196
-0.5,-0.5,-3.0,-6.0,0.18
-1.9,-1.9,-4.0,-8.0,0.218
11.2,11.2,-1.8,-3.6,0.107
3.0,3.0,-0.5,-1.0,0.119
10.6,10.6,-2.3,-4.6,0.097
12.0,12.0,-1.3,-2.6,0.097
14.1,14.1,0.2,0.4,0.097
9.2,9.2,-3.3,-6.6,0.097
1.6,1.6,-1.5,-3.0,0.14
0.2,0.2,-2.5,-5.0,0.143
4.4,4.4,0.5,1.0,0.14
8.5,8.5,-3.8,-7.6,0.097
9.9,9.9,-2.8,-5.6,0.097
2.3,2.3,-1.0,-2.0,0.113
0.9,0.9,-2.0,-4.0,0.143
12.7,12.7,-0.8,-1.6,0.097
13.4,13.4,-0.3,-0.6,0.097
14.8,14.8,0.7,1.4,0.097
-0.4,-0.4,-3.0,-6.0,0.164
3.8,3.8,0.0,0.0,0.127
-1.1,-1.1,-3.5,-7.0,0.19
-1.8,-1.8,-4.0,-8.0,0.248
11.3,11.3,-1.8,-3.6,0.097
10.7,10.7,-2.3,-4.6,0.11
3.1,3.1,-0.5,-1.0,0.129
12.1,12.1,-1.3,-2.6,0.11
9.3,9.3,-3.3,-6.6,0.11
1.7,1.7,-1.5,-3.0,0.124
14.2,14.2,0.2,0.4,0.11
0.3,0.3,-2.5,-5.0,0.14
8.6,8.6,-3.8,-7.6,0.11
10.0,10.0,-2.8,-5.6,0.11
4.5,4.5,0.5,1.0,0.123
13.5,13.5,-0.3,-0.6,0.11
1.0,1.0,-2.0,-4.0,0.128
2.4,2.4,-1.0,-2.0,0.128
12.8,12.8,-0.8,-1.6,0.11
14.9,14.9,0.7,1.4,0.11
-0.3,-0.3,-3.0,-6.0,0.146
-1.0,-1.0,-3.5,-7.0,0.175
-1.7,-1.7,-4.0,-8.0,0.199
3.9,3.9,0.0,0.0,0.116
11.4,11.4,-1.8,-3.6,0.11
3.2,3.2,-0.5,-1.0,0.127
10.8,10.8,-2.3,-4.6,0.113
12.2,12.2,-1.3,-2.6,0.113
1.8,1.8,-1.5,-3.0,0.116
9.4,9.4,-3.3,-6.6,0.113
0.4,0.4,-2.5,-5.0,0.146
10.1,10.1,-2.8,-5.6,0.113
8.7,8.7,-3.8,-7.6,0.113
14.3,14.3,0.2,0.4,0.113
4.6,4.6,0.5,1.0,0.12
13.6,13.6,-0.3,-0.6,0.113
2.5,2.5,-1.0,-2.0,0.095
1.1,1.1,-2.0,-4.0,0.134
12.9,12.9,-0.8,-1.6,0.113
15.0,15.0,0.7,1.4,0.113
-0.2,-0.2,-3.0,-6.0,0.14
-1.6,-1.6,-4.0,-8.0,0.206
-0.9,-0.9,-3.5,-7.0,0.154
4.0,4.0,0.0,0.0,0.108
11.5,11.5,-1.8,-3.6,0.113
10.9,10.9,-2.3,-4.6,0.096
3.3,3.3,-0.5,-1.0,0.11
12.3,12.3,-1.3,-2.6,0.096
1.9,1.9,-1.5,-3.0,0.136
9.5,9.5,-3.3,-6.6,0.096
8.8,8.8,-3.8,-7.6,0.096
10.2,10.2,-2.8,-5.6,0.096
0.5,0.5,-2.5,-5.0,0.114
14.4,14.4,0.2,0.4,0.096
13.7,13.7,-0.3,-0.6,0.096
4.7,4.7,0.5,1.0,0.105
2.6,2.6,-1.0,-2.0,0.106
1.2,1.2,-2.0,-4.0,0.132
15.1,15.1,0.7,1.4,0.096
13.0,13.0,-0.8,-1.6,0.096
-0.1,-0.1,-3.0,-6.0,0.154
-1.5,-1.5,-4.0,-8.0,0.173
-0.8,-0.8,-3.5,-7.0,0.151
4.1,4.1,0.0,0.0,0.118
11.6,11.6,-1.8,-3.6,0.096
11.0,11.0,-2.3,-4.6,0.103
8.9,8.9,-3.8,-7.6,0.103
3.4,3.4,-0.5,-1.0,0.113
9.6,9.6,-3.3,-6.6,0.103
0.6,0.6,-2.5,-5.0,0.147
10.3,10.3,-2.8,-5.6,0.103
2.0,2.0,-1.5,-3.0,0.134
12.4,12.4,-1.3,-2.6,0.103
14.5,14.5,0.2,0.4,0.103
13.8,13.8,-0.3,-0.6,0.103
4.8,4.8,0.5,1.0,0.113
2.7,2.7,-1.0,-2.0,0.098
1.3,1.3,-2.0,-4.0,0.122
15.2,15.2,0.7,1.4,0.103
13.1,13.1,-0.8,-1.6,0.103
-0.7,-0.7,-3.5,-7.0,0.139
-1.4,-1.4,-4.0,-8.0,0.197
0.0,0.0,-3.0,-6.0,0.148
4.2,4.2,0.0,0.0,0.102
11.1,11.1,-2.3,-4.6,0.087
11.7,11.7,-1.8,-3.6,0.103
9.0,9.0,-3.8,-7.6,0.087
3.5,3.5,-0.5,-1.0,0.098
10.4,10.4,-2.8,-5.6,0.087
0.7,0.7,-2.5,-5.0,0.14
12.5,12.5,-1.3,-2.6,0.087
9.7,9.7,-3.3,-6.6,0.087
2.1,2.1,-1.5,-3.0,0.125
14.6,14.6,0.2,0.4,0.087
13.9,13.9,-0.3,-0.6,0.087
4.9,4.9,0.5,1.0,0.12
2.8,2.8,-1.0,-2.0,0.1
1.4,1.4,-2.0,-4.0,0.12
15.3,15.3,0.7,1.4,0.087
13.2,13.2,-0.8,-1.6,0.087
-0.6,-0.6,-3.5,-7.0,0.152
-1.3,-1.3,-4.0,-8.0,0.151
0.1,0.1,-3.0,-6.0,0.131
11.2,11.2,-2.3,-4.6,0.079
4.3,4.3,0.0,0.0,0.105
11.8,11.8,-1.8,-3.6,0.087
10.5,10.5,-2.8,-5.6,0.079
9.1,9.1,-3.8,-7.6,0.079
2.2,2.2,-1.5,-3.0,0.113
3.6,3.6,-0.5,-1.0,0.111
14.7,14.7,0.2,0.4,0.079
0.8,0.8,-2.5,-5.0,0.115
9.8,9.8,-3.3,-6.6,0.079
12.6,12.6,-1.3,-2.6,0.079
14.0,14.0,-0.3,-0.6,0.079
15.4,15.4,0.7,1.4,0.079
2.9,2.9,-1.0,-2.0,0.112
5.0,5.0,0.5,1.0,0.102
1.5,1.5,-2.0,-4.0,0.124
13.3,13.3,-0.8,-1.6,0.079
-0.5,-0.5,-3.5,-7.0,0.128
-1.2,-1.2,-4.0,-8.0,0.148
0.2,0.2,-3.0,-6.0,0.126
11.3,11.3,-2.3,-4.6,0.102
4.4,4.4,0.0,0.0,0.097
10.6,10.6,-2.8,-5.6,0.102
2.3,2.3,-1.5,-3.0,0.114
14.8,14.8,0.2,0.4,0.102
11.9,11.9,-1.8,-3.6,0.079
9.2,9.2,-3.8,-7.6,0.102
12.7,12.7,-1.3,-2.6,0.102
3.7,3.7,-0.5,-1.0,0.099
0.9,0.9,-2.5,-5.0,0.12
9.9,9.9,-3.3,-6.6,0.102
14.1,14.1,-0.3,-0.6,0.102
15.5,15.5,0.7,1.4,0.102
3.0,3.0,-1.0,-2.0,0.11
1.6,1.6,-2.0,-4.0,0.098
13.4,13.4,-0.8,-1.6,0.102
5.1,5.1,0.5,1.0,0.107
-0.4,-0.4,-3.5,-7.0,0.14
-1.1,-1.1,-4.0,-8.0,0.156
0.3,0.3,-3.0,-6.0,0.113
4.5,4.5,0.0,0.0,0.099
11.4,11.4,-2.3,-4.6,0.117
14.9,14.9,0.2,0.4,0.117
10.7,10.7,-2.8,-5.6,0.117
12.0,12.0,-1.8,-3.6,0.102
2.4,2.4,-1.5,-3.0,0.101
12.8,12.8,-1.3,-2.6,0.117
3.8,3.8,-0.5,-1.0,0.098
9.3,9.3,-3.8,-7.6,0.117
1.0,1.0,-2.5,-5.0,0.116
10.0,10.0,-3.3,-6.6,0.117
14.2,14.2,-0.3,-0.6,0.117
1.7,1.7,-2.0,-4.0,0.095
15.6,15.6,0.7,1.4,0.117
13.5,13.5,-0.8,-1.6,0.117
3.1,3.1,-1.0,-2.0,0.12
5.2,5.2,0.5,1.0,0.098
-0.3,-0.3,-3.5,-7.0,0.117
-1.0,-1.0,-4.0,-8.0,0.132
0.4,0.4,-3.0,-6.0,0.119
4.6,4.6,0.0,0.0,0.111
11.5,11.5,-2.3,-4.6,0.081
10.8,10.8,-2.8,-5.6,0.081
15.0,15.0,0.2,0.4,0.081
12.1,12.1,-1.8,-3.6,0.117
3.9,3.9,-0.5,-1.0,0.098
12.9,12.9,-1.3,-2.6,0.081
2.5,2.5,-1.5,-3.0,0.104
9.4,9.4,-3.8,-7.6,0.081
10.1,10.1,-3.3,-6.6,0.081
1.1,1.1,-2.5,-5.0,0.118
1.8,1.8,-2.0,-4.0,0.104
15.7,15.7,0.7,1.4,0.081
14.3,14.3,-0.3,-0.6,0.081
5.3,5.3,0.5,1.0,0.102
3.2,3.2,-1.0,-2.0,0.105
13.6,13.6,-0.8,-1.6,0.081
-0.9,-0.9,-4.0,-8.0,0.117
-0.2,-0.2,-3.5,-7.0,0.119
0.5,0.5,-3.0,-6.0,0.125
4.7,4.7,0.0,0.0,0.128
4.0,4.0,-0.5,-1.0,0.1
11.6,11.6,-2.3,-4.6,0.096
10.9,10.9,-2.8,-5.6,0.096
12.2,12.2,-1.8,-3.6,0.081
15.1,15.1,0.2,0.4,0.096
13.0,13.0,-1.3,-2.6,0.096
2.6,2.6,-1.5,-3.0,0.095
1.2,1.2,-2.5,-5.0,0.119
10.2,10.2,-3.3,-6.6,0.096
9.5,9.5,-3.8,-7.6,0.096
