mux1,mux2,muh1,muh2,success_rate
-2.1,-4.2,-3.0,-6.0,0.605
11.1,22.2,-0.8,-1.6,0.112
2.8,5.6,0.5,1.0,0.37
7.6,15.2,-3.3,-6.6,0.112
8.3,16.6,-2.8,-5.6,0.112
9.0,18.0,-2.3,-4.6,0.112
-2.8,-5.6,-3.5,-7.0,0.689
1.4,2.8,-0.5,-1.0,0.342
-3.5,-7.0,-4.0,-8.0,0.724
-0.6,-1.2,-2.0,-4.0,0.462
11.9,23.8,-0.3,-0.6,0.104
2.2,4.4,0.0,0.0,0.275
9.8,19.6,-1.8,-3.6,0.104
7.0,14.0,-3.8,-7.6,0.104
12.6,25.2,0.2,0.4,0.104
10.5,21.0,-1.3,-2.6,0.104
13.3,26.6,0.7,1.4,0.104
0.1,0.2,-1.5,-3.0,0.405
2.9,5.8,0.5,1.0,0.334
0.8,1.6,-1.0,-2.0,0.318
9.1,18.2,-2.3,-4.6,0.104
-2.7,-5.4,-3.5,-7.0,0.666
-2.0,-4.0,-3.0,-6.0,0.603
-1.3,-2.6,-2.5,-5.0,0.555
8.4,16.8,-2.8,-5.6,0.104
11.2,22.4,-0.8,-1.6,0.104
7.7,15.4,-3.3,-6.6,0.104
1.5,3.0,-0.5,-1.0,0.293
-3.4,-6.8,-4.0,-8.0,0.714
-0.5,-1.0,-2.0,-4.0,0.437
12.0,24.0,-0.3,-0.6,0.096
2.3,4.6,0.0,0.0,0.279
0.2,0.4,-1.5,-3.0,0.367
12.7,25.4,0.2,0.4,0.096
3.0,6.0,0.5,1.0,0.323
13.4,26.8,0.7,1.4,0.096
10.6,21.2,-1.3,-2.6,0.096
9.9,19.8,-1.8,-3.6,0.096
7.1,14.2,-3.8,-7.6,0.096
0.9,1.8,-1.0,-2.0,0.327
9.2,18.4,-2.3,-4.6,0.096
-2.6,-5.2,-3.5,-7.0,0.644
-1.2,-2.4,-2.5,-5.0,0.52
-1.9,-3.8,-3.0,-6.0,0.569
11.3,22.6,-0.8,-1.6,0.096
7.8,15.6,-3.3,-6.6,0.096
8.5,17.0,-2.8,-5.6,0.096
-3.3,-6.6,-4.0,-8.0,0.679
1.6,3.2,-0.5,-1.0,0.238
2.4,4.8,0.0,0.0,0.225
-0.4,-0.8,-2.0,-4.0,0.385
0.3,0.6,-1.5,-3.0,0.315
12.8,25.6,0.2,0.4,0.106
12.1,24.2,-0.3,-0.6,0.106
10.0,20.0,-1.8,-3.6,0.106
-2.5,-5.0,-3.5,-7.0,0.598
3.1,6.2,0.5,1.0,0.262
7.2,14.4,-3.8,-7.6,0.106
13.5,27.0,0.7,1.4,0.106
9.3,18.6,-2.3,-4.6,0.106
1.0,2.0,-1.0,-2.0,0.288
10.7,21.4,-1.3,-2.6,0.106
11.4,22.8,-0.8,-1.6,0.106
-1.1,-2.2,-2.5,-5.0,0.471
7.9,15.8,-3.3,-6.6,0.106
-1.8,-3.6,-3.0,-6.0,0.538
1.7,3.4,-0.5,-1.0,0.251
-3.2,-6.4,-4.0,-8.0,0.684
8.6,17.2,-2.8,-5.6,0.106
2.5,5.0,0.0,0.0,0.225
0.4,0.8,-1.5,-3.0,0.307
-0.3,-0.6,-2.0,-4.0,0.342
12.2,24.4,-0.3,-0.6,0.098
12.9,25.8,0.2,0.4,0.098
13.6,27.2,0.7,1.4,0.098
10.1,20.2,-1.8,-3.6,0.098
3.2,6.4,0.5,1.0,0.251
-2.4,-4.8,-3.5,-7.0,0.574
1.1,2.2,-1.0,-2.0,0.234
7.3,14.6,-3.8,-7.6,0.098
11.5,23.0,-0.8,-1.6,0.098
-1.7,-3.4,-3.0,-6.0,0.508
10.8,21.6,-1.3,-2.6,0.098
9.4,18.8,-2.3,-4.6,0.098
-1.0,-2.0,-2.5,-5.0,0.414
8.0,16.0,-3.3,-6.6,0.098
8.7,17.4,-2.8,-5.6,0.098
1.8,3.6,-0.5,-1.0,0.235
-3.1,-6.2,-4.0,-8.0,0.624
2.6,5.2,0.0,0.0,0.199
0.5,1.0,-1.5,-3.0,0.275
-0.2,-0.4,-2.0,-4.0,0.325
13.0,26.0,0.2,0.4,0.096
12.3,24.6,-0.3,-0.6,0.096
3.3,6.6,0.5,1.0,0.247
-1.6,-3.2,-3.0,-6.0,0.472
1.2,2.4,-1.0,-2.0,0.229
-0.9,-1.8,-2.5,-5.0,0.393
13.7,27.4,0.7,1.4,0.096
7.4,14.8,-3.8,-7.6,0.096
11.6,23.2,-0.8,-1.6,0.096
10.2,20.4,-1.8,-3.6,0.096
-2.3,-4.6,-3.5,-7.0,0.574
10.9,21.8,-1.3,-2.6,0.096
9.5,19.0,-2.3,-4.6,0.096
8.8,17.6,-2.8,-5.6,0.096
1.9,3.8,-0.5,-1.0,0.203
-3.0,-6.0,-4.0,-8.0,0.599
8.1,16.2,-3.3,-6.6,0.096
0.6,1.2,-1.5,-3.0,0.246
2.7,5.4,0.0,0.0,0.19
-0.1,-0.2,-2.0,-4.0,0.273
13.1,26.2,0.2,0.4,0.118
-1.5,-3.0,-3.0,-6.0,0.433
3.4,6.8,0.5,1.0,0.209
1.3,2.6,-1.0,-2.0,0.213
11.7,23.4,-0.8,-1.6,0.118
12.4,24.8,-0.3,-0.6,0.118
7.5,15.0,-3.8,-7.6,0.118
13.8,27.6,0.7,1.4,0.118
10.3,20.6,-1.8,-3.6,0.118
-2.2,-4.4,-3.5,-7.0,0.499
-0.8,-1.6,-2.5,-5.0,0.353
11.0,22.0,-1.3,-2.6,0.118
9.6,19.2,-2.3,-4.6,0.118
8.9,17.8,-2.8,-5.6,0.118
2.0,4.0,-0.5,-1.0,0.2
-2.9,-5.8,-4.0,-8.0,0.565
8.2,16.4,-3.3,-6.6,0.118
13.2,26.4,0.2,0.4,0.105
1.4,2.8,-1.0,-2.0,0.199
2.8,5.6,0.0,0.0,0.165
11.8,23.6,-0.8,-1.6,0.105
-1.4,-2.8,-3.0,-6.0,0.396
12.5,25.0,-0.3,-0.6,0.105
0.0,0.0,-2.0,-4.0,0.283
7.6,15.2,-3.8,-7.6,0.105
-2.1,-4.2,-3.5,-7.0,0.466
0.7,1.4,-1.5,-3.0,0.243
3.5,7.0,0.5,1.0,0.187
-0.7,-1.4,-2.5,-5.0,0.318
9.7,19.4,-2.3,-4.6,0.105
13.9,27.8,0.7,1.4,0.105
2.1,4.2,-0.5,-1.0,0.162
11.1,22.2,-1.3,-2.6,0.105
9.0,18.0,-2.8,-5.6,0.105
10.4,20.8,-1.8,-3.6,0.105
8.3,16.6,-3.3,-6.6,0.105
-2.8,-5.6,-4.0,-8.0,0.513
13.3,26.6,0.2,0.4,0.095
1.5,3.0,-1.0,-2.0,0.174
12.6,25.2,-0.3,-0.6,0.095
11.9,23.8,-0.8,-1.6,0.095
0.1,0.2,-2.0,-4.0,0.223
2.9,5.8,0.0,0.0,0.156
-1.3,-2.6,-3.0,-6.0,0.35
-2.0,-4.0,-3.5,-7.0,0.439
7.7,15.4,-3.8,-7.6,0.095
-0.6,-1.2,-2.5,-5.0,0.301
0.8,1.6,-1.5,-3.0,0.212
9.8,19.6,-2.3,-4.6,0.095
2.2,4.4,-0.5,-1.0,0.161
14.0,28.0,0.7,1.4,0.095
10.5,21.0,-1.8,-3.6,0.095
11.2,22.4,-1.3,-2.6,0.095
3.6,7.2,0.5,1.0,0.178
9.1,18.2,-2.8,-5.6,0.095
8.4,16.8,-3.3,-6.6,0.095
-2.7,-5.4,-4.0,-8.0,0.512
13.4,26.8,0.2,0.4,0.093
12.7,25.4,-0.3,-0.6,0.093
1.6,3.2,-1.0,-2.0,0.185
0.2,0.4,-2.0,-4.0,0.227
12.0,24.0,-0.8,-1.6,0.093
-1.9,-3.8,-3.5,-7.0,0.421
3.7,7.4,0.5,1.0,0.162
-0.5,-1.0,-2.5,-5.0,0.265
-1.2,-2.4,-3.0,-6.0,0.324
2.3,4.6,-0.5,-1.0,0.16
14.1,28.2,0.7,1.4,0.093
0.9,1.8,-1.5,-3.0,0.217
3.0,6.0,0.0,0.0,0.139
7.8,15.6,-3.8,-7.6,0.093
10.6,21.2,-1.8,-3.6,0.093
9.9,19.8,-2.3,-4.6,0.093
11.3,22.6,-1.3,-2.6,0.093
9.2,18.4,-2.8,-5.6,0.093
8.5,17.0,-3.3,-6.6,0.093
-2.6,-5.2,-4.0,-8.0,0.486
12.8,25.6,-0.3,-0.6,0.106
-1.8,-3.6,-3.5,-7.0,0.392
1.7,3.4,-1.0,-2.0,0.169
0.3,0.6,-2.0,-4.0,0.193
12.1,24.2,-0.8,-1.6,0.106
13.5,27.0,0.2,0.4,0.106
-0.4,-0.8,-2.5,-5.0,0.278
3.8,7.6,0.5,1.0,0.165
14.2,28.4,0.7,1.4,0.106
2.4,4.8,-0.5,-1.0,0.16
3.1,6.2,0.0,0.0,0.148
7.9,15.8,-3.8,-7.6,0.106
10.7,21.4,-1.8,-3.6,0.106
9.3,18.6,-2.8,-5.6,0.106
10.0,20.0,-2.3,-4.6,0.106
11.4,22.8,-1.3,-2.6,0.106
-1.1,-2.2,-3.0,-6.0,0.316
1.0,2.0,-1.5,-3.0,0.199
8.6,17.2,-3.3,-6.6,0.106
-2.5,-5.0,-4.0,-8.0,0.466
12.9,25.8,-0.3,-0.6,0.115
-1.7,-3.4,-3.5,-7.0,0.349
1.8,3.6,-1.0,-2.0,0.143
12.2,24.4,-0.8,-1.6,0.115
0.4,0.8,-2.0,-4.0,0.224
13.6,27.2,0.2,0.4,0.115
3.9,7.8,0.5,1.0,0.148
-0.3,-0.6,-2.5,-5.0,0.223
8.0,16.0,-3.8,-7.6,0.115
2.5,5.0,-0.5,-1.0,0.124
14.3,28.6,0.7,1.4,0.115
11.5,23.0,-1.3,-2.6,0.115
10.1,20.2,-2.3,-4.6,0.115
10.8,21.6,-1.8,-3.6,0.115
9.4,18.8,-2.8,-5.6,0.115
3.2,6.4,0.0,0.0,0.134
1.1,2.2,-1.5,-3.0,0.175
-1.0,-2.0,-3.0,-6.0,0.275
-2.4,-4.8,-4.0,-8.0,0.426
8.7,17.4,-3.3,-6.6,0.115
13.0,26.0,-0.3,-0.6,0.1
-1.6,-3.2,-3.5,-7.0,0.269
1.9,3.8,-1.0,-2.0,0.136
0.5,1.0,-2.0,-4.0,0.195
-0.2,-0.4,-2.5,-5.0,0.208
12.3,24.6,-0.8,-1.6,0.1
13.7,27.4,0.2,0.4,0.1
4.0,8.0,0.5,1.0,0.152
8.1,16.2,-3.8,-7.6,0.1
10.2,20.4,-2.3,-4.6,0.1
2.6,5.2,-0.5,-1.0,0.151
9.5,19.0,-2.8,-5.6,0.1
11.6,23.2,-1.3,-2.6,0.1
-0.9,-1.8,-3.0,-6.0,0.254
1.2,2.4,-1.5,-3.0,0.169
10.9,21.8,-1.8,-3.6,0.1
-2.3,-4.6,-4.0,-8.0,0.339
3.3,6.6,0.0,0.0,0.134
14.4,28.8,0.7,1.4,0.1
8.8,17.6,-3.3,-6.6,0.1
13.1,26.2,-0.3,-0.6,0.09
2.0,4.0,-1.0,-2.0,0.152
-1.5,-3.0,-3.5,-7.0,0.285
8.2,16.4,-3.8,-7.6,0.09
4.1,8.2,0.5,1.0,0.145
13.8,27.6,0.2,0.4,0.09
-0.1,-0.2,-2.5,-5.0,0.212
0.6,1.2,-2.0,-4.0,0.16
12.4,24.8,-0.8,-1.6,0.09
9.6,19.2,-2.8,-5.6,0.09
2.7,5.4,-0.5,-1.0,0.122
11.7,23.4,-1.3,-2.6,0.09
10.3,20.6,-2.3,-4.6,0.09
11.0,22.0,-1.8,-3.6,0.09
1.3,2.6,-1.5,-3.0,0.155
-0.8,-1.6,-3.0,-6.0,0.23
3.4,6.8,0.0,0.0,0.135
-2.2,-4.4,-4.0,-8.0,0.321
14.5,29.0,0.7,1.4,0.09
8.9,17.8,-3.3,-6.6,0.09
13.2,26.4,-0.3,-0.6,0.121
2.1,4.2,-1.0,-2.0,0.111
-1.4,-2.8,-3.5,-7.0,0.249
0.7,1.4,-2.0,-4.0,0.173
8.3,16.6,-3.8,-7.6,0.121
4.2,8.4,0.5,1.0,0.126
9.7,19.4,-2.8,-5.6,0.121
0.0,0.0,-2.5,-5.0,0.167
13.9,27.8,0.2,0.4,0.121
12.5,25.0,-0.8,-1.6,0.121
2.8,5.6,-0.5,-1.0,0.123
11.1,22.2,-1.8,-3.6,0.121
10.4,20.8,-2.3,-4.6,0.121
11.8,23.6,-1.3,-2.6,0.121
1.4,2.8,-1.5,-3.0,0.162
-0.7,-1.4,-3.0,-6.0,0.232
3.5,7.0,0.0,0.0,0.135
-2.1,-4.2,-4.0,-8.0,0.301
9.0,18.0,-3.3,-6.6,0.121
14.6,29.2,0.7,1.4,0.121
-1.3,-2.6,-3.5,-7.0,0.232
13.3,26.6,-0.3,-0.6,0.122
2.2,4.4,-1.0,-2.0,0.137
0.8,1.6,-2.0,-4.0,0.166
12.6,25.2,-0.8,-1.6,0.122
14.0,28.0,0.2,0.4,0.122
0.1,0.2,-2.5,-5.0,0.165
8.4,16.8,-3.8,-7.6,0.122
2.9,5.8,-0.5,-1.0,0.116
4.3,8.6,0.5,1.0,0.123
9.8,19.6,-2.8,-5.6,0.122
3.6,7.2,0.0,0.0,0.124
1.5,3.0,-1.5,-3.0,0.136
-0.6,-1.2,-3.0,-6.0,0.205
10.5,21.0,-2.3,-4.6,0.122
11.2,22.4,-1.8,-3.6,0.122
-2.0,-4.0,-4.0,-8.0,0.282
9.1,18.2,-3.3,-6.6,0.122
11.9,23.8,-1.3,-2.6,0.122
14.7,29.4,0.7,1.4,0.122
-1.2,-2.4,-3.5,-7.0,0.217
13.4,26.8,-0.3,-0.6,0.068
2.3,4.6,-1.0,-2.0,0.132
0.9,1.8,-2.0,-4.0,0.15
8.5,17.0,-3.8,-7.6,0.068
14.1,28.2,0.2,0.4,0.068
12.7,25.4,-0.8,-1.6,0.068
-0.5,-1.0,-3.0,-6.0,0.193
3.0,6.0,-0.5,-1.0,0.104
10.6,21.2,-2.3,-4.6,0.068
9.9,19.8,-2.8,-5.6,0.068
1.6,3.2,-1.5,-3.0,0.112
0.2,0.4,-2.5,-5.0,0.165
3.7,7.4,0.0,0.0,0.112
4.4,8.8,0.5,1.0,0.127
11.3,22.6,-1.8,-3.6,0.068
-1.9,-3.8,-4.0,-8.0,0.233
9.2,18.4,-3.3,-6.6,0.068
12.0,24.0,-1.3,-2.6,0.068
14.8,29.6,0.7,1.4,0.068
-1.1,-2.2,-3.5,-7.0,0.184
13.5,27.0,-0.3,-0.6,0.094
14.2,28.4,0.2,0.4,0.094
8.6,17.2,-3.8,-7.6,0.094
1.0,2.0,-2.0,-4.0,0.146
3.1,6.2,-0.5,-1.0,0.114
2.4,4.8,-1.0,-2.0,0.126
-0.4,-0.8,-3.0,-6.0,0.178
12.8,25.6,-0.8,-1.6,0.094
10.7,21.4,-2.3,-4.6,0.094
1.7,3.4,-1.5,-3.0,0.121
10.0,20.0,-2.8,-5.6,0.094
0.3,0.6,-2.5,-5.0,0.143
4.5,9.0,0.5,1.0,0.118
3.8,7.6,0.0,0.0,0.109
-1.8,-3.6,-4.0,-8.0,0.237
11.4,22.8,-1.8,-3.6,0.094
9.3,18.6,-3.3,-6.6,0.094
12.1,24.2,-1.3,-2.6,0.094
14.9,29.8,0.7,1.4,0.094
-1.0,-2.0,-3.5,-7.0,0.172
13.6,27.2,-0.3,-0.6,0.097
8.7,17.4,-3.8,-7.6,0.097
1.1,2.2,-2.0,-4.0,0.123
14.3,28.6,0.2,0.4,0.097
-0.3,-0.6,-3.0,-6.0,0.16
3.2,6.4,-0.5,-1.0,0.125
2.5,5.0,-1.0,-2.0,0.118
12.9,25.8,-0.8,-1.6,0.097
10.8,21.6,-2.3,-4.6,0.097
10.1,20.2,-2.8,-5.6,0.097
1.8,3.6,-1.5,-3.0,0.122
0.4,0.8,-2.5,-5.0,0.151
-1.7,-3.4,-4.0,-8.0,0.209
4.6,9.2,0.5,1.0,0.111
9.4,18.8,-3.3,-6.6,0.097
12.2,24.4,-1.3,-2.6,0.097
3.9,7.8,0.0,0.0,0.098
11.5,23.0,-1.8,-3.6,0.097
15.0,30.0,0.7,1.4,0.097
-0.9,-1.8,-3.5,-7.0,0.158
13.7,27.4,-0.3,-0.6,0.1
-0.2,-0.4,-3.0,-6.0,0.157
3.3,6.6,-0.5,-1.0,0.114
1.2,2.4,-2.0,-4.0,0.155
8.8,17.6,-3.8,-7.6,0.1
14.4,28.8,0.2,0.4,0.1
10.2,20.4,-2.8,-5.6,0.1
0.5,1.0,-2.5,-5.0,0.147
13.0,26.0,-0.8,-1.6,0.1
2.6,5.2,-1.0,-2.0,0.122
1.9,3.8,-1.5,-3.0,0.124
10.9,21.8,-2.3,-4.6,0.1
-1.6,-3.2,-4.0,-8.0,0.196
4.7,9.4,0.5,1.0,0.113
12.3,24.6,-1.3,-2.6,0.1
4.0,8.0,0.0,0.0,0.097
9.5,19.0,-3.3,-6.6,0.1
11.6,23.2,-1.8,-3.6,0.1
15.1,30.2,0.7,1.4,0.1
-0.8,-1.6,-3.5,-7.0,0.166
-0.1,-0.2,-3.0,-6.0,0.129
13.8,27.6,-0.3,-0.6,0.106
1.3,2.6,-2.0,-4.0,0.135
8.9,17.8,-3.8,-7.6,0.106
14.5,29.0,0.2,0.4,0.106
3.4,6.8,-0.5,-1.0,0.107
10.3,20.6,-2.8,-5.6,0.106
0.6,1.2,-2.5,-5.0,0.129
2.7,5.4,-1.0,-2.0,0.119
13.1,26.2,-0.8,-1.6,0.106
2.0,4.0,-1.5,-3.0,0.123
-1.5,-3.0,-4.0,-8.0,0.197
4.8,9.6,0.5,1.0,0.104
11.7,23.4,-1.8,-3.6,0.106
11.0,22.0,-2.3,-4.6,0.106
12.4,24.8,-1.3,-2.6,0.106
9.6,19.2,-3.3,-6.6,0.106
4.1,8.2,0.0,0.0,0.109
15.2,30.4,0.7,1.4,0.106
-0.7,-1.4,-3.5,-7.0,0.14
1.4,2.8,-2.0,-4.0,0.113
0.0,0.0,-3.0,-6.0,0.138
13.9,27.8,-0.3,-0.6,0.109
3.5,7.0,-0.5,-1.0,0.119
9.0,18.0,-3.8,-7.6,0.109
14.6,29.2,0.2,0.4,0.109
10.4,20.8,-2.8,-5.6,0.109
0.7,1.4,-2.5,-5.0,0.132
2.8,5.6,-1.0,-2.0,0.116
-1.4,-2.8,-4.0,-8.0,0.181
13.2,26.4,-0.8,-1.6,0.109
2.1,4.2,-1.5,-3.0,0.116
11.8,23.6,-1.8,-3.6,0.109
4.9,9.8,0.5,1.0,0.103
12.5,25.0,-1.3,-2.6,0.109
9.7,19.4,-3.3,-6.6,0.109
11.1,22.2,-2.3,-4.6,0.109
15.3,30.6,0.7,1.4,0.109
4.2,8.4,0.0,0.0,0.095
14.0,28.0,-0.3,-0.6,0.096
0.1,0.2,-3.0,-6.0,0.115
-0.6,-1.2,-3.5,-7.0,0.137
1.5,3.0,-2.0,-4.0,0.111
3.6,7.2,-0.5,-1.0,0.114
9.1,18.2,-3.8,-7.6,0.096
2.9,5.8,-1.0,-2.0,0.109
10.5,21.0,-2.8,-5.6,0.096
14.7,29.4,0.2,0.4,0.096
13.3,26.6,-0.8,-1.6,0.096
0.8,1.6,-2.5,-5.0,0.11
-1.3,-2.6,-4.0,-8.0,0.167
2.2,4.4,-1.5,-3.0,0.104
11.9,23.8,-1.8,-3.6,0.096
5.0,10.0,0.5,1.0,0.099
12.6,25.2,-1.3,-2.6,0.096
9.8,19.6,-3.3,-6.6,0.096
11.2,22.4,-2.3,-4.6,0.096
4.3,8.6,0.0,0.0,0.08
15.4,30.8,0.7,1.4,0.096
0.2,0.4,-3.0,-6.0,0.123
14.1,28.2,-0.3,-0.6,0.096
-0.5,-1.0,-3.5,-7.0,0.136
3.7,7.4,-0.5,-1.0,0.097
1.6,3.2,-2.0,-4.0,0.112
3.0,6.0,-1.0,-2.0,0.098
0.9,1.8,-2.5,-5.0,0.116
10.6,21.2,-2.8,-5.6,0.096
14.8,29.6,0.2,0.4,0.096
9.2,18.4,-3.8,-7.6,0.096
13.4,26.8,-0.8,-1.6,0.096
-1.2,-2.4,-4.0,-8.0,0.142
12.0,24.0,-1.8,-3.6,0.096
5.1,10.2,0.5,1.0,0.108
2.3,4.6,-1.5,-3.0,0.126
12.7,25.4,-1.3,-2.6,0.096
4.4,8.8,0.0,0.0,0.116
9.9,19.8,-3.3,-6.6,0.096
11.3,22.6,-2.3,-4.6,0.096
15.5,31.0,0.7,1.4,0.096
3.8,7.6,-0.5,-1.0,0.101
0.3,0.6,-3.0,-6.0,0.138
-0.4,-0.8,-3.5,-7.0,0.143
1.0,2.0,-2.5,-5.0,0.127
14.2,28.4,-0.3,-0.6,0.101
3.1,6.2,-1.0,-2.0,0.114
10.7,21.4,-2.8,-5.6,0.101
14.9,29.8,0.2,0.4,0.101
13.5,27.0,-0.8,-1.6,0.101
1.7,3.4,-2.0,-4.0,0.126
-1.1,-2.2,-4.0,-8.0,0.156
12.1,24.2,-1.8,-3.6,0.101
12.8,25.6,-1.3,-2.6,0.101
2.4,4.8,-1.5,-3.0,0.116
5.2,10.4,0.5,1.0,0.112
9.3,18.6,-3.8,-7.6,0.101
4.5,9.0,0.0,0.0,0.094
10.0,20.0,-3.3,-6.6,0.101
11.4,22.8,-2.3,-4.6,0.101
15.6,31.2,0.7,1.4,0.101
3.9,7.8,-0.5,-1.0,0.094
1.1,2.2,-2.5,-5.0,0.111
0.4,0.8,-3.0,-6.0,0.105
-0.3,-0.6,-3.5,-7.0,0.113
14.3,28.6,-0.3,-0.6,0.091
15.0,30.0,0.2,0.4,0.091
3.2,6.4,-1.0,-2.0,0.104
10.8,21.6,-2.8,-5.6,0.091
12.2,24.4,-1.8,-3.6,0.091
12.9,25.8,-1.3,-2.6,0.091
-1.0,-2.0,-4.0,-8.0,0.131
13.6,27.2,-0.8,-1.6,0.091
2.5,5.0,-1.5,-3.0,0.092
5.3,10.6,0.5,1.0,0.108
1.8,3.6,-2.0,-4.0,0.117
9.4,18.8,-3.8,-7.6,0.091
4.6,9.2,0.0,0.0,0.116
11.5,23.0,-2.3,-4.6,0.091
15.7,31.4,0.7,1.4,0.091
10.1,20.2,-3.3,-6.6,0.091
1.2,2.4,-2.5,-5.0,0.12
0.5,1.0,-3.0,-6.0,0.121
4.0,8.0,-0.5,-1.0,0.088
15.1,30.2,0.2,0.4,0.106
-0.2,-0.4,-3.5,-7.0,0.117
14.4,28.8,-0.3,-0.6,0.106
10.9,21.8,-2.8,-5.6,0.106
3.3,6.6,-1.0,-2.0,0.109
12.3,24.6,-1.8,-3.6,0.106
13.0,26.0,-1.3,-2.6,0.106
-0.9,-1.8,-4.0,-8.0,0.126
13.7,27.4,-0.8,-1.6,0.106
5.4,10.8,0.5,1.0,0.107
2.6,5.2,-1.5,-3.0,0.106
