mux1,mux2,muh1,muh2,success_rate
-1.2,-2.4,-2.0,-4.0,0.675
-2.6,-5.2,-3.0,-6.0,0.749
8.5,17.0,-2.3,-4.6,0.096
-4.0,-8.0,-4.0,-8.0,0.778
-0.5,-1.0,-1.5,-3.0,0.6
9.2,18.4,-1.8,-3.6,0.096
-1.9,-3.8,-2.5,-5.0,0.719
0.9,1.8,-0.5,-1.0,0.519
-3.3,-6.6,-3.5,-7.0,0.783
7.8,15.6,-2.8,-5.6,0.096
9.9,19.8,-1.3,-2.6,0.096
0.2,0.4,-1.0,-2.0,0.531
12.7,25.4,0.7,1.4,0.096
1.6,3.2,0.0,0.0,0.503
6.4,12.8,-3.8,-7.6,0.096
12.0,24.0,0.2,0.4,0.096
2.3,4.6,0.5,1.0,0.549
10.6,21.2,-0.8,-1.6,0.096
11.3,22.6,-0.3,-0.6,0.096
7.1,14.2,-3.3,-6.6,0.096
-0.4,-0.8,-1.5,-3.0,0.572
9.3,18.6,-1.8,-3.6,0.101
-1.1,-2.2,-2.0,-4.0,0.644
10.7,21.4,-0.8,-1.6,0.101
8.6,17.2,-2.3,-4.6,0.101
-2.5,-5.0,-3.0,-6.0,0.726
1.0,2.0,-0.5,-1.0,0.448
11.4,22.8,-0.3,-0.6,0.101
-3.2,-6.4,-3.5,-7.0,0.778
0.3,0.6,-1.0,-2.0,0.503
1.7,3.4,0.0,0.0,0.467
2.4,4.8,0.5,1.0,0.488
12.8,25.6,0.7,1.4,0.101
-1.8,-3.6,-2.5,-5.0,0.674
-3.9,-7.8,-4.0,-8.0,0.79
12.1,24.2,0.2,0.4,0.101
7.9,15.8,-2.8,-5.6,0.101
6.5,13.0,-3.8,-7.6,0.101
10.0,20.0,-1.3,-2.6,0.101
7.2,14.4,-3.3,-6.6,0.101
11.5,23.0,-0.3,-0.6,0.104
-1.0,-2.0,-2.0,-4.0,0.599
9.4,18.8,-1.8,-3.6,0.104
0.4,0.8,-1.0,-2.0,0.491
-0.3,-0.6,-1.5,-3.0,0.525
2.5,5.0,0.5,1.0,0.472
-2.4,-4.8,-3.0,-6.0,0.711
10.8,21.6,-0.8,-1.6,0.104
12.9,25.8,0.7,1.4,0.104
8.7,17.4,-2.3,-4.6,0.104
12.2,24.4,0.2,0.4,0.104
-3.1,-6.2,-3.5,-7.0,0.743
-1.7,-3.4,-2.5,-5.0,0.638
8.0,16.0,-2.8,-5.6,0.104
1.8,3.6,0.0,0.0,0.444
1.1,2.2,-0.5,-1.0,0.441
-3.8,-7.6,-4.0,-8.0,0.793
6.6,13.2,-3.8,-7.6,0.104
10.1,20.2,-1.3,-2.6,0.104
7.3,14.6,-3.3,-6.6,0.104
11.6,23.2,-0.3,-0.6,0.094
-0.9,-1.8,-2.0,-4.0,0.588
9.5,19.0,-1.8,-3.6,0.094
-1.6,-3.2,-2.5,-5.0,0.656
6.7,13.4,-3.8,-7.6,0.094
1.9,3.8,0.0,0.0,0.412
-2.3,-4.6,-3.0,-6.0,0.692
0.5,1.0,-1.0,-2.0,0.456
-0.2,-0.4,-1.5,-3.0,0.499
2.6,5.2,0.5,1.0,0.463
13.0,26.0,0.7,1.4,0.094
10.2,20.4,-1.3,-2.6,0.094
12.3,24.6,0.2,0.4,0.094
8.1,16.2,-2.8,-5.6,0.094
10.9,21.8,-0.8,-1.6,0.094
8.8,17.6,-2.3,-4.6,0.094
-3.0,-6.0,-3.5,-7.0,0.72
-3.7,-7.4,-4.0,-8.0,0.783
1.2,2.4,-0.5,-1.0,0.378
7.4,14.8,-3.3,-6.6,0.094
11.7,23.4,-0.3,-0.6,0.098
-0.8,-1.6,-2.0,-4.0,0.547
2.0,4.0,0.0,0.0,0.353
6.8,13.6,-3.8,-7.6,0.098
10.3,20.6,-1.3,-2.6,0.098
12.4,24.8,0.2,0.4,0.098
9.6,19.2,-1.8,-3.6,0.098
-0.1,-0.2,-1.5,-3.0,0.456
-1.5,-3.0,-2.5,-5.0,0.602
13.1,26.2,0.7,1.4,0.098
11.0,22.0,-0.8,-1.6,0.098
0.6,1.2,-1.0,-2.0,0.41
-2.2,-4.4,-3.0,-6.0,0.654
8.9,17.8,-2.3,-4.6,0.098
2.7,5.4,0.5,1.0,0.407
8.2,16.4,-2.8,-5.6,0.098
7.5,15.0,-3.3,-6.6,0.098
-3.6,-7.2,-4.0,-8.0,0.758
-2.9,-5.8,-3.5,-7.0,0.701
1.3,2.6,-0.5,-1.0,0.352
11.8,23.6,-0.3,-0.6,0.112
-0.7,-1.4,-2.0,-4.0,0.498
2.1,4.2,0.0,0.0,0.321
6.9,13.8,-3.8,-7.6,0.112
9.7,19.4,-1.8,-3.6,0.112
12.5,25.0,0.2,0.4,0.112
10.4,20.8,-1.3,-2.6,0.112
13.2,26.4,0.7,1.4,0.112
0.0,0.0,-1.5,-3.0,0.404
-1.4,-2.8,-2.5,-5.0,0.577
0.7,1.4,-1.0,-2.0,0.372
