$\mu_{x_1}$,$\mu_{x_2}$,$\mu_{h_1}$,$\mu_{h_2}$,success_rate
10.7,2.0,-1.3,2.0,0.195
13.4,2.0,0.7,2.0,0.217
7.8,2.0,-3.3,2.0,0.213
-0.5,2.0,-2.0,2.0,0.861
3.0,2.0,0.5,2.0,0.723
12.7,2.0,0.2,2.0,0.217
-3.2,2.0,-4.0,2.0,0.86
9.9,2.0,-1.8,2.0,0.197
2.4,2.0,0.0,2.0,0.753
-2.6,2.0,-3.5,2.0,0.866
7.1,2.0,-3.8,2.0,0.199
0.9,2.0,-1.0,2.0,0.857
0.3,2.0,-1.5,2.0,0.867
-1.8,2.0,-3.0,2.0,0.86
12.0,2.0,-0.3,2.0,0.197
8.6,2.0,-2.8,2.0,0.221
-1.1,2.0,-2.5,2.0,0.864
9.3,2.0,-2.3,2.0,0.195
7.9,2.0,-3.3,2.0,0.202
1.7,2.0,-0.5,2.0,0.814
10.8,2.0,-1.3,2.0,0.206
13.5,2.0,0.7,2.0,0.229
11.3,2.0,-0.8,2.0,0.197
-0.4,2.0,-2.0,2.0,0.867
-3.1,2.0,-4.0,2.0,0.884
3.1,2.0,0.5,2.0,0.699
7.2,2.0,-3.8,2.0,0.202
10.0,2.0,-1.8,2.0,0.195
1.0,2.0,-1.0,2.0,0.844
2.5,2.0,0.0,2.0,0.778
-2.5,2.0,-3.5,2.0,0.86
12.8,2.0,0.2,2.0,0.232
1.8,2.0,-0.5,2.0,0.791
0.4,2.0,-1.5,2.0,0.852
-1.7,2.0,-3.0,2.0,0.884
12.1,2.0,-0.3,2.0,0.195
9.4,2.0,-2.3,2.0,0.206
-1.0,2.0,-2.5,2.0,0.876
10.9,2.0,-1.3,2.0,0.199
8.7,2.0,-2.8,2.0,0.182
11.4,2.0,-0.8,2.0,0.195
8.0,2.0,-3.3,2.0,0.207
13.6,2.0,0.7,2.0,0.176
-0.3,2.0,-2.0,2.0,0.864
2.6,2.0,0.0,2.0,0.777
-2.4,2.0,-3.5,2.0,0.884
3.2,2.0,0.5,2.0,0.674
-3.0,2.0,-4.0,2.0,0.864
1.1,2.0,-1.0,2.0,0.838
10.1,2.0,-1.8,2.0,0.206
1.9,2.0,-0.5,2.0,0.832
-1.6,2.0,-3.0,2.0,0.864
-0.9,2.0,-2.5,2.0,0.842
7.3,2.0,-3.8,2.0,0.211
12.9,2.0,0.2,2.0,0.183
12.2,2.0,-0.3,2.0,0.206
9.5,2.0,-2.3,2.0,0.199
11.0,2.0,-1.3,2.0,0.202
8.1,2.0,-3.3,2.0,0.199
0.5,2.0,-1.5,2.0,0.86
13.7,2.0,0.7,2.0,0.2
8.8,2.0,-2.8,2.0,0.203
2.7,2.0,0.0,2.0,0.744
11.5,2.0,-0.8,2.0,0.206
-2.9,2.0,-4.0,2.0,0.866
10.2,2.0,-1.8,2.0,0.199
3.3,2.0,0.5,2.0,0.668
13.0,2.0,0.2,2.0,0.203
1.2,2.0,-1.0,2.0,0.856
12.3,2.0,-0.3,2.0,0.199
2.0,2.0,-0.5,2.0,0.803
-0.2,2.0,-2.0,2.0,0.86
-2.3,2.0,-3.5,2.0,0.864
9.6,2.0,-2.3,2.0,0.202
-1.5,2.0,-3.0,2.0,0.866
-0.8,2.0,-2.5,2.0,0.866
8.2,2.0,-3.3,2.0,0.201
11.1,2.0,-1.3,2.0,0.198
0.6,2.0,-1.5,2.0,0.853
7.4,2.0,-3.8,2.0,0.177
11.6,2.0,-0.8,2.0,0.199
2.8,2.0,0.0,2.0,0.766
8.9,2.0,-2.8,2.0,0.208
3.4,2.0,0.5,2.0,0.666
13.8,2.0,0.7,2.0,0.203
10.3,2.0,-1.8,2.0,0.202
-2.8,2.0,-4.0,2.0,0.872
12.4,2.0,-0.3,2.0,0.202
13.1,2.0,0.2,2.0,0.22
9.7,2.0,-2.3,2.0,0.198
8.3,2.0,-3.3,2.0,0.198
2.1,2.0,-0.5,2.0,0.768
1.3,2.0,-1.0,2.0,0.81
-2.2,2.0,-3.5,2.0,0.866
-0.1,2.0,-2.0,2.0,0.853
2.9,2.0,0.0,2.0,0.713
7.5,2.0,-3.8,2.0,0.211
11.7,2.0,-0.8,2.0,0.202
-1.4,2.0,-3.0,2.0,0.872
-0.7,2.0,-2.5,2.0,0.872
10.4,2.0,-1.8,2.0,0.198
0.7,2.0,-1.5,2.0,0.847
9.0,2.0,-2.8,2.0,0.197
3.5,2.0,0.5,2.0,0.623
11.2,2.0,-1.3,2.0,0.177
12.5,2.0,-0.3,2.0,0.198
13.9,2.0,0.7,2.0,0.192
9.8,2.0,-2.3,2.0,0.177
-2.7,2.0,-4.0,2.0,0.862
2.2,2.0,-0.5,2.0,0.799
13.2,2.0,0.2,2.0,0.192
-2.1,2.0,-3.5,2.0,0.872
3.0,2.0,0.0,2.0,0.729
7.6,2.0,-3.8,2.0,0.193
11.8,2.0,-0.8,2.0,0.198
8.4,2.0,-3.3,2.0,0.188
0.8,2.0,-1.5,2.0,0.862
1.4,2.0,-1.0,2.0,0.817
0.0,2.0,-2.0,2.0,0.881
-1.3,2.0,-3.0,2.0,0.862
-0.6,2.0,-2.5,2.0,0.856
10.5,2.0,-1.8,2.0,0.177
11.3,2.0,-1.3,2.0,0.19
9.9,2.0,-2.3,2.0,0.19
3.6,2.0,0.5,2.0,0.599
9.1,2.0,-2.8,2.0,0.197
-2.0,2.0,-3.5,2.0,0.862
3.1,2.0,0.0,2.0,0.718
12.6,2.0,-0.3,2.0,0.177
-2.6,2.0,-4.0,2.0,0.849
2.3,2.0,-0.5,2.0,0.773
14.0,2.0,0.7,2.0,0.21
1.5,2.0,-1.0,2.0,0.838
0.9,2.0,-1.5,2.0,0.83
11.9,2.0,-0.8,2.0,0.177
13.3,2.0,0.2,2.0,0.21
7.7,2.0,-3.8,2.0,0.18
-0.5,2.0,-2.5,2.0,0.868
8.5,2.0,-3.3,2.0,0.213
11.4,2.0,-1.3,2.0,0.198
10.0,2.0,-2.3,2.0,0.198
-1.9,2.0,-3.5,2.0,0.849
0.1,2.0,-2.0,2.0,0.865
-1.2,2.0,-3.0,2.0,0.841
10.6,2.0,-1.8,2.0,0.19
3.2,2.0,0.0,2.0,0.675
-2.5,2.0,-4.0,2.0,0.89
9.2,2.0,-2.8,2.0,0.215
2.4,2.0,-0.5,2.0,0.801
3.7,2.0,0.5,2.0,0.593
12.7,2.0,-0.3,2.0,0.19
1.6,2.0,-1.0,2.0,0.811
12.0,2.0,-0.8,2.0,0.19
14.1,2.0,0.7,2.0,0.189
11.5,2.0,-1.3,2.0,0.192
1.0,2.0,-1.5,2.0,0.836
-0.4,2.0,-2.5,2.0,0.847
7.8,2.0,-3.8,2.0,0.172
13.4,2.0,0.2,2.0,0.189
8.6,2.0,-3.3,2.0,0.183
10.1,2.0,-2.3,2.0,0.192
3.3,2.0,0.0,2.0,0.672
-1.8,2.0,-3.5,2.0,0.89
-1.1,2.0,-3.0,2.0,0.871
10.7,2.0,-1.8,2.0,0.198
12.1,2.0,-0.8,2.0,0.198
0.2,2.0,-2.0,2.0,0.843
9.3,2.0,-2.8,2.0,0.204
-2.4,2.0,-4.0,2.0,0.864
8.7,2.0,-3.3,2.0,0.207
12.8,2.0,-0.3,2.0,0.198
2.5,2.0,-0.5,2.0,0.775
3.8,2.0,0.5,2.0,0.544
14.2,2.0,0.7,2.0,0.193
1.7,2.0,-1.0,2.0,0.796
3.4,2.0,0.0,2.0,0.675
13.5,2.0,0.2,2.0,0.183
11.6,2.0,-1.3,2.0,0.179
-0.3,2.0,-2.5,2.0,0.877
1.1,2.0,-1.5,2.0,0.849
12.2,2.0,-0.8,2.0,0.192
7.9,2.0,-3.8,2.0,0.19
9.4,2.0,-2.8,2.0,0.207
10.2,2.0,-2.3,2.0,0.179
-1.0,2.0,-3.0,2.0,0.878
-1.7,2.0,-3.5,2.0,0.864
8.8,2.0,-3.3,2.0,0.174
0.3,2.0,-2.0,2.0,0.865
12.9,2.0,-0.3,2.0,0.192
10.8,2.0,-1.8,2.0,0.192
-2.3,2.0,-4.0,2.0,0.864
3.9,2.0,0.5,2.0,0.507
13.6,2.0,0.2,2.0,0.206
1.8,2.0,-1.0,2.0,0.81
3.5,2.0,0.0,2.0,0.63
