mux1,mux2,muh1,muh2,success_rate
2.3,4.6,0.0,0.0,0.155
-3.3,-6.6,-4.0,-4.0,0.859
3.0,6.0,0.5,0.5,0.133
-2.6,-5.2,-3.5,-3.5,0.83
7.8,15.6,-3.3,-3.3,0.098
1.6,3.2,-0.5,-0.5,0.171
0.9,1.8,-1.0,-1.0,0.223
11.3,22.6,-0.8,-0.8,0.098
7.1,14.2,-3.8,-3.8,0.098
12.0,24.0,-0.3,-0.3,0.098
-0.5,-1.0,-2.0,-2.0,0.62
9.2,18.4,-2.3,-2.3,0.098
0.2,0.4,-1.5,-1.5,0.426
9.9,19.8,-1.8,-1.8,0.098
13.4,26.8,0.7,0.7,0.098
8.5,17.0,-2.8,-2.8,0.098
12.7,25.4,0.2,0.2,0.098
-1.1,-2.2,-2.5,-2.5,0.713
10.7,21.4,-1.3,-1.3,0.098
-1.8,-3.6,-3.0,-3.0,0.807
2.4,4.8,0.0,0.0,0.143
-3.2,-6.4,-4.0,-4.0,0.866
1.0,2.0,-1.0,-1.0,0.23
1.7,3.4,-0.5,-0.5,0.153
-2.5,-5.0,-3.5,-3.5,0.829
3.1,6.2,0.5,0.5,0.118
7.9,15.8,-3.3,-3.3,0.098
7.2,14.4,-3.8,-3.8,0.098
10.0,20.0,-1.8,-1.8,0.098
11.4,22.8,-0.8,-0.8,0.098
13.5,27.0,0.7,0.7,0.098
12.1,24.2,-0.3,-0.3,0.098
-0.4,-0.8,-2.0,-2.0,0.568
9.3,18.6,-2.3,-2.3,0.098
0.3,0.6,-1.5,-1.5,0.359
12.8,25.6,0.2,0.2,0.098
8.6,17.2,-2.8,-2.8,0.098
-1.0,-2.0,-2.5,-2.5,0.698
10.8,21.6,-1.3,-1.3,0.097
-1.7,-3.4,-3.0,-3.0,0.782
2.5,5.0,0.0,0.0,0.131
-3.1,-6.2,-4.0,-4.0,0.841
1.8,3.6,-0.5,-0.5,0.166
1.1,2.2,-1.0,-1.0,0.191
-2.4,-4.8,-3.5,-3.5,0.825
3.2,6.4,0.5,0.5,0.127
10.1,20.2,-1.8,-1.8,0.097
8.0,16.0,-3.3,-3.3,0.097
7.3,14.6,-3.8,-3.8,0.097
13.6,27.2,0.7,0.7,0.097
11.5,23.0,-0.8,-0.8,0.097
-0.3,-0.6,-2.0,-2.0,0.532
0.4,0.8,-1.5,-1.5,0.301
12.2,24.4,-0.3,-0.3,0.097
9.4,18.8,-2.3,-2.3,0.097
12.9,25.8,0.2,0.2,0.097
8.7,17.4,-2.8,-2.8,0.097
-0.9,-1.8,-2.5,-2.5,0.658
10.9,21.8,-1.3,-1.3,0.1
2.6,5.2,0.0,0.0,0.138
-3.0,-6.0,-4.0,-4.0,0.826
-1.6,-3.2,-3.0,-3.0,0.768
1.9,3.8,-0.5,-0.5,0.144
1.2,2.4,-1.0,-1.0,0.181
3.3,6.6,0.5,0.5,0.119
-2.3,-4.6,-3.5,-3.5,0.792
13.7,27.4,0.7,0.7,0.1
10.2,20.4,-1.8,-1.8,0.1
-0.2,-0.4,-2.0,-2.0,0.431
8.1,16.2,-3.3,-3.3,0.1
11.6,23.2,-0.8,-0.8,0.1
7.4,14.8,-3.8,-3.8,0.1
9.5,19.0,-2.3,-2.3,0.1
12.3,24.6,-0.3,-0.3,0.1
0.5,1.0,-1.5,-1.5,0.275
-0.8,-1.6,-2.5,-2.5,0.607
8.8,17.6,-2.8,-2.8,0.1
13.0,26.0,0.2,0.2,0.1
2.7,5.4,0.0,0.0,0.104
-1.5,-3.0,-3.0,-3.0,0.73
-2.9,-5.8,-4.0,-4.0,0.806
11.0,22.0,-1.3,-1.3,0.106
2.0,4.0,-0.5,-0.5,0.14
3.4,6.8,0.5,0.5,0.119
1.3,2.6,-1.0,-1.0,0.173
13.8,27.6,0.7,0.7,0.106
-2.2,-4.4,-3.5,-3.5,0.79
10.3,20.6,-1.8,-1.8,0.106
-0.1,-0.2,-2.0,-2.0,0.421
9.6,19.2,-2.3,-2.3,0.106
11.7,23.4,-0.8,-0.8,0.106
8.2,16.4,-3.3,-3.3,0.106
7.5,15.0,-3.8,-3.8,0.106
12.4,24.8,-0.3,-0.3,0.106
-0.7,-1.4,-2.5,-2.5,0.552
8.9,17.8,-2.8,-2.8,0.106
0.6,1.2,-1.5,-1.5,0.254
13.1,26.2,0.2,0.2,0.106
11.1,22.2,-1.3,-1.3,0.093
2.8,5.6,0.0,0.0,0.122
-2.8,-5.6,-4.0,-4.0,0.807
-1.4,-2.8,-3.0,-3.0,0.689
1.4,2.8,-1.0,-1.0,0.137
0.0,0.0,-2.0,-2.0,0.363
10.4,20.8,-1.8,-1.8,0.093
13.9,27.8,0.7,0.7,0.093
2.1,4.2,-0.5,-0.5,0.134
3.5,7.0,0.5,0.5,0.124
-2.1,-4.2,-3.5,-3.5,0.757
7.6,15.2,-3.8,-3.8,0.093
13.2,26.4,0.2,0.2,0.093
8.3,16.6,-3.3,-3.3,0.093
11.8,23.6,-0.8,-0.8,0.093
9.7,19.4,-2.3,-2.3,0.093
12.5,25.0,-0.3,-0.3,0.093
9.0,18.0,-2.8,-2.8,0.093
-0.6,-1.2,-2.5,-2.5,0.484
0.7,1.4,-1.5,-1.5,0.206
2.9,5.8,0.0,0.0,0.114
11.2,22.4,-1.3,-1.3,0.104
-2.7,-5.4,-4.0,-4.0,0.781
-1.3,-2.6,-3.0,-3.0,0.646
1.5,3.0,-1.0,-1.0,0.124
0.1,0.2,-2.0,-2.0,0.316
10.5,21.0,-1.8,-1.8,0.104
14.0,28.0,0.7,0.7,0.104
2.2,4.4,-0.5,-0.5,0.143
3.6,7.2,0.5,0.5,0.117
13.3,26.6,0.2,0.2,0.104
-2.0,-4.0,-3.5,-3.5,0.739
7.7,15.4,-3.8,-3.8,0.104
8.4,16.8,-3.3,-3.3,0.104
-0.5,-1.0,-2.5,-2.5,0.429
11.9,23.8,-0.8,-0.8,0.104
12.6,25.2,-0.3,-0.3,0.104
9.1,18.2,-2.8,-2.8,0.104
0.8,1.6,-1.5,-1.5,0.199
9.8,19.6,-2.3,-2.3,0.104
11.3,22.6,-1.3,-1.3,0.095
3.0,6.0,0.0,0.0,0.109
-2.6,-5.2,-4.0,-4.0,0.788
-1.2,-2.4,-3.0,-3.0,0.626
1.6,3.2,-1.0,-1.0,0.14
0.2,0.4,-2.0,-2.0,0.262
3.7,7.4,0.5,0.5,0.108
10.6,21.2,-1.8,-1.8,0.095
13.4,26.8,0.2,0.2,0.095
2.3,4.6,-0.5,-0.5,0.14
14.1,28.2,0.7,0.7,0.095
-1.9,-3.8,-3.5,-3.5,0.699
-0.4,-0.8,-2.5,-2.5,0.408
7.8,15.6,-3.8,-3.8,0.095
8.5,17.0,-3.3,-3.3,0.095
12.0,24.0,-0.8,-0.8,0.095
12.7,25.4,-0.3,-0.3,0.095
9.2,18.4,-2.8,-2.8,0.095
9.9,19.8,-2.3,-2.3,0.095
0.9,1.8,-1.5,-1.5,0.172
3.1,6.2,0.0,0.0,0.128
11.4,22.8,-1.3,-1.3,0.11
-2.5,-5.0,-4.0,-4.0,0.736
-1.1,-2.2,-3.0,-3.0,0.567
1.7,3.4,-1.0,-1.0,0.112
0.3,0.6,-2.0,-2.0,0.244
3.8,7.6,0.5,0.5,0.109
14.2,28.4,0.7,0.7,0.11
10.7,21.4,-1.8,-1.8,0.11
2.4,4.8,-0.5,-0.5,0.113
13.5,27.0,0.2,0.2,0.11
-0.3,-0.6,-2.5,-2.5,0.339
-1.8,-3.6,-3.5,-3.5,0.659
7.9,15.8,-3.8,-3.8,0.11
8.6,17.2,-3.3,-3.3,0.11
12.8,25.6,-0.3,-0.3,0.11
12.1,24.2,-0.8,-0.8,0.11
9.3,18.6,-2.8,-2.8,0.11
10.0,20.0,-2.3,-2.3,0.11
1.0,2.0,-1.5,-1.5,0.154
11.5,23.0,-1.3,-1.3,0.105
3.2,6.4,0.0,0.0,0.113
-2.4,-4.8,-4.0,-4.0,0.694
-1.0,-2.0,-3.0,-3.0,0.504
10.8,21.6,-1.8,-1.8,0.105
1.8,3.6,-1.0,-1.0,0.125
14.3,28.6,0.7,0.7,0.105
0.4,0.8,-2.0,-2.0,0.19
2.5,5.0,-0.5,-0.5,0.13
3.9,7.8,0.5,0.5,0.089
-1.7,-3.4,-3.5,-3.5,0.655
13.6,27.2,0.2,0.2,0.105
9.4,18.8,-2.8,-2.8,0.105
8.0,16.0,-3.8,-3.8,0.105
10.1,20.2,-2.3,-2.3,0.105
-0.2,-0.4,-2.5,-2.5,0.302
12.2,24.4,-0.8,-0.8,0.105
8.7,17.4,-3.3,-3.3,0.105
12.9,25.8,-0.3,-0.3,0.105
1.1,2.2,-1.5,-1.5,0.143
11.6,23.2,-1.3,-1.3,0.091
3.3,6.6,0.0,0.0,0.124
-2.3,-4.6,-4.0,-4.0,0.703
1.9,3.8,-1.0,-1.0,0.13
10.9,21.8,-1.8,-1.8,0.091
-0.9,-1.8,-3.0,-3.0,0.448
14.4,28.8,0.7,0.7,0.091
-1.6,-3.2,-3.5,-3.5,0.618
0.5,1.0,-2.0,-2.0,0.183
2.6,5.2,-0.5,-0.5,0.111
4.0,8.0,0.5,0.5,0.098
9.5,19.0,-2.8,-2.8,0.091
13.7,27.4,0.2,0.2,0.091
-0.1,-0.2,-2.5,-2.5,0.241
8.1,16.2,-3.8,-3.8,0.091
10.2,20.4,-2.3,-2.3,0.091
8.8,17.6,-3.3,-3.3,0.091
13.0,26.0,-0.3,-0.3,0.091
1.2,2.4,-1.5,-1.5,0.14
12.3,24.6,-0.8,-0.8,0.091
11.7,23.4,-1.3,-1.3,0.094
3.4,6.8,0.0,0.0,0.112
-2.2,-4.4,-4.0,-4.0,0.674
11.0,22.0,-1.8,-1.8,0.094
2.0,4.0,-1.0,-1.0,0.125
-0.8,-1.6,-3.0,-3.0,0.415
4.1,8.2,0.5,0.5,0.123
14.5,29.0,0.7,0.7,0.094
-1.5,-3.0,-3.5,-3.5,0.564
2.7,5.4,-0.5,-0.5,0.113
0.6,1.2,-2.0,-2.0,0.167
9.6,19.2,-2.8,-2.8,0.094
0.0,0.0,-2.5,-2.5,0.248
13.8,27.6,0.2,0.2,0.094
8.2,16.4,-3.8,-3.8,0.094
13.1,26.2,-0.3,-0.3,0.094
8.9,17.8,-3.3,-3.3,0.094
10.3,20.6,-2.3,-2.3,0.094
1.3,2.6,-1.5,-1.5,0.159
12.4,24.8,-0.8,-0.8,0.094
11.8,23.6,-1.3,-1.3,0.104
-2.1,-4.2,-4.0,-4.0,0.629
11.1,22.2,-1.8,-1.8,0.104
3.5,7.0,0.0,0.0,0.114
2.1,4.2,-1.0,-1.0,0.116
-0.7,-1.4,-3.0,-3.0,0.343
2.8,5.6,-0.5,-0.5,0.12
14.6,29.2,0.7,0.7,0.104
4.2,8.4,0.5,0.5,0.107
0.7,1.4,-2.0,-2.0,0.152
-1.4,-2.8,-3.5,-3.5,0.528
9.7,19.4,-2.8,-2.8,0.104
13.9,27.8,0.2,0.2,0.104
13.2,26.4,-0.3,-0.3,0.104
8.3,16.6,-3.8,-3.8,0.104
0.1,0.2,-2.5,-2.5,0.185
12.5,25.0,-0.8,-0.8,0.104
10.4,20.8,-2.3,-2.3,0.104
9.0,18.0,-3.3,-3.3,0.104
1.4,2.8,-1.5,-1.5,0.123
11.9,23.8,-1.3,-1.3,0.096
11.2,22.4,-1.8,-1.8,0.096
-2.0,-4.0,-4.0,-4.0,0.62
2.2,4.4,-1.0,-1.0,0.109
3.6,7.2,0.0,0.0,0.102
-0.6,-1.2,-3.0,-3.0,0.312
4.3,8.6,0.5,0.5,0.096
14.0,28.0,0.2,0.2,0.096
9.8,19.6,-2.8,-2.8,0.096
-1.3,-2.6,-3.5,-3.5,0.458
14.7,29.4,0.7,0.7,0.096
2.9,5.8,-0.5,-0.5,0.105
0.8,1.6,-2.0,-2.0,0.141
8.4,16.8,-3.8,-3.8,0.096
12.6,25.2,-0.8,-0.8,0.096
13.3,26.6,-0.3,-0.3,0.096
0.2,0.4,-2.5,-2.5,0.181
10.5,21.0,-2.3,-2.3,0.096
1.5,3.0,-1.5,-1.5,0.112
9.1,18.2,-3.3,-3.3,0.096
12.0,24.0,-1.3,-1.3,0.105
11.3,22.6,-1.8,-1.8,0.105
-1.9,-3.8,-4.0,-4.0,0.548
2.3,4.6,-1.0,-1.0,0.103
3.7,7.4,0.0,0.0,0.105
-0.5,-1.0,-3.0,-3.0,0.248
14.1,28.2,0.2,0.2,0.105
4.4,8.8,0.5,0.5,0.113
-1.2,-2.4,-3.5,-3.5,0.447
9.9,19.8,-2.8,-2.8,0.105
14.8,29.6,0.7,0.7,0.105
3.0,6.0,-0.5,-0.5,0.117
0.9,1.8,-2.0,-2.0,0.131
13.4,26.8,-0.3,-0.3,0.105
0.3,0.6,-2.5,-2.5,0.165
10.6,21.2,-2.3,-2.3,0.105
12.7,25.4,-0.8,-0.8,0.105
8.5,17.0,-3.8,-3.8,0.105
9.2,18.4,-3.3,-3.3,0.105
1.6,3.2,-1.5,-1.5,0.112
12.1,24.2,-1.3,-1.3,0.093
11.4,22.8,-1.8,-1.8,0.093
2.4,4.8,-1.0,-1.0,0.117
-1.8,-3.6,-4.0,-4.0,0.513
-0.4,-0.8,-3.0,-3.0,0.251
3.8,7.6,0.0,0.0,0.141
14.2,28.4,0.2,0.2,0.093
10.0,20.0,-2.8,-2.8,0.093
1.0,2.0,-2.0,-2.0,0.128
14.9,29.8,0.7,0.7,0.093
4.5,9.0,0.5,0.5,0.104
-1.1,-2.2,-3.5,-3.5,0.397
3.1,6.2,-0.5,-0.5,0.111
0.4,0.8,-2.5,-2.5,0.138
10.7,21.4,-2.3,-2.3,0.093
13.5,27.0,-0.3,-0.3,0.093
8.6,17.2,-3.8,-3.8,0.093
12.8,25.6,-0.8,-0.8,0.093
9.3,18.6,-3.3,-3.3,0.093
12.2,24.4,-1.3,-1.3,0.11
1.7,3.4,-1.5,-1.5,0.115
11.5,23.0,-1.8,-1.8,0.11
2.5,5.0,-1.0,-1.0,0.106
-1.7,-3.4,-4.0,-4.0,0.461
-0.3,-0.6,-3.0,-3.0,0.209
3.9,7.8,0.0,0.0,0.11
14.3,28.6,0.2,0.2,0.11
10.1,20.2,-2.8,-2.8,0.11
1.1,2.2,-2.0,-2.0,0.121
3.2,6.4,-0.5,-0.5,0.119
-1.0,-2.0,-3.5,-3.5,0.328
15.0,30.0,0.7,0.7,0.11
4.6,9.2,0.5,0.5,0.107
10.8,21.6,-2.3,-2.3,0.11
0.5,1.0,-2.5,-2.5,0.125
13.6,27.2,-0.3,-0.3,0.11
8.7,17.4,-3.8,-3.8,0.11
12.9,25.8,-0.8,-0.8,0.11
9.4,18.8,-3.3,-3.3,0.11
1.8,3.6,-1.5,-1.5,0.113
12.3,24.6,-1.3,-1.3,0.111
-1.6,-3.2,-4.0,-4.0,0.452
11.6,23.2,-1.8,-1.8,0.111
2.6,5.2,-1.0,-1.0,0.1
-0.2,-0.4,-3.0,-3.0,0.168
4.0,8.0,0.0,0.0,0.113
10.2,20.4,-2.8,-2.8,0.111
14.4,28.8,0.2,0.2,0.111
1.2,2.4,-2.0,-2.0,0.115
15.1,30.2,0.7,0.7,0.111
4.7,9.4,0.5,0.5,0.109
10.9,21.8,-2.3,-2.3,0.111
-0.9,-1.8,-3.5,-3.5,0.289
3.3,6.6,-0.5,-0.5,0.111
0.6,1.2,-2.5,-2.5,0.122
13.7,27.4,-0.3,-0.3,0.111
8.8,17.6,-3.8,-3.8,0.111
9.5,19.0,-3.3,-3.3,0.111
13.0,26.0,-0.8,-0.8,0.111
12.4,24.8,-1.3,-1.3,0.088
1.9,3.8,-1.5,-1.5,0.101
-1.5,-3.0,-4.0,-4.0,0.411
11.7,23.4,-1.8,-1.8,0.088
2.7,5.4,-1.0,-1.0,0.108
-0.1,-0.2,-3.0,-3.0,0.163
4.1,8.2,0.0,0.0,0.092
14.5,29.0,0.2,0.2,0.088
10.3,20.6,-2.8,-2.8,0.088
15.2,30.4,0.7,0.7,0.088
1.3,2.6,-2.0,-2.0,0.134
-0.8,-1.6,-3.5,-3.5,0.239
11.0,22.0,-2.3,-2.3,0.088
4.8,9.6,0.5,0.5,0.114
3.4,6.8,-0.5,-0.5,0.11
0.7,1.4,-2.5,-2.5,0.105
13.8,27.6,-0.3,-0.3,0.088
9.6,19.2,-3.3,-3.3,0.088
13.1,26.2,-0.8,-0.8,0.088
8.9,17.8,-3.8,-3.8,0.088
12.5,25.0,-1.3,-1.3,0.103
2.0,4.0,-1.5,-1.5,0.109
-1.4,-2.8,-4.0,-4.0,0.351
11.8,23.6,-1.8,-1.8,0.103
2.8,5.6,-1.0,-1.0,0.106
0.0,0.0,-3.0,-3.0,0.189
14.6,29.2,0.2,0.2,0.103
4.2,8.4,0.0,0.0,0.106
10.4,20.8,-2.8,-2.8,0.103
15.3,30.6,0.7,0.7,0.103
1.4,2.8,-2.0,-2.0,0.109
11.1,22.2,-2.3,-2.3,0.103
4.9,9.8,0.5,0.5,0.103
-0.7,-1.4,-3.5,-3.5,0.228
3.5,7.0,-0.5,-0.5,0.096
13.9,27.8,-0.3,-0.3,0.103
0.8,1.6,-2.5,-2.5,0.127
9.7,19.4,-3.3,-3.3,0.103
9.0,18.0,-3.8,-3.8,0.103
13.2,26.4,-0.8,-0.8,0.103
12.6,25.2,-1.3,-1.3,0.096
2.1,4.2,-1.5,-1.5,0.105
11.9,23.8,-1.8,-1.8,0.096
2.9,5.8,-1.0,-1.0,0.102
0.1,0.2,-3.0,-3.0,0.137
-1.3,-2.6,-4.0,-4.0,0.308
14.7,29.4,0.2,0.2,0.096
15.4,30.8,0.7,0.7,0.096
1.5,3.0,-2.0,-2.0,0.109
10.5,21.0,-2.8,-2.8,0.096
4.3,8.6,0.0,0.0,0.098
11.2,22.4,-2.3,-2.3,0.096
5.0,10.0,0.5,0.5,0.103
-0.6,-1.2,-3.5,-3.5,0.181
3.6,7.2,-0.5,-0.5,0.105
14.0,28.0,-0.3,-0.3,0.096
0.9,1.8,-2.5,-2.5,0.104
9.8,19.6,-3.3,-3.3,0.096
9.1,18.2,-3.8,-3.8,0.096
12.7,25.4,-1.3,-1.3,0.103
13.3,26.6,-0.8,-0.8,0.096
2.2,4.4,-1.5,-1.5,0.107
-1.2,-2.4,-4.0,-4.0,0.305
3.0,6.0,-1.0,-1.0,0.107
0.2,0.4,-3.0,-3.0,0.136
12.0,24.0,-1.8,-1.8,0.103
15.5,31.0,0.7,0.7,0.103
11.3,22.6,-2.3,-2.3,0.103
14.8,29.6,0.2,0.2,0.103
10.6,21.2,-2.8,-2.8,0.103
1.6,3.2,-2.0,-2.0,0.11
4.4,8.8,0.0,0.0,0.094
5.1,10.2,0.5,0.5,0.103
3.7,7.4,-0.5,-0.5,0.111
-0.5,-1.0,-3.5,-3.5,0.192
14.1,28.2,-0.3,-0.3,0.103
1.0,2.0,-2.5,-2.5,0.105
9.9,19.8,-3.3,-3.3,0.103
9.2,18.4,-3.8,-3.8,0.103
12.8,25.6,-1.3,-1.3,0.1
13.4,26.8,-0.8,-0.8,0.103
2.3,4.6,-1.5,-1.5,0.106
-1.1,-2.2,-4.0,-4.0,0.267
12.1,24.2,-1.8,-1.8,0.1
3.1,6.2,-1.0,-1.0,0.092
0.3,0.6,-3.0,-3.0,0.122
14.9,29.8,0.2,0.2,0.1
10.7,21.4,-2.8,-2.8,0.1
11.4,22.8,-2.3,-2.3,0.1
15.6,31.2,0.7,0.7,0.1
4.5,9.0,0.0,0.0,0.103
3.8,7.6,-0.5,-0.5,0.113
1.7,3.4,-2.0,-2.0,0.115
5.2,10.4,0.5,0.5,0.106
-0.4,-0.8,-3.5,-3.5,0.159
14.2,28.4,-0.3,-0.3,0.1
1.1,2.2,-2.5,-2.5,0.109
9.3,18.6,-3.8,-3.8,0.1
10.0,20.0,-3.3,-3.3,0.1
12.9,25.8,-1.3,-1.3,0.114
13.5,27.0,-0.8,-0.8,0.1
2.4,4.8,-1.5,-1.5,0.109
-1.0,-2.0,-4.0,-4.0,0.232
12.2,24.4,-1.8,-1.8,0.114
10.8,21.6,-2.8,-2.8,0.114
11.5,23.0,-2.3,-2.3,0.114
3.2,6.4,-1.0,-1.0,0.11
0.4,0.8,-3.0,-3.0,0.106
15.0,30.0,0.2,0.2,0.114
15.7,31.4,0.7,0.7,0.114
4.6,9.2,0.0,0.0,0.094
3.9,7.8,-0.5,-0.5,0.106
1.8,3.6,-2.0,-2.0,0.104
5.3,10.6,0.5,0.5,0.103
14.3,28.6,-0.3,-0.3,0.114
-0.3,-0.6,-3.5,-3.5,0.148
10.1,20.2,-3.3,-3.3,0.114
1.2,2.4,-2.5,-2.5,0.123
9.4,18.8,-3.8,-3.8,0.114
13.0,26.0,-1.3,-1.3,0.089
13.6,27.2,-0.8,-0.8,0.114
-0.9,-1.8,-4.0,-4.0,0.186
2.5,5.0,-1.5,-1.5,0.092
10.9,21.8,-2.8,-2.8,0.089
11.6,23.2,-2.3,-2.3,0.089
3.3,6.6,-1.0,-1.0,0.094
0.5,1.0,-3.0,-3.0,0.104
12.3,24.6,-1.8,-1.8,0.089
4.7,9.4,0.0,0.0,0.08
15.1,30.2,0.2,0.2,0.089
4.0,8.0,-0.5,-0.5,0.106
15.8,31.6,0.7,0.7,0.089
1.9,3.8,-2.0,-2.0,0.092
