sigx,sigh,success_rate
0.12,0.64,0.621
0.76,0.32,0.82
1.12,0.76,0.8
1.44,0.44,0.783
2.76,0.36,0.599
3.76,0.16,0.416
2.08,0.24,0.586
0.72,0.0,0.578
2.44,0.68,0.746
3.08,0.04,0.4
3.44,0.48,0.599
3.8,0.92,0.744
1.76,0.56,0.787
3.12,0.8,0.733
1.44,0.88,0.792
1.72,0.12,0.545
0.8,0.32,0.835
1.16,0.76,0.792
1.48,0.44,0.792
0.16,0.64,0.645
1.76,0.12,0.544
2.8,0.36,0.568
2.12,0.24,0.572
3.8,0.16,0.449
0.76,0.0,0.606
3.12,0.04,0.399
2.48,0.68,0.764
3.48,0.48,0.599
3.84,0.92,0.753
1.8,0.56,0.765
3.16,0.8,0.737
1.48,0.88,0.764
0.84,0.32,0.811
1.2,0.76,0.792
1.52,0.44,0.762
1.8,0.12,0.518
0.2,0.64,0.66
0.88,0.32,0.821
1.24,0.76,0.801
1.56,0.44,0.764
2.84,0.36,0.582
3.84,0.16,0.421
2.16,0.24,0.565
0.8,0.0,0.577
3.16,0.04,0.39
2.52,0.68,0.772
3.52,0.48,0.576
3.88,0.92,0.733
1.84,0.56,0.758
3.2,0.8,0.753
1.52,0.88,0.806
1.84,0.12,0.552
0.92,0.32,0.82
1.28,0.76,0.777
1.6,0.44,0.766
0.24,0.64,0.681
2.88,0.36,0.612
3.88,0.16,0.402
2.2,0.24,0.551
1.88,0.12,0.503
0.84,0.0,0.597
2.56,0.68,0.753
3.2,0.04,0.383
3.56,0.48,0.595
3.92,0.92,0.732
1.88,0.56,0.768
3.24,0.8,0.737
1.56,0.88,0.787
0.96,0.32,0.833
1.32,0.76,0.775
1.64,0.44,0.797
1.92,0.12,0.504
0.28,0.64,0.685
1.0,0.32,0.824
1.36,0.76,0.806
1.68,0.44,0.77
2.92,0.36,0.57
2.24,0.24,0.575
3.92,0.16,0.402
0.88,0.0,0.54
2.6,0.68,0.751
3.24,0.04,0.398
3.6,0.48,0.614
3.96,0.92,0.734
1.92,0.56,0.754
3.28,0.8,0.749
1.6,0.88,0.787
1.96,0.12,0.516
1.04,0.32,0.824
1.4,0.76,0.758
1.72,0.44,0.746
0.32,0.64,0.702
2.96,0.36,0.582
2.28,0.24,0.59
3.96,0.16,0.399
0.92,0.0,0.562
2.0,0.12,0.514
3.28,0.04,0.395
2.64,0.68,0.748
3.64,0.48,0.554
4.0,0.92,0.704
1.96,0.56,0.759
3.32,0.8,0.72
1.64,0.88,0.799
1.08,0.32,0.786
1.44,0.76,0.773
1.76,0.44,0.783
0.36,0.64,0.717
2.04,0.12,0.531
1.12,0.32,0.834
1.48,0.76,0.81
1.8,0.44,0.765
3.0,0.36,0.564
2.32,0.24,0.542
4.0,0.16,0.451
0.96,0.0,0.544
3.32,0.04,0.378
2.68,0.68,0.745
3.68,0.48,0.559
2.0,0.56,0.755
0.0,0.96,0.106
3.36,0.8,0.724
1.68,0.88,0.782
2.08,0.12,0.523
1.16,0.32,0.812
1.52,0.76,0.809
1.84,0.44,0.739
0.4,0.64,0.712
3.04,0.36,0.568
2.36,0.24,0.562
0.0,0.2,0.102
1.0,0.0,0.54
3.36,0.04,0.408
2.72,0.68,0.731
2.12,0.12,0.505
3.72,0.48,0.558
2.04,0.56,0.768
0.04,0.96,0.429
3.4,0.8,0.721
1.2,0.32,0.815
1.72,0.88,0.773
1.56,0.76,0.783
1.88,0.44,0.764
0.44,0.64,0.764
1.24,0.32,0.778
1.6,0.76,0.798
2.16,0.12,0.491
3.08,0.36,0.554
1.92,0.44,0.736
2.4,0.24,0.545
0.04,0.2,0.572
1.04,0.0,0.521
2.76,0.68,0.727
3.4,0.04,0.386
3.76,0.48,0.566
2.08,0.56,0.779
3.44,0.8,0.743
0.08,0.96,0.494
1.76,0.88,0.788
1.28,0.32,0.8
2.2,0.12,0.482
1.64,0.76,0.782
1.96,0.44,0.703
0.48,0.64,0.745
3.12,0.36,0.575
2.44,0.24,0.547
0.08,0.2,0.529
1.08,0.0,0.527
2.8,0.68,0.734
3.44,0.04,0.405
3.8,0.48,0.561
2.12,0.56,0.765
3.48,0.8,0.719
0.12,0.96,0.546
1.8,0.88,0.771
1.32,0.32,0.789
2.24,0.12,0.476
1.68,0.76,0.777
2.0,0.44,0.747
0.52,0.64,0.741
1.36,0.32,0.776
2.28,0.12,0.481
1.72,0.76,0.778
3.16,0.36,0.562
2.48,0.24,0.555
0.12,0.2,0.52
2.04,0.44,0.688
1.12,0.0,0.513
2.84,0.68,0.747
3.48,0.04,0.385
3.84,0.48,0.572
2.16,0.56,0.77
3.52,0.8,0.713
0.16,0.96,0.623
1.84,0.88,0.811
1.4,0.32,0.762
2.32,0.12,0.461
1.76,0.76,0.793
2.08,0.44,0.726
0.56,0.64,0.767
3.2,0.36,0.533
2.52,0.24,0.524
0.16,0.2,0.477
1.16,0.0,0.507
2.88,0.68,0.738
3.52,0.04,0.365
3.88,0.48,0.587
2.2,0.56,0.743
3.56,0.8,0.731
0.2,0.96,0.638
1.88,0.88,0.778
1.44,0.32,0.778
2.36,0.12,0.476
1.8,0.76,0.78
2.12,0.44,0.718
2.56,0.24,0.56
0.6,0.64,0.727
3.24,0.36,0.576
1.84,0.76,0.767
0.2,0.2,0.482
1.2,0.0,0.521
2.92,0.68,0.727
3.56,0.04,0.361
1.48,0.32,0.759
2.4,0.12,0.46
3.92,0.48,0.572
2.24,0.56,0.759
3.6,0.8,0.713
0.24,0.96,0.628
1.92,0.88,0.773
2.6,0.24,0.527
2.16,0.44,0.715
1.88,0.76,0.774
0.64,0.64,0.771
1.52,0.32,0.756
3.28,0.36,0.516
2.44,0.12,0.488
0.24,0.2,0.531
1.24,0.0,0.478
2.96,0.68,0.736
3.6,0.04,0.371
2.64,0.24,0.556
3.96,0.48,0.573
2.28,0.56,0.737
3.64,0.8,0.691
0.28,0.96,0.654
1.96,0.88,0.79
1.92,0.76,0.789
1.56,0.32,0.717
2.2,0.44,0.693
2.48,0.12,0.459
2.68,0.24,0.544
0.68,0.64,0.78
3.32,0.36,0.514
0.28,0.2,0.587
1.96,0.76,0.786
1.28,0.0,0.492
3.0,0.68,0.721
3.64,0.04,0.354
1.6,0.32,0.723
4.0,0.48,0.567
2.32,0.56,0.753
3.68,0.8,0.72
0.32,0.96,0.656
2.0,0.88,0.801
2.52,0.12,0.459
2.72,0.24,0.54
2.24,0.44,0.696
2.0,0.76,0.768
0.72,0.64,0.787
1.64,0.32,0.709
3.36,0.36,0.547
0.32,0.2,0.62
2.56,0.12,0.449
1.32,0.0,0.488
3.04,0.68,0.722
3.68,0.04,0.389
2.76,0.24,0.519
0.0,0.52,0.107
2.36,0.56,0.752
3.72,0.8,0.719
0.36,0.96,0.694
2.04,0.88,0.783
2.04,0.76,0.756
1.68,0.32,0.727
2.28,0.44,0.649
2.6,0.12,0.481
2.8,0.24,0.506
0.76,0.64,0.767
3.4,0.36,0.554
0.36,0.2,0.694
2.08,0.76,0.775
1.36,0.0,0.457
3.08,0.68,0.713
3.72,0.04,0.366
1.72,0.32,0.725
0.04,0.52,0.484
2.4,0.56,0.725
3.76,0.8,0.722
0.4,0.96,0.673
2.08,0.88,0.773
2.64,0.12,0.462
2.84,0.24,0.504
2.32,0.44,0.676
2.12,0.76,0.767
0.8,0.64,0.762
1.76,0.32,0.698
3.44,0.36,0.553
0.4,0.2,0.711
2.68,0.12,0.466
1.4,0.0,0.484
3.76,0.04,0.351
3.12,0.68,0.704
2.88,0.24,0.478
0.08,0.52,0.591
2.44,0.56,0.7
3.8,0.8,0.714
0.44,0.96,0.729
2.12,0.88,0.768
2.16,0.76,0.802
1.8,0.32,0.673
2.36,0.44,0.677
2.72,0.12,0.478
2.92,0.24,0.515
0.84,0.64,0.767
3.48,0.36,0.527
0.44,0.2,0.79
2.2,0.76,0.787
3.8,0.04,0.397
1.44,0.0,0.461
3.16,0.68,0.704
2.48,0.56,0.707
0.12,0.52,0.628
3.84,0.8,0.71
1.84,0.32,0.685
0.48,0.96,0.704
2.16,0.88,0.824
2.76,0.12,0.426
2.96,0.24,0.5
2.4,0.44,0.687
2.24,0.76,0.758
0.88,0.64,0.792
1.88,0.32,0.681
3.52,0.36,0.529
0.48,0.2,0.779
3.84,0.04,0.349
3.2,0.68,0.696
1.48,0.0,0.492
3.0,0.24,0.474
2.8,0.12,0.466
2.52,0.56,0.743
0.16,0.52,0.645
3.88,0.8,0.707
0.52,0.96,0.681
2.2,0.88,0.792
2.28,0.76,0.794
1.92,0.32,0.668
2.44,0.44,0.68
3.04,0.24,0.482
2.84,0.12,0.447
0.92,0.64,0.785
3.56,0.36,0.524
0.52,0.2,0.807
2.32,0.76,0.778
3.88,0.04,0.385
3.24,0.68,0.715
1.52,0.0,0.464
2.56,0.56,0.732
0.2,0.52,0.682
3.92,0.8,0.714
1.96,0.32,0.666
0.56,0.96,0.705
2.24,0.88,0.781
3.08,0.24,0.5
2.88,0.12,0.461
2.48,0.44,0.669
2.36,0.76,0.778
0.96,0.64,0.774
2.0,0.32,0.642
3.6,0.36,0.547
0.56,0.2,0.812
3.92,0.04,0.348
3.28,0.68,0.705
1.56,0.0,0.457
3.12,0.24,0.504
2.92,0.12,0.456
2.6,0.56,0.707
0.24,0.52,0.677
3.96,0.8,0.707
0.6,0.96,0.713
2.28,0.88,0.794
2.4,0.76,0.769
2.04,0.32,0.653
2.52,0.44,0.661
3.16,0.24,0.494
1.0,0.64,0.79
2.96,0.12,0.439
3.64,0.36,0.527
0.6,0.2,0.846
2.44,0.76,0.774
3.96,0.04,0.342
3.32,0.68,0.703
1.6,0.0,0.466
2.64,0.56,0.699
0.28,0.52,0.701
4.0,0.8,0.714
2.08,0.32,0.643
0.64,0.96,0.73
2.32,0.88,0.794
3.2,0.24,0.461
3.0,0.12,0.452
2.56,0.44,0.675
2.48,0.76,0.75
1.04,0.64,0.78
2.12,0.32,0.663
3.68,0.36,0.519
0.64,0.2,0.811
4.0,0.04,0.351
3.36,0.68,0.692
1.64,0.0,0.451
3.24,0.24,0.464
3.04,0.12,0.45
2.68,0.56,0.726
0.32,0.52,0.709
0.0,0.84,0.11
0.68,0.96,0.739
2.36,0.88,0.766
2.52,0.76,0.773
2.16,0.32,0.627
2.6,0.44,0.627
3.28,0.24,0.479
1.08,0.64,0.772
3.08,0.12,0.409
3.72,0.36,0.508
0.68,0.2,0.82
2.56,0.76,0.773
3.4,0.68,0.7
0.0,0.08,0.105
1.68,0.0,0.448
2.72,0.56,0.679
0.36,0.52,0.711
0.04,0.84,0.452
2.2,0.32,0.642
0.72,0.96,0.743
2.4,0.88,0.78
3.32,0.24,0.478
3.12,0.12,0.438
2.64,0.44,0.665
2.6,0.76,0.78
1.12,0.64,0.784
2.24,0.32,0.658
3.76,0.36,0.533
0.72,0.2,0.846
3.44,0.68,0.675
1.72,0.0,0.436
0.04,0.08,0.385
3.36,0.24,0.475
2.76,0.56,0.738
3.16,0.12,0.424
0.4,0.52,0.751
0.08,0.84,0.508
0.76,0.96,0.727
2.44,0.88,0.74
2.64,0.76,0.754
2.28,0.32,0.637
2.68,0.44,0.63
3.4,0.24,0.443
1.16,0.64,0.798
3.2,0.12,0.438
3.8,0.36,0.518
0.76,0.2,0.842
3.48,0.68,0.683
1.76,0.0,0.454
0.08,0.08,0.353
2.68,0.76,0.774
2.8,0.56,0.69
0.44,0.52,0.767
0.12,0.84,0.615
2.32,0.32,0.62
0.8,0.96,0.758
2.48,0.88,0.761
3.44,0.24,0.485
3.24,0.12,0.444
2.72,0.44,0.653
2.72,0.76,0.776
1.2,0.64,0.803
3.84,0.36,0.521
2.36,0.32,0.617
0.8,0.2,0.801
3.52,0.68,0.659
1.8,0.0,0.44
0.12,0.08,0.331
3.48,0.24,0.453
2.84,0.56,0.699
0.48,0.52,0.741
3.28,0.12,0.43
0.16,0.84,0.595
0.84,0.96,0.734
2.52,0.88,0.788
2.76,0.76,0.758
2.4,0.32,0.589
2.76,0.44,0.608
3.52,0.24,0.453
1.24,0.64,0.799
3.32,0.12,0.422
3.88,0.36,0.51
0.84,0.2,0.825
3.56,0.68,0.696
1.84,0.0,0.43
0.16,0.08,0.293
2.8,0.76,0.75
2.88,0.56,0.676
0.52,0.52,0.764
0.2,0.84,0.643
0.88,0.96,0.781
2.56,0.88,0.767
2.44,0.32,0.603
3.56,0.24,0.485
3.36,0.12,0.439
2.8,0.44,0.655
2.84,0.76,0.749
1.28,0.64,0.805
3.92,0.36,0.524
0.88,0.2,0.826
3.6,0.68,0.684
1.88,0.0,0.443
0.2,0.08,0.298
3.6,0.24,0.505
2.92,0.56,0.682
2.48,0.32,0.574
0.56,0.52,0.748
0.24,0.84,0.649
0.92,0.96,0.767
2.6,0.88,0.766
3.4,0.12,0.41
2.88,0.76,0.733
2.84,0.44,0.608
1.32,0.64,0.792
3.64,0.24,0.449
3.96,0.36,0.492
2.52,0.32,0.606
0.92,0.2,0.794
3.64,0.68,0.673
1.92,0.0,0.432
0.24,0.08,0.294
2.92,0.76,0.759
2.96,0.56,0.681
0.6,0.52,0.761
0.28,0.84,0.669
0.96,0.96,0.748
3.44,0.12,0.426
2.64,0.88,0.798
2.88,0.44,0.649
2.56,0.32,0.582
3.68,0.24,0.476
1.36,0.64,0.799
0.96,0.2,0.781
2.96,0.76,0.741
4.0,0.36,0.521
1.0,0.96,0.745
3.68,0.68,0.689
1.96,0.0,0.428
0.28,0.08,0.313
3.0,0.56,0.679
0.64,0.52,0.758
0.32,0.84,0.676
3.48,0.12,0.431
2.68,0.88,0.764
2.6,0.32,0.594
1.0,0.2,0.783
2.92,0.44,0.605
3.0,0.76,0.745
1.04,0.96,0.767
3.72,0.24,0.446
1.4,0.64,0.799
0.0,0.4,0.099
3.72,0.68,0.642
2.64,0.32,0.584
2.0,0.0,0.424
0.32,0.08,0.421
3.04,0.56,0.68
1.04,0.2,0.778
0.68,0.52,0.763
0.36,0.84,0.687
3.04,0.76,0.722
3.52,0.12,0.418
1.08,0.96,0.768
2.72,0.88,0.776
2.96,0.44,0.603
2.68,0.32,0.574
3.76,0.24,0.453
1.44,0.64,0.767
1.08,0.2,0.77
0.04,0.4,0.54
3.08,0.76,0.741
1.12,0.96,0.786
3.76,0.68,0.639
2.04,0.0,0.423
0.36,0.08,0.552
3.08,0.56,0.67
0.72,0.52,0.767
0.4,0.84,0.744
3.56,0.12,0.406
2.76,0.88,0.768
2.72,0.32,0.604
1.12,0.2,0.754
3.0,0.44,0.589
3.12,0.76,0.747
1.16,0.96,0.776
3.8,0.24,0.457
1.48,0.64,0.781
0.08,0.4,0.579
3.8,0.68,0.673
2.76,0.32,0.583
2.08,0.0,0.417
0.4,0.08,0.613
3.12,0.56,0.679
1.16,0.2,0.745
0.76,0.52,0.793
0.44,0.84,0.718
3.6,0.12,0.416
3.16,0.76,0.732
1.2,0.96,0.788
2.8,0.88,0.755
3.04,0.44,0.626
3.84,0.24,0.47
2.8,0.32,0.544
1.52,0.64,0.766
1.2,0.2,0.741
0.12,0.4,0.627
3.2,0.76,0.743
1.24,0.96,0.749
3.84,0.68,0.682
2.12,0.0,0.422
0.44,0.08,0.703
3.16,0.56,0.677
0.8,0.52,0.776
3.64,0.12,0.402
0.48,0.84,0.722
2.84,0.88,0.766
2.84,0.32,0.589
1.24,0.2,0.731
3.08,0.44,0.612
3.24,0.76,0.739
1.28,0.96,0.764
3.88,0.24,0.435
1.56,0.64,0.799
0.16,0.4,0.64
3.88,0.68,0.658
2.16,0.0,0.409
2.88,0.32,0.583
0.48,0.08,0.77
3.2,0.56,0.65
1.28,0.2,0.706
0.84,0.52,0.779
3.68,0.12,0.405
0.52,0.84,0.698
3.28,0.76,0.747
1.32,0.96,0.762
2.88,0.88,0.74
3.12,0.44,0.598
3.92,0.24,0.425
2.92,0.32,0.545
1.6,0.64,0.78
1.32,0.2,0.698
0.2,0.4,0.672
3.32,0.76,0.721
1.36,0.96,0.773
3.92,0.68,0.662
2.2,0.0,0.39
0.52,0.08,0.752
3.24,0.56,0.65
0.88,0.52,0.777
3.72,0.12,0.403
0.56,0.84,0.722
2.92,0.88,0.784
2.96,0.32,0.541
1.64,0.64,0.784
3.16,0.44,0.648
3.36,0.76,0.744
1.4,0.96,0.789
3.96,0.24,0.452
1.36,0.2,0.683
0.24,0.4,0.661
3.96,0.68,0.658
2.24,0.0,0.401
0.56,0.08,0.767
3.0,0.32,0.533
3.28,0.56,0.635
1.68,0.64,0.79
0.92,0.52,0.797
3.76,0.12,0.393
0.6,0.84,0.745
3.4,0.76,0.721
1.44,0.96,0.765
2.96,0.88,0.776
3.2,0.44,0.592
4.0,0.24,0.44
3.04,0.32,0.536
1.4,0.2,0.693
1.72,0.64,0.813
0.28,0.4,0.69
3.44,0.76,0.717
4.0,0.68,0.647
1.48,0.96,0.771
2.28,0.0,0.411
0.6,0.08,0.756
3.32,0.56,0.646
0.96,0.52,0.788
3.8,0.12,0.416
0.64,0.84,0.731
3.0,0.88,0.755
3.08,0.32,0.533
3.24,0.44,0.575
1.76,0.64,0.758
1.52,0.96,0.79
0.0,0.28,0.105
1.44,0.2,0.672
3.48,0.76,0.682
2.32,0.0,0.395
0.32,0.4,0.7
0.0,0.72,0.105
0.64,0.08,0.772
3.12,0.32,0.553
3.36,0.56,0.625
3.28,0.44,0.595
1.0,0.52,0.789
3.84,0.12,0.384
0.68,0.84,0.725
3.04,0.88,0.75
1.56,0.96,0.768
2.36,0.0,0.403
1.8,0.64,0.783
0.04,0.28,0.566
3.16,0.32,0.546
1.48,0.2,0.672
3.52,0.76,0.695
0.36,0.4,0.765
3.32,0.44,0.616
0.04,0.72,0.48
1.6,0.96,0.769
0.68,0.08,0.755
3.4,0.56,0.653
2.4,0.0,0.386
1.04,0.52,0.801
3.88,0.12,0.4
0.72,0.84,0.766
3.08,0.88,0.741
3.2,0.32,0.517
3.36,0.44,0.589
1.84,0.64,0.783
1.64,0.96,0.785
0.08,0.28,0.597
1.52,0.2,0.684
3.56,0.76,0.706
0.4,0.4,0.764
2.44,0.0,0.389
0.08,0.72,0.549
0.72,0.08,0.743
3.24,0.32,0.513
3.44,0.56,0.668
1.08,0.52,0.811
3.4,0.44,0.576
3.92,0.12,0.392
0.76,0.84,0.765
3.12,0.88,0.75
1.68,0.96,0.79
2.48,0.0,0.402
1.88,0.64,0.783
0.12,0.28,0.577
3.28,0.32,0.508
1.56,0.2,0.649
3.6,0.76,0.698
0.44,0.4,0.741
3.44,0.44,0.572
0.12,0.72,0.614
1.72,0.96,0.789
0.76,0.08,0.737
3.48,0.56,0.637
1.12,0.52,0.813
2.52,0.0,0.397
3.96,0.12,0.412
0.8,0.84,0.758
3.16,0.88,0.759
3.32,0.32,0.54
1.92,0.64,0.796
3.48,0.44,0.559
0.16,0.28,0.59
1.76,0.96,0.786
1.6,0.2,0.659
0.48,0.4,0.775
3.64,0.76,0.715
2.56,0.0,0.399
0.16,0.72,0.642
0.8,0.08,0.719
3.36,0.32,0.519
3.52,0.56,0.635
1.16,0.52,0.812
4.0,0.12,0.408
3.52,0.44,0.591
0.84,0.84,0.77
3.2,0.88,0.756
1.8,0.96,0.794
2.6,0.0,0.394
1.96,0.64,0.789
0.2,0.28,0.621
3.4,0.32,0.494
1.64,0.2,0.62
0.52,0.4,0.755
3.68,0.76,0.719
3.56,0.44,0.566
0.2,0.72,0.666
1.84,0.96,0.766
0.84,0.08,0.699
3.56,0.56,0.649
1.2,0.52,0.777
0.0,0.16,0.094
2.64,0.0,0.392
0.88,0.84,0.751
3.24,0.88,0.748
3.44,0.32,0.488
2.0,0.64,0.772
3.6,0.44,0.553
0.24,0.28,0.639
1.88,0.96,0.76
1.68,0.2,0.611
0.56,0.4,0.785
3.72,0.76,0.711
2.68,0.0,0.39
0.24,0.72,0.675
0.88,0.08,0.687
3.6,0.56,0.616
3.48,0.32,0.494
1.24,0.52,0.791
0.04,0.16,0.541
3.64,0.44,0.585
0.92,0.84,0.762
3.28,0.88,0.726
1.92,0.96,0.763
