sigx1,sigx2,sigh1,sigh2,success_rate
2.2,4.4,0.64,0.64,0.34
3.28,6.56,0.68,0.68,0.309
2.52,5.04,0.84,0.84,0.405
2.48,4.96,0.08,0.08,0.208
3.04,6.08,0.48,0.48,0.32
0.64,1.28,0.96,0.96,0.808
1.68,3.36,0.24,0.24,0.252
2.76,5.52,0.28,0.28,0.27
1.4,2.8,0.04,0.04,0.216
0.08,0.16,0.56,0.56,0.535
1.16,2.32,0.6,0.6,0.487
0.36,0.72,0.76,0.76,0.778
1.44,2.88,0.8,0.8,0.552
3.56,7.12,0.12,0.12,0.225
3.84,7.68,0.32,0.32,0.249
1.96,3.92,0.44,0.44,0.307
0.6,1.2,0.2,0.2,0.262
3.6,7.2,0.88,0.88,0.354
0.88,1.76,0.4,0.4,0.378
3.32,6.64,0.68,0.68,0.3
0.32,0.64,0.0,0.0,0.156
2.24,4.48,0.64,0.64,0.356
2.56,5.12,0.84,0.84,0.415
3.08,6.16,0.48,0.48,0.29
2.52,5.04,0.08,0.08,0.205
0.68,1.36,0.96,0.96,0.802
0.12,0.24,0.56,0.56,0.613
1.44,2.88,0.04,0.04,0.209
2.8,5.6,0.28,0.28,0.251
1.72,3.44,0.24,0.24,0.267
1.2,2.4,0.6,0.6,0.498
1.48,2.96,0.8,0.8,0.521
0.4,0.8,0.76,0.76,0.771
3.6,7.2,0.12,0.12,0.237
2.0,4.0,0.44,0.44,0.319
0.64,1.28,0.2,0.2,0.255
3.88,7.76,0.32,0.32,0.226
0.92,1.84,0.4,0.4,0.355
3.64,7.28,0.88,0.88,0.378
3.36,6.72,0.68,0.68,0.322
2.28,4.56,0.64,0.64,0.369
0.36,0.72,0.0,0.0,0.143
2.6,5.2,0.84,0.84,0.393
0.72,1.44,0.96,0.96,0.796
3.12,6.24,0.48,0.48,0.296
2.56,5.12,0.08,0.08,0.229
0.16,0.32,0.56,0.56,0.617
2.84,5.68,0.28,0.28,0.247
1.48,2.96,0.04,0.04,0.222
0.44,0.88,0.76,0.76,0.789
1.76,3.52,0.24,0.24,0.255
1.24,2.48,0.6,0.6,0.451
0.68,1.36,0.2,0.2,0.281
3.64,7.28,0.12,0.12,0.223
1.52,3.04,0.8,0.8,0.516
3.68,7.36,0.88,0.88,0.349
2.04,4.08,0.44,0.44,0.335
3.92,7.84,0.32,0.32,0.269
0.96,1.92,0.4,0.4,0.358
3.4,6.8,0.68,0.68,0.338
2.32,4.64,0.64,0.64,0.39
0.4,0.8,0.0,0.0,0.183
2.64,5.28,0.84,0.84,0.41
0.76,1.52,0.96,0.96,0.811
2.6,5.2,0.08,0.08,0.236
3.16,6.32,0.48,0.48,0.276
0.2,0.4,0.56,0.56,0.668
2.88,5.76,0.28,0.28,0.238
1.52,3.04,0.04,0.04,0.195
1.8,3.6,0.24,0.24,0.26
2.08,4.16,0.44,0.44,0.285
0.72,1.44,0.2,0.2,0.286
0.48,0.96,0.76,0.76,0.774
1.56,3.12,0.8,0.8,0.506
3.72,7.44,0.88,0.88,0.353
3.68,7.36,0.12,0.12,0.217
1.28,2.56,0.6,0.6,0.452
3.96,7.92,0.32,0.32,0.235
1.0,2.0,0.4,0.4,0.378
3.44,6.88,0.68,0.68,0.335
2.36,4.72,0.64,0.64,0.371
0.44,0.88,0.0,0.0,0.161
2.68,5.36,0.84,0.84,0.427
0.8,1.6,0.96,0.96,0.791
2.64,5.28,0.08,0.08,0.185
3.2,6.4,0.48,0.48,0.289
2.92,5.84,0.28,0.28,0.282
0.24,0.48,0.56,0.56,0.664
0.76,1.52,0.2,0.2,0.276
2.12,4.24,0.44,0.44,0.324
1.56,3.12,0.04,0.04,0.204
1.84,3.68,0.24,0.24,0.249
0.52,1.04,0.76,0.76,0.757
1.6,3.2,0.8,0.8,0.499
3.72,7.44,0.12,0.12,0.228
3.76,7.52,0.88,0.88,0.352
4.0,8.0,0.32,0.32,0.266
1.32,2.64,0.6,0.6,0.473
1.04,2.08,0.4,0.4,0.35
3.48,6.96,0.68,0.68,0.313
2.4,4.8,0.64,0.64,0.331
0.48,0.96,0.0,0.0,0.153
2.72,5.44,0.84,0.84,0.407
0.84,1.68,0.96,0.96,0.783
3.24,6.48,0.48,0.48,0.271
2.68,5.36,0.08,0.08,0.244
2.96,5.92,0.28,0.28,0.259
0.28,0.56,0.56,0.56,0.69
2.16,4.32,0.44,0.44,0.288
1.88,3.76,0.24,0.24,0.248
0.8,1.6,0.2,0.2,0.26
1.6,3.2,0.04,0.04,0.226
0.56,1.12,0.76,0.76,0.772
3.76,7.52,0.12,0.12,0.222
1.64,3.28,0.8,0.8,0.482
0.0,0.0,0.36,0.36,0.2
3.8,7.6,0.88,0.88,0.32
1.36,2.72,0.6,0.6,0.455
1.08,2.16,0.4,0.4,0.319
3.52,7.04,0.68,0.68,0.297
2.44,4.88,0.64,0.64,0.347
0.52,1.04,0.0,0.0,0.179
2.76,5.52,0.84,0.84,0.377
0.88,1.76,0.96,0.96,0.749
2.72,5.44,0.08,0.08,0.236
3.28,6.56,0.48,0.48,0.291
3.0,6.0,0.28,0.28,0.233
0.32,0.64,0.56,0.56,0.66
1.64,3.28,0.04,0.04,0.202
1.92,3.84,0.24,0.24,0.288
1.68,3.36,0.8,0.8,0.498
2.2,4.4,0.44,0.44,0.283
0.84,1.68,0.2,0.2,0.257
0.6,1.2,0.76,0.76,0.758
3.8,7.6,0.12,0.12,0.251
1.4,2.8,0.6,0.6,0.415
1.12,2.24,0.4,0.4,0.38
0.04,0.08,0.36,0.36,0.233
3.84,7.68,0.88,0.88,0.353
3.56,7.12,0.68,0.68,0.326
0.56,1.12,0.0,0.0,0.139
2.48,4.96,0.64,0.64,0.354
2.8,5.6,0.84,0.84,0.407
0.92,1.84,0.96,0.96,0.757
3.32,6.64,0.48,0.48,0.286
2.76,5.52,0.08,0.08,0.234
3.04,6.08,0.28,0.28,0.273
0.36,0.72,0.56,0.56,0.641
2.24,4.48,0.44,0.44,0.299
1.68,3.36,0.04,0.04,0.213
1.72,3.44,0.8,0.8,0.468
1.96,3.92,0.24,0.24,0.263
0.64,1.28,0.76,0.76,0.723
0.88,1.76,0.2,0.2,0.258
3.84,7.68,0.12,0.12,0.221
1.44,2.88,0.6,0.6,0.444
1.16,2.32,0.4,0.4,0.358
3.6,7.2,0.68,0.68,0.322
3.88,7.76,0.88,0.88,0.334
0.08,0.16,0.36,0.36,0.342
0.6,1.2,0.0,0.0,0.161
2.52,5.04,0.64,0.64,0.353
2.84,5.68,0.84,0.84,0.365
0.96,1.92,0.96,0.96,0.745
2.8,5.6,0.08,0.08,0.215
3.36,6.72,0.48,0.48,0.296
3.08,6.16,0.28,0.28,0.245
0.4,0.8,0.56,0.56,0.632
1.76,3.52,0.8,0.8,0.481
1.72,3.44,0.04,0.04,0.201
2.28,4.56,0.44,0.44,0.288
2.0,4.0,0.24,0.24,0.24
0.92,1.84,0.2,0.2,0.258
3.88,7.76,0.12,0.12,0.236
0.68,1.36,0.76,0.76,0.699
1.48,2.96,0.6,0.6,0.435
1.2,2.4,0.4,0.4,0.331
3.64,7.28,0.68,0.68,0.332
3.92,7.84,0.88,0.88,0.33
0.12,0.24,0.36,0.36,0.342
0.64,1.28,0.0,0.0,0.183
2.56,5.12,0.64,0.64,0.356
2.88,5.76,0.84,0.84,0.39
1.0,2.0,0.96,0.96,0.73
2.84,5.68,0.08,0.08,0.202
3.4,6.8,0.48,0.48,0.266
0.44,0.88,0.56,0.56,0.629
3.12,6.24,0.28,0.28,0.256
1.76,3.52,0.04,0.04,0.209
1.8,3.6,0.8,0.8,0.484
2.32,4.64,0.44,0.44,0.298
0.96,1.92,0.2,0.2,0.244
2.04,4.08,0.24,0.24,0.241
0.72,1.44,0.76,0.76,0.696
1.24,2.48,0.4,0.4,0.339
3.92,7.84,0.12,0.12,0.213
1.52,3.04,0.6,0.6,0.416
3.68,7.36,0.68,0.68,0.316
3.96,7.92,0.88,0.88,0.333
0.16,0.32,0.36,0.36,0.369
2.6,5.2,0.64,0.64,0.336
0.68,1.36,0.0,0.0,0.153
2.92,5.84,0.84,0.84,0.37
1.04,2.08,0.96,0.96,0.722
1.8,3.6,0.04,0.04,0.228
2.88,5.76,0.08,0.08,0.238
3.44,6.88,0.48,0.48,0.275
3.16,6.32,0.28,0.28,0.273
0.48,0.96,0.56,0.56,0.612
0.76,1.52,0.76,0.76,0.701
2.36,4.72,0.44,0.44,0.31
1.84,3.68,0.8,0.8,0.472
1.0,2.0,0.2,0.2,0.239
2.08,4.16,0.24,0.24,0.258
3.72,7.44,0.68,0.68,0.31
1.28,2.56,0.4,0.4,0.357
3.96,7.92,0.12,0.12,0.237
4.0,8.0,0.88,0.88,0.347
1.56,3.12,0.6,0.6,0.408
0.2,0.4,0.36,0.36,0.388
2.64,5.28,0.64,0.64,0.307
0.72,1.44,0.0,0.0,0.173
2.96,5.92,0.84,0.84,0.357
1.08,2.16,0.96,0.96,0.696
3.48,6.96,0.48,0.48,0.297
1.84,3.68,0.04,0.04,0.252
2.92,5.84,0.08,0.08,0.213
0.52,1.04,0.56,0.56,0.615
3.2,6.4,0.28,0.28,0.263
0.8,1.6,0.76,0.76,0.691
2.4,4.8,0.44,0.44,0.32
1.04,2.08,0.2,0.2,0.264
1.88,3.76,0.8,0.8,0.505
1.32,2.64,0.4,0.4,0.329
3.76,7.52,0.68,0.68,0.319
4.0,8.0,0.12,0.12,0.22
2.12,4.24,0.24,0.24,0.251
0.0,0.0,0.92,0.92,0.19
1.6,3.2,0.6,0.6,0.422
0.24,0.48,0.36,0.36,0.407
2.68,5.36,0.64,0.64,0.331
0.76,1.52,0.0,0.0,0.182
3.0,6.0,0.84,0.84,0.379
1.88,3.76,0.04,0.04,0.197
3.52,7.04,0.48,0.48,0.301
1.12,2.24,0.96,0.96,0.684
2.44,4.88,0.44,0.44,0.302
1.08,2.16,0.2,0.2,0.248
2.96,5.92,0.08,0.08,0.211
1.92,3.84,0.8,0.8,0.475
0.56,1.12,0.56,0.56,0.581
0.84,1.68,0.76,0.76,0.666
3.24,6.48,0.28,0.28,0.228
2.16,4.32,0.24,0.24,0.256
3.8,7.6,0.68,0.68,0.3
0.0,0.0,0.16,0.16,0.188
1.36,2.72,0.4,0.4,0.337
0.04,0.08,0.92,0.92,0.398
0.28,0.56,0.36,0.36,0.398
1.64,3.28,0.6,0.6,0.409
2.72,5.44,0.64,0.64,0.354
0.8,1.6,0.0,0.0,0.163
3.04,6.08,0.84,0.84,0.35
3.56,7.12,0.48,0.48,0.283
1.92,3.84,0.04,0.04,0.217
1.12,2.24,0.2,0.2,0.271
1.16,2.32,0.96,0.96,0.689
1.96,3.92,0.8,0.8,0.456
2.48,4.96,0.44,0.44,0.282
0.88,1.76,0.76,0.76,0.657
3.0,6.0,0.08,0.08,0.226
0.6,1.2,0.56,0.56,0.605
3.28,6.56,0.28,0.28,0.251
2.2,4.4,0.24,0.24,0.242
0.04,0.08,0.16,0.16,0.218
0.08,0.16,0.92,0.92,0.562
3.84,7.68,0.68,0.68,0.305
0.84,1.68,0.0,0.0,0.178
1.4,2.8,0.4,0.4,0.335
0.32,0.64,0.36,0.36,0.439
2.76,5.52,0.64,0.64,0.349
1.68,3.36,0.6,0.6,0.408
3.08,6.16,0.84,0.84,0.362
1.16,2.32,0.2,0.2,0.25
3.6,7.2,0.48,0.48,0.258
1.96,3.92,0.04,0.04,0.212
1.2,2.4,0.96,0.96,0.676
2.52,5.04,0.44,0.44,0.291
2.0,4.0,0.8,0.8,0.455
3.04,6.08,0.08,0.08,0.206
0.64,1.28,0.56,0.56,0.564
0.92,1.84,0.76,0.76,0.641
3.32,6.64,0.28,0.28,0.283
2.24,4.48,0.24,0.24,0.255
0.08,0.16,0.16,0.16,0.203
3.88,7.76,0.68,0.68,0.302
0.12,0.24,0.92,0.92,0.652
0.88,1.76,0.0,0.0,0.181
1.44,2.88,0.4,0.4,0.322
0.36,0.72,0.36,0.36,0.408
1.72,3.44,0.6,0.6,0.382
2.8,5.6,0.64,0.64,0.336
3.12,6.24,0.84,0.84,0.381
3.64,7.28,0.48,0.48,0.271
2.0,4.0,0.04,0.04,0.213
1.2,2.4,0.2,0.2,0.247
1.24,2.48,0.96,0.96,0.673
2.56,5.12,0.44,0.44,0.335
2.04,4.08,0.8,0.8,0.449
0.96,1.92,0.76,0.76,0.63
3.08,6.16,0.08,0.08,0.222
0.68,1.36,0.56,0.56,0.578
3.36,6.72,0.28,0.28,0.262
2.28,4.56,0.24,0.24,0.227
0.12,0.24,0.16,0.16,0.201
3.92,7.84,0.68,0.68,0.305
0.16,0.32,0.92,0.92,0.679
0.92,1.84,0.0,0.0,0.197
1.76,3.52,0.6,0.6,0.403
1.48,2.96,0.4,0.4,0.333
2.84,5.68,0.64,0.64,0.317
0.4,0.8,0.36,0.36,0.429
3.16,6.32,0.84,0.84,0.356
3.68,7.36,0.48,0.48,0.294
2.04,4.08,0.04,0.04,0.198
1.24,2.48,0.2,0.2,0.229
1.28,2.56,0.96,0.96,0.669
2.6,5.2,0.44,0.44,0.281
2.08,4.16,0.8,0.8,0.435
1.0,2.0,0.76,0.76,0.638
0.72,1.44,0.56,0.56,0.567
3.12,6.24,0.08,0.08,0.218
3.4,6.8,0.28,0.28,0.244
2.32,4.64,0.24,0.24,0.239
0.16,0.32,0.16,0.16,0.218
3.96,7.92,0.68,0.68,0.296
0.2,0.4,0.92,0.92,0.733
0.96,1.92,0.0,0.0,0.173
1.8,3.6,0.6,0.6,0.395
1.52,3.04,0.4,0.4,0.338
0.44,0.88,0.36,0.36,0.42
2.88,5.76,0.64,0.64,0.337
3.2,6.4,0.84,0.84,0.381
3.72,7.44,0.48,0.48,0.267
2.08,4.16,0.04,0.04,0.205
1.28,2.56,0.2,0.2,0.257
2.64,5.28,0.44,0.44,0.283
1.32,2.64,0.96,0.96,0.671
2.12,4.24,0.8,0.8,0.447
1.04,2.08,0.76,0.76,0.604
0.76,1.52,0.56,0.56,0.542
3.44,6.88,0.28,0.28,0.278
3.16,6.32,0.08,0.08,0.228
0.2,0.4,0.16,0.16,0.229
2.36,4.72,0.24,0.24,0.252
4.0,8.0,0.68,0.68,0.307
0.24,0.48,0.92,0.92,0.767
1.84,3.68,0.6,0.6,0.354
1.0,2.0,0.0,0.0,0.214
1.56,3.12,0.4,0.4,0.303
2.92,5.84,0.64,0.64,0.332
0.48,0.96,0.36,0.36,0.409
3.24,6.48,0.84,0.84,0.332
3.76,7.52,0.48,0.48,0.294
2.12,4.24,0.04,0.04,0.205
1.32,2.64,0.2,0.2,0.26
2.68,5.36,0.44,0.44,0.285
2.16,4.32,0.8,0.8,0.455
1.36,2.72,0.96,0.96,0.652
1.08,2.16,0.76,0.76,0.595
3.2,6.4,0.08,0.08,0.236
3.48,6.96,0.28,0.28,0.242
0.8,1.6,0.56,0.56,0.536
0.24,0.48,0.16,0.16,0.221
0.0,0.0,0.72,0.72,0.2
2.4,4.8,0.24,0.24,0.254
0.28,0.56,0.92,0.92,0.787
1.88,3.76,0.6,0.6,0.37
1.6,3.2,0.4,0.4,0.309
1.04,2.08,0.0,0.0,0.182
2.96,5.92,0.64,0.64,0.329
0.52,1.04,0.36,0.36,0.406
3.28,6.56,0.84,0.84,0.368
1.36,2.72,0.2,0.2,0.252
3.8,7.6,0.48,0.48,0.28
2.16,4.32,0.04,0.04,0.215
2.72,5.44,0.44,0.44,0.29
1.12,2.24,0.76,0.76,0.604
2.2,4.4,0.8,0.8,0.433
1.4,2.8,0.96,0.96,0.628
3.24,6.48,0.08,0.08,0.248
3.52,7.04,0.28,0.28,0.223
0.84,1.68,0.56,0.56,0.519
0.28,0.56,0.16,0.16,0.226
0.04,0.08,0.72,0.72,0.404
2.44,4.88,0.24,0.24,0.237
0.32,0.64,0.92,0.92,0.797
1.92,3.84,0.6,0.6,0.349
1.64,3.28,0.4,0.4,0.315
3.0,6.0,0.64,0.64,0.321
0.56,1.12,0.36,0.36,0.39
1.08,2.16,0.0,0.0,0.202
3.32,6.64,0.84,0.84,0.34
3.84,7.68,0.48,0.48,0.299
2.2,4.4,0.04,0.04,0.224
1.4,2.8,0.2,0.2,0.252
2.76,5.52,0.44,0.44,0.287
1.16,2.32,0.76,0.76,0.594
2.24,4.48,0.8,0.8,0.4
1.44,2.88,0.96,0.96,0.604
3.28,6.56,0.08,0.08,0.214
3.56,7.12,0.28,0.28,0.24
0.88,1.76,0.56,0.56,0.489
2.48,4.96,0.24,0.24,0.25
0.08,0.16,0.72,0.72,0.545
0.32,0.64,0.16,0.16,0.242
0.36,0.72,0.92,0.92,0.811
1.96,3.92,0.6,0.6,0.364
1.68,3.36,0.4,0.4,0.309
3.04,6.08,0.64,0.64,0.343
0.6,1.2,0.36,0.36,0.398
1.12,2.24,0.0,0.0,0.188
3.36,6.72,0.84,0.84,0.362
3.88,7.76,0.48,0.48,0.283
2.24,4.48,0.04,0.04,0.219
1.44,2.88,0.2,0.2,0.235
2.8,5.6,0.44,0.44,0.284
1.2,2.4,0.76,0.76,0.562
2.28,4.56,0.8,0.8,0.405
3.32,6.64,0.08,0.08,0.241
1.48,2.96,0.96,0.96,0.605
3.6,7.2,0.28,0.28,0.254
0.36,0.72,0.16,0.16,0.211
0.4,0.8,0.92,0.92,0.807
0.92,1.84,0.56,0.56,0.508
0.12,0.24,0.72,0.72,0.651
2.52,5.04,0.24,0.24,0.259
2.0,4.0,0.6,0.6,0.362
1.72,3.44,0.4,0.4,0.325
3.08,6.16,0.64,0.64,0.309
0.64,1.28,0.36,0.36,0.384
1.16,2.32,0.0,0.0,0.201
3.4,6.8,0.84,0.84,0.344
3.92,7.84,0.48,0.48,0.261
2.28,4.56,0.04,0.04,0.206
1.48,2.96,0.2,0.2,0.257
2.84,5.68,0.44,0.44,0.282
3.36,6.72,0.08,0.08,0.215
1.24,2.48,0.76,0.76,0.524
2.32,4.64,0.8,0.8,0.403
1.52,3.04,0.96,0.96,0.598
3.64,7.28,0.28,0.28,0.239
0.44,0.88,0.92,0.92,0.815
0.4,0.8,0.16,0.16,0.238
2.56,5.12,0.24,0.24,0.251
0.16,0.32,0.72,0.72,0.703
0.96,1.92,0.56,0.56,0.472
2.04,4.08,0.6,0.6,0.371
1.76,3.52,0.4,0.4,0.314
3.12,6.24,0.64,0.64,0.359
0.68,1.36,0.36,0.36,0.4
1.2,2.4,0.0,0.0,0.189
3.96,7.92,0.48,0.48,0.286
3.44,6.88,0.84,0.84,0.353
2.32,4.64,0.04,0.04,0.233
1.52,3.04,0.2,0.2,0.251
2.88,5.76,0.44,0.44,0.288
3.4,6.8,0.08,0.08,0.233
1.28,2.56,0.76,0.76,0.552
2.36,4.72,0.8,0.8,0.418
1.56,3.12,0.96,0.96,0.581
3.68,7.36,0.28,0.28,0.239
0.2,0.4,0.72,0.72,0.737
2.08,4.16,0.6,0.6,0.386
0.44,0.88,0.16,0.16,0.248
1.0,2.0,0.56,0.56,0.491
2.6,5.2,0.24,0.24,0.227
0.48,0.96,0.92,0.92,0.81
1.8,3.6,0.4,0.4,0.31
3.16,6.32,0.64,0.64,0.304
0.72,1.44,0.36,0.36,0.397
1.24,2.48,0.0,0.0,0.184
3.48,6.96,0.84,0.84,0.358
4.0,8.0,0.48,0.48,0.266
2.36,4.72,0.04,0.04,0.206
1.56,3.12,0.2,0.2,0.25
3.44,6.88,0.08,0.08,0.213
2.92,5.84,0.44,0.44,0.271
1.32,2.64,0.76,0.76,0.517
2.4,4.8,0.8,0.8,0.398
3.72,7.44,0.28,0.28,0.252
1.6,3.2,0.96,0.96,0.611
2.12,4.24,0.6,0.6,0.363
0.48,0.96,0.16,0.16,0.23
0.24,0.48,0.72,0.72,0.752
2.64,5.28,0.24,0.24,0.243
1.84,3.68,0.4,0.4,0.295
0.52,1.04,0.92,0.92,0.821
1.04,2.08,0.56,0.56,0.489
3.2,6.4,0.64,0.64,0.312
0.76,1.52,0.36,0.36,0.374
1.28,2.56,0.0,0.0,0.196
3.52,7.04,0.84,0.84,0.354
0.0,0.0,0.52,0.52,0.211
2.4,4.8,0.04,0.04,0.202
1.6,3.2,0.2,0.2,0.235
3.48,6.96,0.08,0.08,0.236
1.36,2.72,0.76,0.76,0.532
2.44,4.88,0.8,0.8,0.385
2.96,5.92,0.44,0.44,0.286
3.76,7.52,0.28,0.28,0.238
2.68,5.36,0.24,0.24,0.249
1.64,3.28,0.96,0.96,0.581
1.88,3.76,0.4,0.4,0.297
0.52,1.04,0.16,0.16,0.229
2.16,4.32,0.6,0.6,0.356
1.08,2.16,0.56,0.56,0.479
0.56,1.12,0.92,0.92,0.808
0.28,0.56,0.72,0.72,0.789
3.24,6.48,0.64,0.64,0.339
1.32,2.64,0.0,0.0,0.18
0.8,1.6,0.36,0.36,0.389
3.56,7.12,0.84,0.84,0.369
0.04,0.08,0.52,0.52,0.395
1.64,3.28,0.2,0.2,0.248
2.44,4.88,0.04,0.04,0.206
3.52,7.04,0.08,0.08,0.211
1.4,2.8,0.76,0.76,0.503
3.0,6.0,0.44,0.44,0.284
1.68,3.36,0.96,0.96,0.562
2.48,4.96,0.8,0.8,0.387
1.92,3.84,0.4,0.4,0.338
3.8,7.6,0.28,0.28,0.232
0.56,1.12,0.16,0.16,0.237
2.72,5.44,0.24,0.24,0.258
1.12,2.24,0.56,0.56,0.479
2.2,4.4,0.6,0.6,0.376
0.32,0.64,0.72,0.72,0.772
