$\mu_{x_1}$,$\mu_{x_2}$,$\mu_{h_1}$,$\mu_{h_2}$,success_rate
-3.8,2.0,-3.9,2.0,0.846
-4.0,2.0,-3.9,2.0,0.846
-3.9,2.0,-3.9,2.0,0.846
-4.0,2.0,-4.0,2.0,0.846
-3.9,2.0,-4.0,2.0,0.846
-3.7,2.0,-4.0,2.0,0.846
-3.8,2.0,-4.0,2.0,0.846
-3.6,2.0,-4.0,2.0,0.846
-4.0,2.0,-3.8,2.0,0.872
-3.7,2.0,-3.9,2.0,0.872
-3.6,2.0,-3.9,2.0,0.872
-3.9,2.0,-3.8,2.0,0.872
-3.6,2.0,-3.8,2.0,0.872
-3.7,2.0,-3.8,2.0,0.872
-3.8,2.0,-3.8,2.0,0.872
-4.0,2.0,-3.7,2.0,0.872
-3.8,2.0,-3.7,2.0,0.846
-3.9,2.0,-3.7,2.0,0.846
-3.7,2.0,-3.7,2.0,0.847
-3.6,2.0,-3.7,2.0,0.847
-3.9,2.0,-3.6,2.0,0.846
-4.0,2.0,-3.6,2.0,0.846
-3.8,2.0,-3.6,2.0,0.846
-3.7,2.0,-3.6,2.0,0.846
-3.6,2.0,-3.6,2.0,0.874
