$\mu_{x_1}$,$\mu_{x_2}$,$\mu_{h_1}$,$\mu_{h_2}$,success_rate
-3.0,2.0,-3.5,2.0,0.623
-3.5,2.0,-3.9,2.0,0.644
-1.0,2.0,-4.0,2.0,0.627
-1.0,2.0,-3.7,2.0,0.596
-2.5,2.0,-3.4,2.0,0.63
-1.5,2.0,-3.2,2.0,0.61
-0.5,2.0,-3.9,2.0,0.629
-1.5,2.0,-3.5,2.0,0.628
-3.4,2.0,-3.9,2.0,0.626
-2.9,2.0,-3.5,2.0,0.606
-0.9,2.0,-3.7,2.0,0.626
-2.4,2.0,-3.4,2.0,0.632
-0.9,2.0,-4.0,2.0,0.653
-0.4,2.0,-3.9,2.0,0.604
-1.4,2.0,-3.2,2.0,0.619
-1.4,2.0,-3.5,2.0,0.619
-3.3,2.0,-3.9,2.0,0.632
-0.8,2.0,-4.0,2.0,0.665
-0.8,2.0,-3.7,2.0,0.643
-2.8,2.0,-3.5,2.0,0.64
-2.3,2.0,-3.4,2.0,0.639
-0.3,2.0,-3.9,2.0,0.641
-1.3,2.0,-3.2,2.0,0.625
-1.3,2.0,-3.5,2.0,0.641
-3.2,2.0,-3.9,2.0,0.634
-2.7,2.0,-3.5,2.0,0.629
-0.7,2.0,-3.7,2.0,0.636
-0.7,2.0,-4.0,2.0,0.609
-0.2,2.0,-3.9,2.0,0.607
-2.2,2.0,-3.4,2.0,0.626
-1.2,2.0,-3.2,2.0,0.617
-1.2,2.0,-3.5,2.0,0.622
-3.1,2.0,-3.9,2.0,0.602
-2.6,2.0,-3.5,2.0,0.646
-0.1,2.0,-3.9,2.0,0.612
-0.6,2.0,-4.0,2.0,0.603
-1.1,2.0,-3.5,2.0,0.625
-2.1,2.0,-3.4,2.0,0.653
-0.6,2.0,-3.7,2.0,0.642
-1.1,2.0,-3.2,2.0,0.626
-3.0,2.0,-3.9,2.0,0.628
-4.0,2.0,-3.8,2.0,0.658
-2.0,2.0,-3.4,2.0,0.625
-2.5,2.0,-3.5,2.0,0.63
-1.0,2.0,-3.2,2.0,0.64
-1.0,2.0,-3.5,2.0,0.621
-0.5,2.0,-3.7,2.0,0.638
-0.5,2.0,-4.0,2.0,0.61
-3.9,2.0,-3.8,2.0,0.64
-2.4,2.0,-3.5,2.0,0.633
-2.9,2.0,-3.9,2.0,0.648
-0.9,2.0,-3.2,2.0,0.609
-1.9,2.0,-3.4,2.0,0.625
-0.9,2.0,-3.5,2.0,0.596
-0.4,2.0,-4.0,2.0,0.613
-0.4,2.0,-3.7,2.0,0.621
-3.8,2.0,-3.8,2.0,0.614
-2.3,2.0,-3.5,2.0,0.635
-2.8,2.0,-3.9,2.0,0.632
-0.8,2.0,-3.2,2.0,0.623
-1.8,2.0,-3.4,2.0,0.655
-0.8,2.0,-3.5,2.0,0.634
-0.3,2.0,-4.0,2.0,0.612
-0.3,2.0,-3.7,2.0,0.613
-3.7,2.0,-3.8,2.0,0.626
-2.2,2.0,-3.5,2.0,0.634
-1.7,2.0,-3.4,2.0,0.601
-2.7,2.0,-3.9,2.0,0.651
-0.7,2.0,-3.5,2.0,0.615
-0.7,2.0,-3.2,2.0,0.648
-0.2,2.0,-3.7,2.0,0.634
-0.2,2.0,-4.0,2.0,0.608
-3.6,2.0,-3.8,2.0,0.637
-1.6,2.0,-3.4,2.0,0.642
-2.6,2.0,-3.9,2.0,0.63
-2.1,2.0,-3.5,2.0,0.656
-0.6,2.0,-3.5,2.0,0.617
-0.1,2.0,-3.7,2.0,0.587
-0.6,2.0,-3.2,2.0,0.604
-0.1,2.0,-4.0,2.0,0.609
-3.5,2.0,-3.8,2.0,0.606
-1.5,2.0,-3.4,2.0,0.607
