$\mu_{x_1}$,$\mu_{x_2}$,$\mu_{h_1}$,$\mu_{h_2}$,success_rate
9.7,11.7,-1.8,0.19999999999999996,0.1
9.0,11.0,-2.3,-0.2999999999999998,0.1
-2.0,0.0,-3.0,-1.0,0.724
11.1,13.1,-0.8,1.2,0.1
-1.4,0.6000000000000001,-2.5,-0.5,0.752
7.0,9.0,-3.8,-1.7999999999999998,0.107
-0.6,1.4,-2.0,0.0,0.684
-2.7,-0.7000000000000002,-3.5,-1.5,0.816
13.3,15.3,0.7,2.7,0.107
11.9,13.9,-0.3,1.7,0.107
10.5,12.5,-1.3,0.7,0.107
8.4,10.4,-2.8,-0.7999999999999998,0.107
0.1,2.1,-1.5,0.5,0.601
7.7,9.7,-3.3,-1.2999999999999998,0.107
2.2,4.2,0.0,2.0,0.432
-3.4,-1.4,-4.0,-2.0,0.818
2.9,4.9,0.5,2.5,0.376
1.5,3.5,-0.5,1.5,0.511
9.8,11.8,-1.8,0.19999999999999996,0.107
12.6,14.6,0.2,2.2,0.107
9.1,11.1,-2.3,-0.2999999999999998,0.107
0.8,2.8,-1.0,1.0,0.57
-1.9,0.10000000000000009,-3.0,-1.0,0.752
-1.3,0.7,-2.5,-0.5,0.72
-0.5,1.5,-2.0,0.0,0.631
7.1,9.1,-3.8,-1.7999999999999998,0.104
-2.6,-0.6000000000000001,-3.5,-1.5,0.809
11.2,13.2,-0.8,1.2,0.107
3.0,5.0,0.5,2.5,0.352
13.4,15.4,0.7,2.7,0.104
8.5,10.5,-2.8,-0.7999999999999998,0.104
12.0,14.0,-0.3,1.7,0.104
10.6,12.6,-1.3,0.7,0.104
9.2,11.2,-2.3,-0.2999999999999998,0.104
0.2,2.2,-1.5,0.5,0.615
2.3,4.3,0.0,2.0,0.403
1.6,3.6,-0.5,1.5,0.444
9.9,11.9,-1.8,0.19999999999999996,0.104
7.8,9.8,-3.3,-1.2999999999999998,0.104
-3.3,-1.2999999999999998,-4.0,-2.0,0.805
0.9,2.9,-1.0,1.0,0.499
-0.4,1.6,-2.0,0.0,0.618
12.7,14.7,0.2,2.2,0.104
-1.8,0.19999999999999996,-3.0,-1.0,0.712
-1.2,0.8,-2.5,-0.5,0.705
